chr tissue gene peer beta p_value eGene
12 Adipose_Subcutaneous ENSG00000013573.12 100 -1.12168085228338 1.94979522033194e-163 1
6 Adipose_Subcutaneous ENSG00000203875.6 100 0.886508019257559 1.2159422151365e-154 1
5 Adipose_Subcutaneous ENSG00000164308.12 100 0.968143643584424 4.70518314499e-150 1
12 Adipose_Subcutaneous ENSG00000197728.5 100 -1.00208891508595 2.36749185688526e-145 1
9 Adipose_Subcutaneous ENSG00000226752.3 100 -0.997206471868067 8.65695573387552e-134 1
17 Adipose_Subcutaneous ENSG00000204650.9 100 1.14835471234105 2.55015811569251e-133 1
11 Adipose_Subcutaneous ENSG00000166435.11 100 1.1734880297403 4.82104330189357e-132 1
2 Adipose_Subcutaneous ENSG00000204792.2 100 1.04876611424785 5.02463778716262e-128 1
19 Adipose_Subcutaneous ENSG00000174652.13 100 0.888397807470864 2.03880247613952e-125 1
8 Adipose_Subcutaneous ENSG00000071894.10 100 -0.961511500390851 1.24088237452381e-124 1
22 Adipose_Subcutaneous ENSG00000218537.1 100 1.07336198550012 1.53103045982776e-123 1
1 Adipose_Subcutaneous ENSG00000236624.4 100 -1.18147435628261 1.67848327102273e-122 1
14 Adipose_Subcutaneous ENSG00000258289.3 100 1.03983379496374 5.60299029724413e-120 1
19 Adipose_Subcutaneous ENSG00000197020.6 100 -0.941192862837028 6.45497433333626e-117 1
22 Adipose_Subcutaneous ENSG00000273295.1 100 1.00807294322216 1.85167619697096e-115 1
3 Adipose_Subcutaneous ENSG00000163576.13 100 1.05016634568615 9.45399057343422e-115 1
16 Adipose_Subcutaneous ENSG00000234719.4 100 -1.03707614497704 1.56928949811685e-110 1
17 Adipose_Subcutaneous ENSG00000187624.7 100 1.13066930202171 1.58072616211677e-109 1
1 Adipose_Subcutaneous ENSG00000142856.12 100 -0.997814436931273 2.27450522765685e-108 1
16 Adipose_Subcutaneous ENSG00000059122.12 100 0.732750042252728 2.74103697833657e-108 1
7 Adipose_Subcutaneous ENSG00000226278.1 100 0.986201531191881 1.91748247177461e-107 1
22 Adipose_Subcutaneous ENSG00000183172.8 100 0.749687203588052 3.96598280717701e-107 1
1 Adipose_Subcutaneous ENSG00000117226.7 100 -0.794669739171838 3.98710854299394e-107 1
17 Adipose_Subcutaneous ENSG00000006282.15 100 -0.832913433742437 4.32066367850812e-107 1
8 Adipose_Subcutaneous ENSG00000254859.1 100 -0.900512280293649 2.01106344681009e-105 1
7 Adipose_Subcutaneous ENSG00000121716.14 100 0.847759148054211 5.91221964167192e-105 1
4 Adipose_Subcutaneous ENSG00000163682.11 100 -0.674099906648503 8.77237580788651e-105 1
17 Adipose_Subcutaneous ENSG00000198496.6 100 -0.931917156886037 1.17600465254862e-104 1
12 Adipose_Subcutaneous ENSG00000166896.3 100 -0.853852159252906 1.45410896700293e-104 1
7 Adipose_Subcutaneous ENSG00000226824.2 100 0.969945287606044 1.47239460656467e-104 1
1 Adipose_Subcutaneous ENSG00000084072.12 100 1.01961592550295 3.30816944895944e-104 1
2 Adipose_Subcutaneous ENSG00000162994.11 100 1.27067736208731 3.52776324057166e-104 1
17 Adipose_Subcutaneous ENSG00000214425.2 100 -1.06651068923521 7.07047464817785e-104 1
7 Adipose_Subcutaneous ENSG00000230715.2 100 0.786901324750864 6.12668553845483e-102 1
15 Adipose_Subcutaneous ENSG00000140400.10 100 0.745864183426334 1.01873894076871e-101 1
17 Adipose_Subcutaneous ENSG00000141560.10 100 -0.928388620762572 1.41952976758008e-101 1
2 Adipose_Subcutaneous ENSG00000240344.4 100 -0.92279959535724 2.20107759126804e-100 1
11 Adipose_Subcutaneous ENSG00000109854.9 100 0.704391354419357 2.7916096829824e-100 1
6 Adipose_Subcutaneous ENSG00000179344.12 100 -0.896168846680961 3.83377157695847e-100 1
7 Adipose_Subcutaneous ENSG00000165171.6 100 -0.93199722632753 1.82712209023869e-99 1
22 Adipose_Subcutaneous ENSG00000240972.1 100 1.01952267138303 2.53064745663504e-99 1
9 Adipose_Subcutaneous ENSG00000225434.2 100 0.895214985325679 3.56562075379695e-98 1
11 Adipose_Subcutaneous ENSG00000020922.8 100 0.93150776897897 4.65167833350775e-98 1
7 Adipose_Subcutaneous ENSG00000254184.3 100 1.13701143000254 6.27167915591671e-98 1
15 Adipose_Subcutaneous ENSG00000270127.1 100 -0.945273570976614 6.31419272402429e-98 1
17 Adipose_Subcutaneous ENSG00000262539.1 100 1.17010772573685 8.38875045787736e-98 1
1 Adipose_Subcutaneous ENSG00000198468.3 100 0.974739102924591 3.69473833587645e-97 1
1 Adipose_Subcutaneous ENSG00000142794.14 100 -1.00515342953757 7.7524926011544e-97 1
7 Adipose_Subcutaneous ENSG00000230658.1 100 0.966373166437089 2.09918192101161e-96 1
3 Adipose_Subcutaneous ENSG00000178252.13 100 -0.631544451370348 1.26990945264875e-95 1
17 Adipose_Subcutaneous ENSG00000214401.4 100 1.37776759176399 1.45381756946956e-95 1
6 Adipose_Subcutaneous ENSG00000215190.4 100 -0.910718249465628 2.22738732981693e-95 1
2 Adipose_Subcutaneous ENSG00000144115.12 100 1.06055585533512 6.69041616889598e-95 1
8 Adipose_Subcutaneous ENSG00000221947.3 100 0.993707890597216 9.79683951894082e-95 1
7 Adipose_Subcutaneous ENSG00000229043.2 100 -0.767902527357398 3.13827986296939e-94 1
10 Adipose_Subcutaneous ENSG00000165985.8 100 0.960242317022706 4.48539323802356e-94 1
8 Adipose_Subcutaneous ENSG00000014164.6 100 -0.781912652635129 7.59867540225024e-94 1
11 Adipose_Subcutaneous ENSG00000149231.7 100 1.10849892463387 9.34705377727425e-94 1
7 Adipose_Subcutaneous ENSG00000234585.2 100 0.928411702511202 1.29648466675987e-93 1
5 Adipose_Subcutaneous ENSG00000164346.5 100 1.0510405907506 1.37195677914499e-93 1
2 Adipose_Subcutaneous ENSG00000236209.1 100 0.894590482221295 2.49511435976983e-93 1
7 Adipose_Subcutaneous ENSG00000242588.2 100 0.65732705082948 4.03039206354305e-93 1
7 Adipose_Subcutaneous ENSG00000271529.1 100 0.833176594751364 4.92749657668263e-93 1
1 Adipose_Subcutaneous ENSG00000218510.3 100 1.01257257525165 7.98318271593382e-93 1
20 Adipose_Subcutaneous ENSG00000214078.7 100 -1.17477825861023 1.19782891530374e-92 1
16 Adipose_Subcutaneous ENSG00000226232.4 100 -0.810339793222762 1.84379756496878e-92 1
17 Adipose_Subcutaneous ENSG00000238083.3 100 1.11443852657393 2.03640830107472e-92 1
11 Adipose_Subcutaneous ENSG00000149084.7 100 -0.767773603615967 2.8806860751018e-92 1
15 Adipose_Subcutaneous ENSG00000244879.3 100 0.849615920669955 1.03407478745424e-91 1
12 Adipose_Subcutaneous ENSG00000257176.1 100 0.852646971069426 1.33785852984643e-91 1
6 Adipose_Subcutaneous ENSG00000228506.1 100 0.837819109607108 1.41664995376946e-91 1
18 Adipose_Subcutaneous ENSG00000101639.14 100 -0.820299198298458 2.08245758673286e-91 1
7 Adipose_Subcutaneous ENSG00000242294.2 100 0.809528944378005 2.47882585991602e-91 1
6 Adipose_Subcutaneous ENSG00000124587.9 100 0.72389723187038 7.1846534776011e-90 1
6 Adipose_Subcutaneous ENSG00000198502.5 100 -1.18028977272879 7.57969488175411e-90 1
12 Adipose_Subcutaneous ENSG00000172322.9 100 1.02941736960666 8.07191050173613e-90 1
22 Adipose_Subcutaneous ENSG00000224086.3 100 -0.682972063747363 9.13215281471086e-90 1
6 Adipose_Subcutaneous ENSG00000204644.5 100 1.03440838293937 1.28207313558364e-89 1
17 Adipose_Subcutaneous ENSG00000263503.1 100 1.36587561046085 1.29595493066529e-89 1
2 Adipose_Subcutaneous ENSG00000236397.2 100 1.04234834478514 1.92833004828572e-89 1
7 Adipose_Subcutaneous ENSG00000243679.1 100 0.699636558445345 2.81839794580665e-89 1
19 Adipose_Subcutaneous ENSG00000267594.5 100 -0.934989721991798 5.86098796309503e-89 1
11 Adipose_Subcutaneous ENSG00000254851.1 100 1.09731035641165 3.30496796221722e-88 1
3 Adipose_Subcutaneous ENSG00000129055.8 100 0.741608997100489 7.82425162193904e-88 1
11 Adipose_Subcutaneous ENSG00000255893.1 100 0.953833914535416 3.37979826512931e-87 1
16 Adipose_Subcutaneous ENSG00000130731.11 100 0.81698887850987 3.42912284774017e-87 1
2 Adipose_Subcutaneous ENSG00000236682.1 100 -1.14997922197429 2.13812695101775e-85 1
12 Adipose_Subcutaneous ENSG00000180481.6 100 -0.831683377915925 3.36761471918559e-85 1
15 Adipose_Subcutaneous ENSG00000259715.1 100 0.854842691441808 4.84070178304869e-85 1
22 Adipose_Subcutaneous ENSG00000184674.8 100 -1.0058505473598 5.5063001882702e-85 1
6 Adipose_Subcutaneous ENSG00000272462.2 100 -0.924355269518696 8.42289830543883e-85 1
11 Adipose_Subcutaneous ENSG00000177236.3 100 -0.828876628592233 8.54687697183343e-85 1
5 Adipose_Subcutaneous ENSG00000248275.1 100 -0.627768806547915 1.67831099382321e-84 1
17 Adipose_Subcutaneous ENSG00000264070.1 100 1.46987096532692 2.66576157459379e-84 1
6 Adipose_Subcutaneous ENSG00000270346.1 100 0.744878418176257 4.13597522961091e-84 1
20 Adipose_Subcutaneous ENSG00000224497.1 100 1.18673937179899 7.94533162219067e-84 1
10 Adipose_Subcutaneous ENSG00000183605.12 100 0.708832594784352 9.56985252646434e-84 1
3 Adipose_Subcutaneous ENSG00000163703.13 100 0.694870736894372 9.90637415085861e-84 1
19 Adipose_Subcutaneous ENSG00000182013.13 100 0.926827951623352 1.60812853101198e-83 1
