chr tissue gene peer beta p_value eGene
12 Adipose_Visceral_Omentum ENSG00000197728.5 100 -1.04824062198328 1.82912895227245e-126 1
11 Adipose_Visceral_Omentum ENSG00000166435.11 100 1.1258367595618 2.07746630451915e-122 1
12 Adipose_Visceral_Omentum ENSG00000013573.12 100 -1.00721442122189 8.90151971351553e-122 1
5 Adipose_Visceral_Omentum ENSG00000164308.12 100 0.942451767824624 1.41022141873001e-112 1
6 Adipose_Visceral_Omentum ENSG00000203875.6 100 0.888421778535448 1.79956615620776e-110 1
17 Adipose_Visceral_Omentum ENSG00000204650.9 100 0.875225999673781 1.67872932679904e-107 1
19 Adipose_Visceral_Omentum ENSG00000174652.13 100 0.848167341235504 5.2187894204149e-106 1
1 Adipose_Visceral_Omentum ENSG00000142856.12 100 -1.06043054154699 5.35603570316634e-103 1
2 Adipose_Visceral_Omentum ENSG00000204792.2 100 1.08005806569217 4.17323353813877e-101 1
7 Adipose_Visceral_Omentum ENSG00000226278.1 100 1.07219316520471 6.08009544473661e-101 1
9 Adipose_Visceral_Omentum ENSG00000226752.3 100 -0.936761314006636 1.17937042211919e-97 1
17 Adipose_Visceral_Omentum ENSG00000187624.7 100 1.06861989333459 9.95086720748224e-94 1
17 Adipose_Visceral_Omentum ENSG00000006282.15 100 -0.77394556197745 2.10163836332756e-92 1
15 Adipose_Visceral_Omentum ENSG00000140400.10 100 0.866730155599741 4.46894583836855e-92 1
14 Adipose_Visceral_Omentum ENSG00000258289.3 100 1.01428802438906 3.99389669362729e-91 1
16 Adipose_Visceral_Omentum ENSG00000059122.12 100 0.843412496601935 2.00393055123089e-90 1
1 Adipose_Visceral_Omentum ENSG00000218510.3 100 0.986140642627627 2.87986674752018e-90 1
22 Adipose_Visceral_Omentum ENSG00000183172.8 100 -0.668523527200511 7.77961538709395e-89 1
8 Adipose_Visceral_Omentum ENSG00000071894.10 100 -0.872035895346065 1.61767681301339e-88 1
17 Adipose_Visceral_Omentum ENSG00000214425.2 100 -1.05846432244853 8.37880218355807e-88 1
8 Adipose_Visceral_Omentum ENSG00000254859.1 100 -0.926988681320662 5.09343311235878e-86 1
7 Adipose_Visceral_Omentum ENSG00000121716.14 100 0.815238062907148 7.25607499645341e-86 1
1 Adipose_Visceral_Omentum ENSG00000117226.7 100 -0.803295248621682 1.16612960806791e-85 1
22 Adipose_Visceral_Omentum ENSG00000273295.1 100 0.922417994577396 6.28164072990593e-85 1
16 Adipose_Visceral_Omentum ENSG00000234719.4 100 -1.05825630799374 2.23493143902796e-83 1
4 Adipose_Visceral_Omentum ENSG00000163682.11 100 -0.717593756384863 2.25556586781116e-83 1
7 Adipose_Visceral_Omentum ENSG00000229043.2 100 -0.786888493223057 7.27014001343347e-83 1
8 Adipose_Visceral_Omentum ENSG00000014164.6 100 -0.838472466507681 2.80315147558315e-82 1
7 Adipose_Visceral_Omentum ENSG00000226824.2 100 0.962401660173582 3.95847950703285e-82 1
17 Adipose_Visceral_Omentum ENSG00000262539.1 100 1.19681043312596 5.12689546459706e-82 1
11 Adipose_Visceral_Omentum ENSG00000149231.7 100 1.15110828957429 5.17075290274767e-82 1
6 Adipose_Visceral_Omentum ENSG00000204644.5 100 1.1353145999624 6.39414394833144e-82 1
7 Adipose_Visceral_Omentum ENSG00000165171.6 100 -0.968060492143976 7.46937843321635e-82 1
17 Adipose_Visceral_Omentum ENSG00000214401.4 100 1.15650898393357 1.3521507064298e-81 1
2 Adipose_Visceral_Omentum ENSG00000162994.11 100 1.00515153108676 2.57776692314744e-81 1
12 Adipose_Visceral_Omentum ENSG00000180481.6 100 -0.831671630643461 3.38979584815052e-81 1
6 Adipose_Visceral_Omentum ENSG00000198502.5 100 -1.33205729156648 2.34660870953297e-80 1
1 Adipose_Visceral_Omentum ENSG00000236624.4 100 -0.93814395647917 4.8836834628633e-80 1
17 Adipose_Visceral_Omentum ENSG00000263503.1 100 1.36053056177066 7.2330745328458e-80 1
15 Adipose_Visceral_Omentum ENSG00000270127.1 100 -0.887545080940778 1.03515774946454e-79 1
22 Adipose_Visceral_Omentum ENSG00000218537.1 100 1.00563604665212 2.2669732532252e-78 1
1 Adipose_Visceral_Omentum ENSG00000084072.12 100 0.967075259915689 2.76298098135786e-78 1
8 Adipose_Visceral_Omentum ENSG00000221947.3 100 0.964237224517845 3.21815698890935e-78 1
5 Adipose_Visceral_Omentum ENSG00000197083.7 100 1.40125209643129 1.40237896903419e-77 1
12 Adipose_Visceral_Omentum ENSG00000166896.3 100 -0.774081019976335 2.01382746064378e-77 1
6 Adipose_Visceral_Omentum ENSG00000179344.12 100 -0.906524396068001 4.2204368632163e-77 1
7 Adipose_Visceral_Omentum ENSG00000196295.7 100 -0.749597516559851 4.27103089872924e-77 1
2 Adipose_Visceral_Omentum ENSG00000236682.1 100 -1.15266771973143 1.94624607368957e-76 1
11 Adipose_Visceral_Omentum ENSG00000020922.8 100 0.953772136799318 2.2550373056878e-76 1
22 Adipose_Visceral_Omentum ENSG00000184674.8 100 1.0221354472345 2.53242190178919e-76 1
5 Adipose_Visceral_Omentum ENSG00000248275.1 100 -0.64565037745988 3.74455272256093e-76 1
9 Adipose_Visceral_Omentum ENSG00000225434.2 100 0.992037300844057 3.77880833671736e-76 1
17 Adipose_Visceral_Omentum ENSG00000264070.1 100 1.22978318315084 3.41713949479944e-74 1
2 Adipose_Visceral_Omentum ENSG00000240344.4 100 -0.840291947095056 6.37342612741497e-73 1
1 Adipose_Visceral_Omentum ENSG00000236933.1 100 -1.05421576236455 1.50364417222362e-72 1
17 Adipose_Visceral_Omentum ENSG00000214087.4 100 -1.10193410529989 2.11137578385526e-72 1
6 Adipose_Visceral_Omentum ENSG00000270346.1 100 0.805704080848912 2.28370106898294e-72 1
2 Adipose_Visceral_Omentum ENSG00000234171.1 100 -0.925798195040026 3.01355252286675e-72 1
7 Adipose_Visceral_Omentum ENSG00000254184.3 100 1.08108339161273 3.4907840603182e-72 1
7 Adipose_Visceral_Omentum ENSG00000242294.2 100 0.834922463397312 7.69279732059932e-72 1
6 Adipose_Visceral_Omentum ENSG00000124587.9 100 0.627473118170284 9.23803968997495e-72 1
2 Adipose_Visceral_Omentum ENSG00000236209.1 100 0.903781324149978 1.08226293948983e-71 1
20 Adipose_Visceral_Omentum ENSG00000214078.7 100 -1.16041282001886 2.8585848435738e-71 1
19 Adipose_Visceral_Omentum ENSG00000267594.5 100 -0.955583523826285 8.19110872263051e-71 1
11 Adipose_Visceral_Omentum ENSG00000177236.3 100 -0.685617973654132 1.20965477493285e-70 1
17 Adipose_Visceral_Omentum ENSG00000154803.8 100 0.621611386842857 1.72611852749804e-70 1
22 Adipose_Visceral_Omentum ENSG00000100376.7 100 -1.27617858965204 2.29716653857496e-70 1
2 Adipose_Visceral_Omentum ENSG00000236397.2 100 1.02073719089206 2.4490762905257e-70 1
7 Adipose_Visceral_Omentum ENSG00000242588.2 100 0.648857427394629 5.3467075896743e-70 1
11 Adipose_Visceral_Omentum ENSG00000149084.7 100 -0.761370232368811 7.76133882761891e-70 1
17 Adipose_Visceral_Omentum ENSG00000198496.6 100 -0.723936871477152 8.89435631491299e-70 1
1 Adipose_Visceral_Omentum ENSG00000243710.3 100 -0.875640375987223 1.21048735381313e-69 1
14 Adipose_Visceral_Omentum ENSG00000139899.6 100 0.606179597043454 2.00033563379603e-69 1
5 Adipose_Visceral_Omentum ENSG00000164346.5 100 1.05808690841341 4.61227544521769e-69 1
7 Adipose_Visceral_Omentum ENSG00000271529.1 100 0.799279977695651 5.97947573903549e-69 1
13 Adipose_Visceral_Omentum ENSG00000120675.4 100 -0.95470670451818 2.08679940911717e-68 1
2 Adipose_Visceral_Omentum ENSG00000144115.12 100 1.0229924310168 5.54060997418196e-68 1
22 Adipose_Visceral_Omentum ENSG00000260065.1 100 0.622843481354219 9.45989605821989e-68 1
3 Adipose_Visceral_Omentum ENSG00000163576.13 100 0.952158499294459 1.04179746829535e-67 1
6 Adipose_Visceral_Omentum ENSG00000215190.4 100 -0.824378283457042 3.29280518731638e-67 1
17 Adipose_Visceral_Omentum ENSG00000141560.10 100 -0.751930950309748 6.50264655833231e-67 1
19 Adipose_Visceral_Omentum ENSG00000197020.6 100 -0.840249839129858 2.18687453662063e-66 1
17 Adipose_Visceral_Omentum ENSG00000141698.12 100 -0.75947542120068 2.99681817277534e-66 1
1 Adipose_Visceral_Omentum ENSG00000272668.1 100 0.52821902094266 6.22442201086803e-66 1
2 Adipose_Visceral_Omentum ENSG00000169629.7 100 -1.10424065689192 7.03131513424782e-66 1
15 Adipose_Visceral_Omentum ENSG00000259205.2 100 -0.835902000106199 8.15634159996351e-66 1
3 Adipose_Visceral_Omentum ENSG00000129055.8 100 0.728563024568609 1.02006945455674e-65 1
1 Adipose_Visceral_Omentum ENSG00000223745.3 100 0.673589721963815 2.77768066198333e-65 1
3 Adipose_Visceral_Omentum ENSG00000227124.4 100 1.36241439585619 2.14110688962178e-64 1
17 Adipose_Visceral_Omentum ENSG00000238083.3 100 0.896330486939205 2.16966494773769e-64 1
6 Adipose_Visceral_Omentum ENSG00000231760.2 100 0.95461224100184 2.35125695977565e-64 1
7 Adipose_Visceral_Omentum ENSG00000230658.1 100 0.894008508462708 2.41547621401157e-64 1
11 Adipose_Visceral_Omentum ENSG00000254851.1 100 1.05985012856204 3.79034258743568e-64 1
1 Adipose_Visceral_Omentum ENSG00000142794.14 100 -0.792030426907874 4.0689933261437e-64 1
4 Adipose_Visceral_Omentum ENSG00000109775.6 100 0.707898552485707 4.56751856122215e-64 1
11 Adipose_Visceral_Omentum ENSG00000197345.8 100 -0.574681120205241 5.06972252228412e-64 1
10 Adipose_Visceral_Omentum ENSG00000165985.8 100 0.909216553353136 2.38205842829641e-63 1
22 Adipose_Visceral_Omentum ENSG00000224086.3 100 -0.594465634504705 3.04819081810325e-63 1
7 Adipose_Visceral_Omentum ENSG00000106610.10 100 -0.805678415068235 3.2005390886217e-63 1
1 Adipose_Visceral_Omentum ENSG00000116157.5 100 -0.635241119372309 4.48721763958337e-63 1
17 Adipose_Visceral_Omentum ENSG00000273018.1 100 -0.959876291742894 4.57909502543019e-63 1
22 Adipose_Visceral_Omentum ENSG00000240972.1 100 0.935538058003461 6.5687335379616e-63 1
10 Adipose_Visceral_Omentum ENSG00000099290.11 100 -0.988442073376906 6.99076870421226e-63 1
12 Adipose_Visceral_Omentum ENSG00000257176.1 100 0.851806711104048 7.2873955363722e-63 1
15 Adipose_Visceral_Omentum ENSG00000157823.12 100 -0.600099006183604 1.62788060823357e-62 1
9 Adipose_Visceral_Omentum ENSG00000106733.16 100 -0.683496165563547 3.40911176324622e-62 1
2 Adipose_Visceral_Omentum ENSG00000226124.2 100 -0.732509642885037 3.41587263401333e-62 1
12 Adipose_Visceral_Omentum ENSG00000247157.2 100 -0.868903243153369 3.89531151010348e-62 1
17 Adipose_Visceral_Omentum ENSG00000171928.9 100 -0.609159042696132 4.49973047344502e-62 1
16 Adipose_Visceral_Omentum ENSG00000095917.9 100 0.793371139769479 5.2822864239752e-62 1
1 Adipose_Visceral_Omentum ENSG00000198468.3 100 0.862606898497747 5.47438778632464e-62 1
6 Adipose_Visceral_Omentum ENSG00000237541.3 100 1.05551570191372 5.6420426042643e-62 1
16 Adipose_Visceral_Omentum ENSG00000261613.2 100 1.16124594893027 5.81969779932902e-62 1
14 Adipose_Visceral_Omentum ENSG00000259065.1 100 1.12446722769499 5.99563786468273e-62 1
18 Adipose_Visceral_Omentum ENSG00000101639.14 100 -0.640198829126377 1.14248702342773e-61 1
12 Adipose_Visceral_Omentum ENSG00000139192.7 100 0.613997701336507 1.27211356968705e-61 1
7 Adipose_Visceral_Omentum ENSG00000185290.3 100 1.11562646625209 2.30153097843986e-61 1
1 Adipose_Visceral_Omentum ENSG00000162782.11 100 0.877839549329022 3.22754019643505e-61 1
3 Adipose_Visceral_Omentum ENSG00000241186.3 100 0.994572601353343 6.84002570051074e-61 1
17 Adipose_Visceral_Omentum ENSG00000233327.6 100 -0.927986095845519 8.4516347314434e-61 1
1 Adipose_Visceral_Omentum ENSG00000226251.1 100 1.04659807766523 1.28098440367012e-60 1
5 Adipose_Visceral_Omentum ENSG00000188002.6 100 -0.874558332725933 1.86784769123043e-60 1
19 Adipose_Visceral_Omentum ENSG00000261770.1 100 -1.15773552560424 2.08366478231089e-60 1
7 Adipose_Visceral_Omentum ENSG00000234585.2 100 -0.741272449909225 3.53857112485709e-60 1
4 Adipose_Visceral_Omentum ENSG00000038002.4 100 0.686761044223778 4.49579083375526e-60 1
11 Adipose_Visceral_Omentum ENSG00000132740.4 100 0.760550724716768 5.20580741093331e-60 1
6 Adipose_Visceral_Omentum ENSG00000112031.11 100 -0.572374502025786 1.20424402079354e-59 1
1 Adipose_Visceral_Omentum ENSG00000117748.5 100 1.33085464771017 1.35857732909269e-59 1
16 Adipose_Visceral_Omentum ENSG00000103550.9 100 0.825854305016277 1.52665673187573e-59 1
19 Adipose_Visceral_Omentum ENSG00000221923.4 100 0.751495624162444 1.90320452817735e-59 1
15 Adipose_Visceral_Omentum ENSG00000244879.3 100 0.790824543769999 2.05204862553876e-59 1
1 Adipose_Visceral_Omentum ENSG00000134202.6 100 0.630004308347117 2.64940687555797e-59 1
7 Adipose_Visceral_Omentum ENSG00000230715.2 100 0.711421109776699 2.77436678501368e-59 1
6 Adipose_Visceral_Omentum ENSG00000232629.4 100 0.944795187020503 3.91535519937223e-59 1
15 Adipose_Visceral_Omentum ENSG00000137877.8 100 -0.859977893224694 5.505580567868e-59 1
6 Adipose_Visceral_Omentum ENSG00000186470.9 100 -0.885829938573398 6.85230864918707e-59 1
16 Adipose_Visceral_Omentum ENSG00000130731.11 100 0.650231954932903 8.11013325192461e-59 1
20 Adipose_Visceral_Omentum ENSG00000230563.2 100 0.996669539000915 1.84606932232007e-58 1
1 Adipose_Visceral_Omentum ENSG00000189339.7 100 -0.646304938477465 3.40965539117387e-58 1
1 Adipose_Visceral_Omentum ENSG00000189266.7 100 -0.786215217618991 3.50459779714495e-58 1
18 Adipose_Visceral_Omentum ENSG00000263006.2 100 0.946472216385311 4.09413549608826e-58 1
7 Adipose_Visceral_Omentum ENSG00000146833.11 100 0.569044052843498 6.50621625125922e-58 1
20 Adipose_Visceral_Omentum ENSG00000196756.7 100 -0.557208927219559 1.14565827871189e-57 1
7 Adipose_Visceral_Omentum ENSG00000223855.1 100 0.744495940250911 1.63829522594181e-57 1
2 Adipose_Visceral_Omentum ENSG00000054219.9 100 0.713029455685828 2.99018372934931e-57 1
2 Adipose_Visceral_Omentum ENSG00000152117.13 100 -0.505520450187283 4.47591146146745e-57 1
7 Adipose_Visceral_Omentum ENSG00000226002.1 100 0.948892130623945 1.02786196527961e-56 1
2 Adipose_Visceral_Omentum ENSG00000095002.8 100 0.788828752252912 1.13499055235178e-56 1
11 Adipose_Visceral_Omentum ENSG00000255893.1 100 0.938517681095186 1.21448344869814e-56 1
12 Adipose_Visceral_Omentum ENSG00000172322.9 100 0.814470417997412 2.3064806101605e-56 1
4 Adipose_Visceral_Omentum ENSG00000249378.1 100 0.95933328418324 3.07419493421187e-56 1
2 Adipose_Visceral_Omentum ENSG00000152254.6 100 0.892375103747317 3.35481512624405e-56 1
15 Adipose_Visceral_Omentum ENSG00000260776.1 100 0.845100836041639 4.0972856989226e-56 1
5 Adipose_Visceral_Omentum ENSG00000168903.8 100 0.956585703042065 4.36197607448743e-56 1
7 Adipose_Visceral_Omentum ENSG00000188372.10 100 1.04202788697894 6.46928551768583e-56 1
9 Adipose_Visceral_Omentum ENSG00000235310.1 100 1.00067880050572 7.16059309273112e-56 1
16 Adipose_Visceral_Omentum ENSG00000226232.4 100 -0.889532440243924 8.12512731659559e-56 1
2 Adipose_Visceral_Omentum ENSG00000198203.5 100 1.28035793729527 1.1367465025257e-55 1
1 Adipose_Visceral_Omentum ENSG00000187010.14 100 -0.917686849874241 2.26236094527305e-55 1
4 Adipose_Visceral_Omentum ENSG00000145217.9 100 -0.832088484410034 3.47825634946974e-55 1
6 Adipose_Visceral_Omentum ENSG00000229391.3 100 0.986983864580768 4.36408474172824e-55 1
11 Adipose_Visceral_Omentum ENSG00000254614.1 100 -0.93339503338557 4.86302553073553e-55 1
6 Adipose_Visceral_Omentum ENSG00000230438.5 100 -0.814769755611733 6.72950722689951e-55 1
17 Adipose_Visceral_Omentum ENSG00000262877.3 100 0.867796304385499 7.98892230376545e-55 1
12 Adipose_Visceral_Omentum ENSG00000111450.9 100 0.529042181132617 1.08029822614189e-54 1
19 Adipose_Visceral_Omentum ENSG00000268362.1 100 1.00160804119691 1.42418040132755e-54 1
1 Adipose_Visceral_Omentum ENSG00000235098.4 100 -0.956227346097562 1.68407261817735e-54 1
22 Adipose_Visceral_Omentum ENSG00000235231.3 100 0.852714724380524 2.00824054163829e-54 1
1 Adipose_Visceral_Omentum ENSG00000237975.2 100 -0.847044767264069 4.87783573211938e-54 1
12 Adipose_Visceral_Omentum ENSG00000166532.11 100 0.541742186235914 4.94820351394515e-54 1
7 Adipose_Visceral_Omentum ENSG00000243679.1 100 0.596459433713804 6.3039737750128e-54 1
19 Adipose_Visceral_Omentum ENSG00000188321.9 100 -0.806761054029963 7.04529848561905e-54 1
6 Adipose_Visceral_Omentum ENSG00000272221.1 100 -0.887052943720209 7.06198719014742e-54 1
19 Adipose_Visceral_Omentum ENSG00000266903.1 100 1.27612683510801 8.7481409690941e-54 1
3 Adipose_Visceral_Omentum ENSG00000004534.10 100 0.408018164405077 2.9392203113382e-53 1
17 Adipose_Visceral_Omentum ENSG00000213077.5 100 -0.892621883704825 3.27811110903764e-53 1
9 Adipose_Visceral_Omentum ENSG00000235832.2 100 0.949290827656726 6.98688915857553e-53 1
11 Adipose_Visceral_Omentum ENSG00000172803.13 100 1.02814851627283 7.68613365290266e-53 1
7 Adipose_Visceral_Omentum ENSG00000146707.10 100 0.963242823553462 9.69200540531736e-53 1
20 Adipose_Visceral_Omentum ENSG00000224497.1 100 1.15044495570522 1.23316869975203e-52 1
22 Adipose_Visceral_Omentum ENSG00000100296.9 100 -0.813297329121827 1.45374403367458e-52 1
1 Adipose_Visceral_Omentum ENSG00000162877.8 100 -0.898164809358421 1.54764146878275e-52 1
22 Adipose_Visceral_Omentum ENSG00000230513.1 100 -0.763352598458985 1.56588600655265e-52 1
22 Adipose_Visceral_Omentum ENSG00000093072.11 100 0.621663693423465 3.05760562519149e-52 1
4 Adipose_Visceral_Omentum ENSG00000198515.9 100 0.86867471510757 3.06838395557467e-52 1
6 Adipose_Visceral_Omentum ENSG00000239257.1 100 0.626392196840921 5.55859681405178e-52 1
20 Adipose_Visceral_Omentum ENSG00000224635.1 100 -0.798344538675168 6.09863915274331e-52 1
6 Adipose_Visceral_Omentum ENSG00000225851.1 100 0.905329835984543 6.84336397251537e-52 1
6 Adipose_Visceral_Omentum ENSG00000261584.1 100 -0.771781412405687 7.73327553287632e-52 1
14 Adipose_Visceral_Omentum ENSG00000165502.6 100 0.469158283690466 1.05194725256516e-51 1
7 Adipose_Visceral_Omentum ENSG00000228775.3 100 0.569630295740553 1.58658914182313e-51 1
