chr tissue gene peer beta p_value eGene
12 Adrenal_Gland ENSG00000013573.12 90 -0.952916225620554 3.8612549374218e-73 1
19 Adrenal_Gland ENSG00000174652.13 90 0.823656872850423 3.31504383907851e-60 1
11 Adrenal_Gland ENSG00000166435.11 90 1.21884082353181 1.6163725961847e-59 1
7 Adrenal_Gland ENSG00000229043.2 90 -0.886112316103458 1.34123557630139e-58 1
5 Adrenal_Gland ENSG00000164308.12 90 1.02942265826281 4.4362526736892e-57 1
22 Adrenal_Gland ENSG00000273295.1 90 1.10763507395787 9.63136975963165e-56 1
17 Adrenal_Gland ENSG00000187624.7 90 0.999934130200236 2.77693240699378e-55 1
16 Adrenal_Gland ENSG00000234719.4 90 -1.01566857927138 6.09683598044998e-55 1
19 Adrenal_Gland ENSG00000186230.6 90 0.956777013039014 1.35436603128946e-53 1
2 Adrenal_Gland ENSG00000226124.2 90 -0.827461898925431 3.85387512642604e-53 1
6 Adrenal_Gland ENSG00000203875.6 90 0.94457976842051 5.33152327314617e-53 1
3 Adrenal_Gland ENSG00000163576.13 90 0.984987449260957 2.68523632679453e-52 1
9 Adrenal_Gland ENSG00000106733.16 90 -0.977586158526123 1.15517889112845e-51 1
17 Adrenal_Gland ENSG00000204650.9 90 1.08685316425233 3.23058160372406e-51 1
8 Adrenal_Gland ENSG00000071894.10 90 -0.960793075757474 4.62620461201596e-51 1
6 Adrenal_Gland ENSG00000230438.5 90 -1.05506068632757 5.94903106915385e-51 1
11 Adrenal_Gland ENSG00000246174.3 90 -0.88692151294437 1.06874037150208e-49 1
8 Adrenal_Gland ENSG00000221947.3 90 0.98028515116217 1.30670816838918e-49 1
9 Adrenal_Gland ENSG00000226752.3 90 -0.938740612919146 3.24362718832225e-49 1
14 Adrenal_Gland ENSG00000258289.3 90 0.788896536945489 1.55202652815423e-48 1
2 Adrenal_Gland ENSG00000236397.2 90 1.01696109243446 1.7791235983234e-48 1
1 Adrenal_Gland ENSG00000236624.4 90 -1.07719850565707 8.10427889683244e-48 1
2 Adrenal_Gland ENSG00000204792.2 90 0.936721693365925 8.61056868354284e-48 1
7 Adrenal_Gland ENSG00000226278.1 90 1.0499745016885 1.31728501293005e-47 1
12 Adrenal_Gland ENSG00000197728.5 90 -0.811620624886125 2.7896697963351e-47 1
22 Adrenal_Gland ENSG00000218537.1 90 0.992456389554277 2.96289934223988e-47 1
17 Adrenal_Gland ENSG00000141540.6 90 -0.954105251865898 3.29645863750309e-46 1
1 Adrenal_Gland ENSG00000142856.12 90 1.00631571980453 3.69012127838905e-46 1
15 Adrenal_Gland ENSG00000244879.3 90 0.847730162777822 3.74686047935289e-46 1
1 Adrenal_Gland ENSG00000198468.3 90 1.01056014404186 5.45221110526926e-46 1
12 Adrenal_Gland ENSG00000239335.4 90 -0.985209954505065 5.58950822436287e-46 1
2 Adrenal_Gland ENSG00000234171.1 90 -1.00574814593109 6.33742440390751e-46 1
17 Adrenal_Gland ENSG00000214425.2 90 -1.2093709936892 6.43619601304535e-45 1
7 Adrenal_Gland ENSG00000230658.1 90 0.836080398435986 6.44442881028183e-45 1
6 Adrenal_Gland ENSG00000124587.9 90 0.777859734089384 1.42684415676192e-44 1
3 Adrenal_Gland ENSG00000241186.3 90 1.09918174758694 7.87235698698634e-44 1
5 Adrenal_Gland ENSG00000253404.1 90 -1.04669075799588 1.48521493014348e-43 1
5 Adrenal_Gland ENSG00000188002.6 90 -0.922915368770858 2.52269375457539e-43 1
14 Adrenal_Gland ENSG00000139899.6 90 0.890687558362205 2.79236717577242e-43 1
5 Adrenal_Gland ENSG00000151388.6 90 0.877938102788004 3.81871445668182e-43 1
5 Adrenal_Gland ENSG00000225138.3 90 0.953257127635844 7.24145931684474e-43 1
2 Adrenal_Gland ENSG00000144115.12 90 1.18070722731404 2.67589482659986e-42 1
19 Adrenal_Gland ENSG00000182013.13 90 -0.757635689448725 3.29611960800636e-42 1
22 Adrenal_Gland ENSG00000184792.11 90 -1.03570468515307 4.38681371280873e-42 1
20 Adrenal_Gland ENSG00000224497.1 90 1.15234936939793 8.34845713069956e-42 1
2 Adrenal_Gland ENSG00000128683.9 90 -0.847948065497124 1.51173513980041e-41 1
7 Adrenal_Gland ENSG00000121716.14 90 0.67489828019977 1.74343155151792e-41 1
11 Adrenal_Gland ENSG00000182919.10 90 -0.543222054458102 1.88495045343565e-41 1
17 Adrenal_Gland ENSG00000262539.1 90 1.21378826168671 3.44234773093878e-41 1
10 Adrenal_Gland ENSG00000165985.8 90 0.977530684266876 5.98970100331886e-41 1
2 Adrenal_Gland ENSG00000236682.1 90 -1.12132591243033 6.53379906073511e-41 1
2 Adrenal_Gland ENSG00000236209.1 90 0.868439092685596 1.28472990165097e-40 1
18 Adrenal_Gland ENSG00000101639.14 90 -0.824011474445532 1.85700496954455e-40 1
