chr tissue gene peer beta p_value eGene
12 Artery_Aorta ENSG00000013573.12 80 -1.06907486011107 2.92800199731355e-117 1
12 Artery_Aorta ENSG00000197728.5 80 -0.9535692316091 4.03736505841532e-106 1
11 Artery_Aorta ENSG00000166435.11 80 1.16374668197798 4.63824896269381e-103 1
9 Artery_Aorta ENSG00000226752.3 80 -1.01091668686171 2.16023354284722e-96 1
5 Artery_Aorta ENSG00000164308.12 80 1.07270767591245 3.68520835007618e-96 1
19 Artery_Aorta ENSG00000174652.13 80 0.98901073987729 1.75804698656838e-94 1
17 Artery_Aorta ENSG00000204650.9 80 1.09420720611573 1.26228612832816e-87 1
1 Artery_Aorta ENSG00000236624.4 80 -1.27309617132716 2.83771988548907e-85 1
1 Artery_Aorta ENSG00000218510.3 80 1.11729061481547 5.61605889486798e-85 1
6 Artery_Aorta ENSG00000203875.6 80 0.756852539803791 4.81771326012279e-84 1
22 Artery_Aorta ENSG00000218537.1 80 1.06581334393189 2.66613775200366e-83 1
2 Artery_Aorta ENSG00000204792.2 80 1.01692923648464 8.35789363411653e-83 1
7 Artery_Aorta ENSG00000226278.1 80 1.06243754434262 3.90738326746337e-82 1
12 Artery_Aorta ENSG00000139192.7 80 0.959997009293385 3.42389675603806e-81 1
22 Artery_Aorta ENSG00000273295.1 80 1.03858570031607 2.72610356189184e-79 1
17 Artery_Aorta ENSG00000187624.7 80 1.07305155854859 1.85877791571025e-77 1
1 Artery_Aorta ENSG00000142856.12 80 -1.06250205126615 2.19336545283555e-77 1
8 Artery_Aorta ENSG00000071894.10 80 -0.891017379300678 1.11598324182287e-76 1
17 Artery_Aorta ENSG00000141560.10 80 -0.852437571373945 1.28322739504791e-76 1
13 Artery_Aorta ENSG00000261105.1 80 -0.966316143114362 1.068936401839e-74 1
22 Artery_Aorta ENSG00000100296.9 80 -1.02735991705069 2.93524959686626e-74 1
20 Artery_Aorta ENSG00000214078.7 80 -1.02067276092232 4.12256639181526e-74 1
1 Artery_Aorta ENSG00000117226.7 80 -1.04811360017358 1.90019981310622e-73 1
4 Artery_Aorta ENSG00000248429.1 80 0.839322299467632 5.53144581395169e-73 1
19 Artery_Aorta ENSG00000197020.6 80 -0.861859382017881 7.13773248629557e-73 1
17 Artery_Aorta ENSG00000214425.2 80 -1.15825187437009 1.94986789908162e-72 1
17 Artery_Aorta ENSG00000154803.8 80 0.820089151045345 2.26545265575599e-72 1
17 Artery_Aorta ENSG00000214401.4 80 1.13208475665573 4.98407279779828e-72 1
17 Artery_Aorta ENSG00000198496.6 80 -0.888277092361614 1.94233573036777e-71 1
11 Artery_Aorta ENSG00000182919.10 80 -0.78484101702563 5.50161439299259e-71 1
15 Artery_Aorta ENSG00000140400.10 80 0.653853634617974 1.64389437351669e-70 1
12 Artery_Aorta ENSG00000180481.6 80 -0.899302417724718 2.20230504710178e-70 1
7 Artery_Aorta ENSG00000196295.7 80 -0.861210848263844 3.12395089202597e-70 1
11 Artery_Aorta ENSG00000197345.8 80 -0.708558022163977 3.72598259908014e-70 1
2 Artery_Aorta ENSG00000240344.4 80 -1.06611121057342 3.7829693871288e-70 1
7 Artery_Aorta ENSG00000226824.2 80 -1.0256279210982 4.06960803485616e-69 1
22 Artery_Aorta ENSG00000184674.8 80 -1.06422063445105 1.06591079714895e-68 1
16 Artery_Aorta ENSG00000059122.12 80 0.735536013964293 1.50275861690233e-68 1
1 Artery_Aorta ENSG00000272668.1 80 0.734289958210899 1.77976267217208e-68 1
9 Artery_Aorta ENSG00000225434.2 80 0.984504675219192 1.8310762324314e-68 1
2 Artery_Aorta ENSG00000236682.1 80 -1.19187379949193 2.81052082306094e-68 1
6 Artery_Aorta ENSG00000204644.5 80 1.18510988924021 4.77298482353404e-68 1
12 Artery_Aorta ENSG00000166896.3 80 -0.877002382789939 5.55627182033261e-68 1
7 Artery_Aorta ENSG00000121716.14 80 0.847047156395506 8.8116182819617e-68 1
17 Artery_Aorta ENSG00000262539.1 80 1.12340571083612 1.31839594318238e-67 1
1 Artery_Aorta ENSG00000142632.12 80 -0.73590290974365 1.46538443593245e-67 1
16 Artery_Aorta ENSG00000234719.4 80 -0.953684097710391 2.10362474750206e-67 1
22 Artery_Aorta ENSG00000100302.6 80 -0.839084521745478 9.91410708023446e-67 1
1 Artery_Aorta ENSG00000116157.5 80 -0.791492922097983 1.08398967191007e-66 1
9 Artery_Aorta ENSG00000126878.8 80 0.853416740174566 4.91195249094424e-66 1
3 Artery_Aorta ENSG00000163576.13 80 1.04266764129629 9.50312357177811e-66 1
11 Artery_Aorta ENSG00000254851.1 80 1.04966388096794 1.03462850135502e-65 1
5 Artery_Aorta ENSG00000155542.7 80 1.10104889199315 1.58538385575706e-65 1
8 Artery_Aorta ENSG00000221947.3 80 0.908068483816637 1.92998908083062e-65 1
12 Artery_Aorta ENSG00000111788.9 80 -0.941574084716773 3.62258551354875e-65 1
22 Artery_Aorta ENSG00000099984.6 80 -1.04885559305696 2.34073692658002e-64 1
17 Artery_Aorta ENSG00000263503.1 80 1.31521006517678 3.10413644543047e-64 1
7 Artery_Aorta ENSG00000229043.2 80 -0.901961249609622 4.92427572573205e-64 1
15 Artery_Aorta ENSG00000157823.12 80 -0.920580990501962 7.35490034194099e-64 1
1 Artery_Aorta ENSG00000223745.3 80 0.575797200291898 9.01892463179893e-64 1
3 Artery_Aorta ENSG00000055955.11 80 0.957039692431639 1.7683696450882e-63 1
2 Artery_Aorta ENSG00000169629.7 80 -1.16708710179173 2.78855896026309e-63 1
14 Artery_Aorta ENSG00000092094.6 80 0.664154780603841 3.95934945382915e-63 1
1 Artery_Aorta ENSG00000198468.3 80 0.934968929629897 6.2899438307262e-63 1
5 Artery_Aorta ENSG00000248275.1 80 -0.76316279045189 9.15781937176542e-63 1
