chr tissue gene peer beta p_value eGene
12 Artery_Coronary ENSG00000013573.12 35 -1.00885181789638 6.32342622605972e-66 1
12 Artery_Coronary ENSG00000197728.5 35 -1.08248210493131 3.8667279128132e-57 1
19 Artery_Coronary ENSG00000174652.13 35 0.899351055477691 8.93202661535806e-54 1
5 Artery_Coronary ENSG00000164308.12 35 1.0079207133651 1.16345740509564e-52 1
22 Artery_Coronary ENSG00000273295.1 35 1.07472875737148 1.26144352495298e-51 1
11 Artery_Coronary ENSG00000166435.11 35 1.1466355246122 4.00110478473432e-50 1
1 Artery_Coronary ENSG00000218510.3 35 1.09122822577019 4.6648018096833e-49 1
6 Artery_Coronary ENSG00000203875.6 35 0.869071506525251 1.16291536554516e-48 1
22 Artery_Coronary ENSG00000218537.1 35 1.06103751495321 7.22845264410141e-48 1
9 Artery_Coronary ENSG00000226752.3 35 -0.816383983743559 3.06387061822076e-45 1
2 Artery_Coronary ENSG00000204792.2 35 0.988462155674044 1.28764261909441e-44 1
17 Artery_Coronary ENSG00000204650.9 35 1.07511797966603 3.79884498466144e-43 1
3 Artery_Coronary ENSG00000163576.13 35 0.994039809853667 2.94019464754966e-42 1
17 Artery_Coronary ENSG00000154803.8 35 0.779462621862361 5.75481993456941e-42 1
1 Artery_Coronary ENSG00000236624.4 35 -1.22013353853888 8.93792310751425e-42 1
17 Artery_Coronary ENSG00000214425.2 35 -1.06311324698054 1.00843662726152e-40 1
7 Artery_Coronary ENSG00000226278.1 35 1.01894991373367 1.66126081803502e-40 1
7 Artery_Coronary ENSG00000226824.2 35 1.09082304746501 2.62252245396728e-40 1
16 Artery_Coronary ENSG00000234719.4 35 -1.08900165520813 3.41451572558305e-40 1
11 Artery_Coronary ENSG00000254851.1 35 1.09389273426657 7.19066217126801e-40 1
8 Artery_Coronary ENSG00000071894.10 35 -0.867443996899294 7.4690944452844e-40 1
17 Artery_Coronary ENSG00000187624.7 35 1.06873431555937 1.42730785093928e-39 1
22 Artery_Coronary ENSG00000100376.7 35 -1.33212481316875 3.97951430695344e-39 1
20 Artery_Coronary ENSG00000214078.7 35 -1.20298927852433 1.32306917815981e-38 1
18 Artery_Coronary ENSG00000101639.14 35 -0.864933109759964 2.35978695644631e-38 1
17 Artery_Coronary ENSG00000006282.15 35 -0.714784707637958 3.24065731491693e-38 1
22 Artery_Coronary ENSG00000240972.1 35 0.949665168066377 4.31494796786618e-38 1
17 Artery_Coronary ENSG00000198496.6 35 -0.850555056536969 4.63362189676074e-38 1
10 Artery_Coronary ENSG00000165985.8 35 0.949731837186486 5.42819463477486e-38 1
2 Artery_Coronary ENSG00000144115.12 35 1.19714153279242 5.55509568066288e-38 1
7 Artery_Coronary ENSG00000230658.1 35 0.902278452562215 8.51978118347794e-38 1
17 Artery_Coronary ENSG00000262539.1 35 1.21510930660186 9.57227252992167e-38 1
19 Artery_Coronary ENSG00000267594.5 35 -0.944823424716916 1.40402477097661e-37 1
6 Artery_Coronary ENSG00000198502.5 35 -1.26767632917907 2.45862517210359e-37 1
7 Artery_Coronary ENSG00000229043.2 35 -0.893165728002331 7.60379781210388e-37 1
17 Artery_Coronary ENSG00000273018.1 35 1.01292707129796 7.77738168491775e-37 1
6 Artery_Coronary ENSG00000204644.5 35 1.14065568828521 9.42658463422689e-37 1
1 Artery_Coronary ENSG00000142856.12 35 -1.0856201516315 4.71359177500955e-36 1
15 Artery_Coronary ENSG00000270127.1 35 -0.94159368392018 6.4903150481633e-36 1
17 Artery_Coronary ENSG00000233327.6 35 0.942737824223852 1.00058611975646e-35 1
17 Artery_Coronary ENSG00000214401.4 35 1.17409785898326 2.41938611418497e-35 1
22 Artery_Coronary ENSG00000184674.8 35 -1.01473451501842 6.27123676713345e-35 1
17 Artery_Coronary ENSG00000263503.1 35 1.38274131495868 1.22302522216252e-34 1
11 Artery_Coronary ENSG00000197345.8 35 -0.721420840446382 1.34800796614813e-34 1
7 Artery_Coronary ENSG00000196295.7 35 -0.777237120864889 1.50989699686017e-34 1
20 Artery_Coronary ENSG00000230563.2 35 1.05031166998469 1.51107071310135e-34 1
19 Artery_Coronary ENSG00000197020.6 35 -0.890019204028468 1.68786356740764e-34 1
16 Artery_Coronary ENSG00000059122.12 35 0.786056265447636 2.60920366157414e-34 1
12 Artery_Coronary ENSG00000257176.1 35 0.850448508673645 3.02457105989222e-34 1
1 Artery_Coronary ENSG00000117226.7 35 -0.919440156743317 3.76063653139392e-34 1
2 Artery_Coronary ENSG00000240344.4 35 -0.945051248548786 5.61039075268475e-34 1
8 Artery_Coronary ENSG00000221947.3 35 1.00270361429485 6.11043298257808e-34 1
22 Artery_Coronary ENSG00000235231.3 35 -0.993348258706112 6.49117048694618e-34 1
12 Artery_Coronary ENSG00000180481.6 35 -0.814232709610903 9.59685162014246e-34 1
20 Artery_Coronary ENSG00000198185.7 35 0.79902183616529 1.01682197756004e-33 1
6 Artery_Coronary ENSG00000231760.2 35 1.13552563394695 1.32291477373149e-33 1
9 Artery_Coronary ENSG00000225706.1 35 1.08667436596725 2.0567478470091e-33 1
9 Artery_Coronary ENSG00000225434.2 35 0.953634517645592 2.05909577353255e-33 1
1 Artery_Coronary ENSG00000142794.14 35 -0.893648104511146 2.41439683264875e-33 1
1 Artery_Coronary ENSG00000198468.3 35 0.836171867439651 2.83745971772344e-33 1
6 Artery_Coronary ENSG00000232629.4 35 0.883082394888798 6.80308564516508e-33 1
1 Artery_Coronary ENSG00000116157.5 35 -0.799596424856602 1.09982089199819e-32 1
2 Artery_Coronary ENSG00000234171.1 35 -0.88586516512364 1.14348109246979e-32 1
6 Artery_Coronary ENSG00000270346.1 35 0.874985782562097 1.35632734027217e-32 1
12 Artery_Coronary ENSG00000166896.3 35 -0.88765382483514 1.97816344466984e-32 1
2 Artery_Coronary ENSG00000236682.1 35 -1.13599205655332 2.03133489708168e-32 1
3 Artery_Coronary ENSG00000129055.8 35 0.656274889381583 2.62399395767854e-32 1
1 Artery_Coronary ENSG00000272668.1 35 0.607933393390604 3.46178147209586e-32 1
20 Artery_Coronary ENSG00000196756.7 35 -0.776145256789406 8.92462635088095e-32 1
8 Artery_Coronary ENSG00000254859.1 35 -0.788505461307099 1.67361833994917e-31 1
2 Artery_Coronary ENSG00000236209.1 35 0.820590552596815 1.74144274058594e-31 1
