chr tissue gene peer beta p_value eGene
12 Artery_Tibial ENSG00000013573.12 200 -1.06693346273209 3.87869142178573e-170 1
12 Artery_Tibial ENSG00000197728.5 200 -0.972594134922749 6.16473919622234e-168 1
5 Artery_Tibial ENSG00000164308.12 200 1.07718755084803 4.33192447682814e-151 1
2 Artery_Tibial ENSG00000204792.2 200 1.03720055369914 4.71960893200409e-145 1
19 Artery_Tibial ENSG00000174652.13 200 0.884247482968124 5.62272662664786e-145 1
9 Artery_Tibial ENSG00000226752.3 200 -1.08068814403773 6.63495445798733e-143 1
11 Artery_Tibial ENSG00000166435.11 200 1.27077454241462 2.74150891607165e-141 1
1 Artery_Tibial ENSG00000142856.12 200 -0.995252281343141 1.41773916235759e-131 1
17 Artery_Tibial ENSG00000204650.9 200 1.172262281776 6.35506732308808e-122 1
22 Artery_Tibial ENSG00000273295.1 200 0.956197888512965 3.78537364065499e-121 1
3 Artery_Tibial ENSG00000163576.13 200 1.0486441476559 4.04721164034202e-119 1
1 Artery_Tibial ENSG00000236624.4 200 -1.19930600533888 1.60157881716405e-117 1
1 Artery_Tibial ENSG00000218510.3 200 1.03043825991874 1.97059761155444e-116 1
17 Artery_Tibial ENSG00000187624.7 200 1.10019010527776 7.91519684931306e-116 1
17 Artery_Tibial ENSG00000141560.10 200 -0.834793212318052 6.10860609897619e-113 1
8 Artery_Tibial ENSG00000071894.10 200 -0.843832729660106 1.61784581682487e-111 1
19 Artery_Tibial ENSG00000197020.6 200 -0.854009699169153 5.28442062862169e-111 1
12 Artery_Tibial ENSG00000166896.3 200 -0.930216345999969 2.82427413175311e-110 1
22 Artery_Tibial ENSG00000218537.1 200 1.00256303361778 6.12156891822605e-110 1
6 Artery_Tibial ENSG00000203875.6 200 0.672425370462284 7.75184758504608e-110 1
7 Artery_Tibial ENSG00000226278.1 200 0.986374275255485 1.73287409446371e-109 1
12 Artery_Tibial ENSG00000111788.9 200 -1.02765347294595 2.34683228380076e-108 1
17 Artery_Tibial ENSG00000198496.6 200 -1.04880327260838 9.80152613577701e-107 1
17 Artery_Tibial ENSG00000154803.8 200 0.788008800488868 4.32799743382354e-106 1
5 Artery_Tibial ENSG00000164346.5 200 1.03118699628003 9.01188831004423e-105 1
1 Artery_Tibial ENSG00000117226.7 200 -0.862916598943827 1.35930202597697e-104 1
1 Artery_Tibial ENSG00000142794.14 200 -0.945158617211069 4.19451740955607e-104 1
2 Artery_Tibial ENSG00000240344.4 200 -0.927412409441886 6.57104934313075e-104 1
16 Artery_Tibial ENSG00000234719.4 200 -1.00816307564934 1.7745687667961e-103 1
17 Artery_Tibial ENSG00000214401.4 200 1.310480042388 3.02033029062262e-103 1
11 Artery_Tibial ENSG00000197345.8 200 -0.592149586970524 6.10553122237756e-102 1
8 Artery_Tibial ENSG00000221947.3 200 0.964916091056447 1.11294629385628e-101 1
11 Artery_Tibial ENSG00000149084.7 200 -0.787822258460288 1.44530021236136e-100 1
9 Artery_Tibial ENSG00000147852.11 200 -0.743164189579578 9.40221188029955e-100 1
7 Artery_Tibial ENSG00000226824.2 200 -0.979327819607469 1.08393228291038e-99 1
14 Artery_Tibial ENSG00000258602.1 200 -0.953872662472699 3.32518418762295e-99 1
17 Artery_Tibial ENSG00000262539.1 200 1.15369248498436 1.73601108047097e-97 1
3 Artery_Tibial ENSG00000129055.8 200 0.650756227307126 4.09642875253085e-97 1
6 Artery_Tibial ENSG00000204644.5 200 1.10877828488732 6.94006315730404e-97 1
13 Artery_Tibial ENSG00000261105.1 200 -0.962320152003155 8.35591273583361e-97 1
7 Artery_Tibial ENSG00000271529.1 200 0.648824780901292 1.12737692735751e-96 1
15 Artery_Tibial ENSG00000270127.1 200 -0.958109626219103 1.33522341148619e-96 1
17 Artery_Tibial ENSG00000108592.12 200 0.724763104134747 1.40589243825105e-96 1
19 Artery_Tibial ENSG00000221923.4 200 0.902846008468306 2.02636576425321e-96 1
2 Artery_Tibial ENSG00000236209.1 200 0.890007575714233 2.69074999943958e-96 1
14 Artery_Tibial ENSG00000258289.3 200 0.564137438245285 4.63754565458438e-96 1
21 Artery_Tibial ENSG00000182240.11 200 -0.793030922419556 1.07169136455516e-94 1
16 Artery_Tibial ENSG00000205078.5 200 0.969091006640839 5.81695470651539e-94 1
10 Artery_Tibial ENSG00000183605.12 200 0.710944774337994 6.38954283041556e-94 1
22 Artery_Tibial ENSG00000100296.9 200 -0.967340614923675 6.43918473135527e-94 1
7 Artery_Tibial ENSG00000196295.7 200 -0.908986072395095 1.02607597434333e-93 1
7 Artery_Tibial ENSG00000242294.2 200 0.879544145034939 1.67663872273166e-93 1
19 Artery_Tibial ENSG00000090661.7 200 0.862310903603481 1.1017701518603e-92 1
22 Artery_Tibial ENSG00000183172.8 200 -0.527890707375054 1.25279549875559e-92 1
7 Artery_Tibial ENSG00000121716.14 200 0.861385873838187 1.65981730477987e-92 1
17 Artery_Tibial ENSG00000006282.15 200 -0.592463816867588 3.15169958408488e-92 1
22 Artery_Tibial ENSG00000184674.8 200 -1.01165053548442 6.71991759148135e-92 1
11 Artery_Tibial ENSG00000254851.1 200 1.12418721841788 1.48847296249276e-91 1
14 Artery_Tibial ENSG00000092036.12 200 -0.625228367656857 3.01550452962996e-91 1
19 Artery_Tibial ENSG00000267594.5 200 -0.984695356849481 5.39972701705347e-91 1
6 Artery_Tibial ENSG00000198502.5 200 -1.09308106280595 3.32041125629179e-90 1
3 Artery_Tibial ENSG00000055955.11 200 0.973247734235855 4.6806538934643e-90 1
12 Artery_Tibial ENSG00000180481.6 200 -0.858960376156031 7.20297795598207e-90 1
10 Artery_Tibial ENSG00000165985.8 200 1.04838941148948 6.18118743613923e-89 1
11 Artery_Tibial ENSG00000177236.3 200 0.858485572404062 2.07246327822396e-88 1
1 Artery_Tibial ENSG00000134202.6 200 0.780768446305911 2.15611567992728e-88 1
19 Artery_Tibial ENSG00000261770.1 200 -1.29779466581087 2.43787031766888e-88 1
4 Artery_Tibial ENSG00000038002.4 200 0.556520302418129 6.25821637122142e-88 1
6 Artery_Tibial ENSG00000231760.2 200 1.0005462503735 7.79257645887875e-88 1
20 Artery_Tibial ENSG00000214078.7 200 -1.059258307271 8.56520865665276e-88 1
17 Artery_Tibial ENSG00000264070.1 200 1.23974985922044 1.20318878532551e-87 1
13 Artery_Tibial ENSG00000120675.4 200 -0.714660541322346 3.37786193947427e-87 1
