chr tissue gene peer beta p_value eGene
7 Brain_Amygdala ENSG00000226824.2 15 -1.08266663294892 8.26605106240984e-31 1
5 Brain_Amygdala ENSG00000164308.12 15 0.916564341570813 5.66015198031799e-30 1
9 Brain_Amygdala ENSG00000226752.3 15 -0.994777921443705 7.88811449868857e-30 1
11 Brain_Amygdala ENSG00000149089.8 15 0.938585355127949 5.5107995329308e-29 1
22 Brain_Amygdala ENSG00000273295.1 15 1.11638379634984 7.52436144377276e-28 1
19 Brain_Amygdala ENSG00000267594.5 15 -1.07885740878266 8.2941272046021e-27 1
19 Brain_Amygdala ENSG00000186230.6 15 1.02682755183868 8.62283919982978e-27 1
12 Brain_Amygdala ENSG00000197728.5 15 -0.869366502502063 9.30181837907151e-27 1
12 Brain_Amygdala ENSG00000013573.12 15 -1.00910853912429 9.68945290264097e-27 1
7 Brain_Amygdala ENSG00000226278.1 15 1.15806261313968 1.07649516363599e-26 1
2 Brain_Amygdala ENSG00000204792.2 15 0.998884750649893 1.27710349447131e-26 1
22 Brain_Amygdala ENSG00000184674.8 15 -1.05243803931272 2.17150857050621e-26 1
5 Brain_Amygdala ENSG00000188002.6 15 -1.16778726886728 2.29426631643573e-26 1
7 Brain_Amygdala ENSG00000229043.2 15 -1.08603601835494 4.46722764321394e-26 1
19 Brain_Amygdala ENSG00000226686.3 15 -1.20261448007074 2.49754302127283e-25 1
2 Brain_Amygdala ENSG00000224272.2 15 -1.13422843570366 3.32127699585653e-25 1
2 Brain_Amygdala ENSG00000234171.1 15 -0.941246388521639 4.60822881471162e-25 1
16 Brain_Amygdala ENSG00000234719.4 15 -1.08564089859325 1.26877816229185e-24 1
2 Brain_Amygdala ENSG00000236682.1 15 -1.13078236239761 3.23668745043717e-24 1
17 Brain_Amygdala ENSG00000198496.6 15 -1.03931885379829 5.80148867916249e-24 1
19 Brain_Amygdala ENSG00000221923.4 15 0.926614585053558 7.75214181974562e-24 1
19 Brain_Amygdala ENSG00000174652.13 15 0.768511053348513 1.49483140854332e-23 1
18 Brain_Amygdala ENSG00000101639.14 15 -0.722731261257589 5.96893237415663e-23 1
10 Brain_Amygdala ENSG00000226864.1 15 -0.946187446258318 6.76164031925478e-23 1
14 Brain_Amygdala ENSG00000092094.6 15 0.728050410341721 1.00021469062306e-22 1
