chr tissue gene peer beta p_value eGene
11 Brain_Anterior_cingulate_cortex_BA24 ENSG00000166435.11 50 1.14214959570881 9.68287252662444e-40 1
22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000273295.1 50 1.1171514935807 1.94917815015164e-38 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000229043.2 50 -1.05654237242735 5.52257193558153e-38 1
12 Brain_Anterior_cingulate_cortex_BA24 ENSG00000013573.12 50 -1.03907836338563 4.50298168092559e-37 1
11 Brain_Anterior_cingulate_cortex_BA24 ENSG00000149089.8 50 0.993466609873345 1.2870190409915e-35 1
16 Brain_Anterior_cingulate_cortex_BA24 ENSG00000234719.4 50 -1.20005812891306 7.3035947158771e-35 1
2 Brain_Anterior_cingulate_cortex_BA24 ENSG00000236682.1 50 -1.26150827208758 1.16290922280457e-34 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000198496.6 50 -0.931046568354435 1.25220218418874e-34 1
2 Brain_Anterior_cingulate_cortex_BA24 ENSG00000234171.1 50 -0.975739698365286 3.87781794255036e-34 1
5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000188002.6 50 -1.13136869202459 5.51167442655274e-34 1
12 Brain_Anterior_cingulate_cortex_BA24 ENSG00000180481.6 50 -0.886424217531592 6.01835263638689e-34 1
20 Brain_Anterior_cingulate_cortex_BA24 ENSG00000101307.11 50 1.0721219961518 1.10045037439835e-33 1
11 Brain_Anterior_cingulate_cortex_BA24 ENSG00000177236.3 50 1.1051467290382 2.56783872225374e-33 1
19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000221923.4 50 0.835145213973092 4.10957690632819e-33 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000226824.2 50 -1.05258104597845 5.9360073282017e-33 1
22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000184674.8 50 -1.08163424819305 6.87277573834786e-33 1
2 Brain_Anterior_cingulate_cortex_BA24 ENSG00000204792.2 50 1.00905304665262 6.01829017761939e-32 1
19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000186230.6 50 0.931783781142764 6.96662306880696e-32 1
5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000164308.12 50 0.999611051332488 1.03803861756324e-31 1
12 Brain_Anterior_cingulate_cortex_BA24 ENSG00000197728.5 50 -0.955086752697447 1.38537303385735e-31 1
9 Brain_Anterior_cingulate_cortex_BA24 ENSG00000226752.3 50 -0.932664895276791 2.03518362006254e-31 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000214425.2 50 -1.13716146613509 2.92406516771804e-31 1
12 Brain_Anterior_cingulate_cortex_BA24 ENSG00000239335.4 50 -1.08644512884642 3.297305393524e-31 1
19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000226686.3 50 -1.36580933504745 3.80559477499071e-31 1
18 Brain_Anterior_cingulate_cortex_BA24 ENSG00000266489.1 50 0.991953258184666 3.07350041067254e-30 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000226278.1 50 1.06883846072661 3.19483740893696e-30 1
22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000260065.1 50 0.992065222631335 3.60238118630695e-30 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000272195.1 50 0.992152050593058 5.43360142532216e-30 1
14 Brain_Anterior_cingulate_cortex_BA24 ENSG00000092094.6 50 0.692895193228106 1.255053988074e-29 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000106610.10 50 -0.775456182324635 1.71067658248979e-29 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000108379.5 50 -0.947437642834244 2.90917987504123e-29 1
12 Brain_Anterior_cingulate_cortex_BA24 ENSG00000111788.9 50 -0.935577133889712 6.47825544139778e-29 1
9 Brain_Anterior_cingulate_cortex_BA24 ENSG00000215237.5 50 0.885175808703308 7.4714536688484e-29 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000230658.1 50 1.03516873868819 1.03783962504197e-28 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000223855.1 50 1.2200343828986 1.78572460444403e-28 1
16 Brain_Anterior_cingulate_cortex_BA24 ENSG00000059122.12 50 0.786274120008258 2.08884643187833e-28 1
10 Brain_Anterior_cingulate_cortex_BA24 ENSG00000232229.1 50 1.23364486012801 2.27341594736607e-28 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000142856.12 50 -1.08899222410724 4.19286886223964e-28 1
3 Brain_Anterior_cingulate_cortex_BA24 ENSG00000163576.13 50 0.895741023687945 4.20128937077668e-28 1
2 Brain_Anterior_cingulate_cortex_BA24 ENSG00000240344.4 50 -1.09602921325492 1.50011039109017e-27 1
15 Brain_Anterior_cingulate_cortex_BA24 ENSG00000270127.1 50 -0.899915406014842 2.56198999620424e-27 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000196295.7 50 -0.979016444179947 2.94477387469726e-27 1
6 Brain_Anterior_cingulate_cortex_BA24 ENSG00000272279.1 50 1.12076890229808 5.20455746836835e-27 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000142794.14 50 -1.1298093067204 1.4174317538645e-26 1
18 Brain_Anterior_cingulate_cortex_BA24 ENSG00000101639.14 50 -0.713726418889575 3.05082179372197e-26 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000272668.1 50 0.764223950741067 3.87181657141079e-26 1
2 Brain_Anterior_cingulate_cortex_BA24 ENSG00000152117.13 50 -0.781555087813737 5.68213292296979e-26 1
10 Brain_Anterior_cingulate_cortex_BA24 ENSG00000188690.8 50 -0.540192360352769 5.79774050795984e-26 1
8 Brain_Anterior_cingulate_cortex_BA24 ENSG00000034239.6 50 -0.736829698078771 5.88133964092913e-26 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000238083.3 50 1.12548034444549 7.29182868754574e-26 1
9 Brain_Anterior_cingulate_cortex_BA24 ENSG00000106733.16 50 -0.980912484816125 7.79128740538085e-26 1
15 Brain_Anterior_cingulate_cortex_BA24 ENSG00000128944.9 50 1.15866769368527 8.64509584406682e-26 1
21 Brain_Anterior_cingulate_cortex_BA24 ENSG00000223768.1 50 -0.823341335414776 1.06484694643887e-25 1
5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000164346.5 50 1.15020676645844 1.12507463445298e-25 1
11 Brain_Anterior_cingulate_cortex_BA24 ENSG00000254682.1 50 0.934083329975957 1.31204707073016e-25 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000262539.1 50 1.13589455125616 1.31661386744794e-25 1
13 Brain_Anterior_cingulate_cortex_BA24 ENSG00000120675.4 50 -0.694614192536386 1.43339345922035e-25 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000233327.6 50 -0.83611735940822 1.43930458021375e-25 1
5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000248275.1 50 -0.850257257043696 1.46410672376573e-25 1
5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000164615.3 50 1.09335398543196 1.74521312175166e-25 1
8 Brain_Anterior_cingulate_cortex_BA24 ENSG00000147813.11 50 0.986581236788614 1.94159548946945e-25 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000189266.7 50 -0.792703075377408 2.39688503540036e-25 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000214401.4 50 1.27408298500504 2.45030869596395e-25 1
11 Brain_Anterior_cingulate_cortex_BA24 ENSG00000233930.3 50 -0.616741184505414 5.94970592300978e-25 1
19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000174652.13 50 0.834624658372157 7.29151978971005e-25 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000198468.3 50 0.853245303376815 8.61804005050674e-25 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000260075.1 50 1.33937687671452 8.8336280381209e-25 1
5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000170074.15 50 0.67864114136192 9.48961926355835e-25 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000236624.4 50 0.831298032683749 1.12578865787477e-24 1
13 Brain_Anterior_cingulate_cortex_BA24 ENSG00000235903.3 50 0.959344490163306 1.39040665513731e-24 1
16 Brain_Anterior_cingulate_cortex_BA24 ENSG00000272079.1 50 0.927615790039904 1.57491257935661e-24 1
19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000267594.5 50 -0.981841613765434 1.6290020235167e-24 1
6 Brain_Anterior_cingulate_cortex_BA24 ENSG00000176998.3 50 -0.964669191759136 1.7491935332016e-24 1
6 Brain_Anterior_cingulate_cortex_BA24 ENSG00000203875.6 50 0.557696867145061 1.78661558124923e-24 1
19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000261770.1 50 -1.27308417023281 2.29748163224256e-24 1
6 Brain_Anterior_cingulate_cortex_BA24 ENSG00000112619.6 50 0.686598298854084 2.31781447919479e-24 1
8 Brain_Anterior_cingulate_cortex_BA24 ENSG00000071894.10 50 -0.727656266130733 3.10942471806194e-24 1
6 Brain_Anterior_cingulate_cortex_BA24 ENSG00000124713.5 50 -0.969290136867968 3.97583881875219e-24 1
3 Brain_Anterior_cingulate_cortex_BA24 ENSG00000242142.1 50 0.723367130781484 5.88460616564484e-24 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000189339.7 50 -0.650447239578913 6.8379969335964e-24 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000224525.2 50 0.923315669603554 6.91727056933992e-24 1
5 Brain_Anterior_cingulate_cortex_BA24 ENSG00000242110.3 50 0.657290936034595 1.31210960224993e-23 1
16 Brain_Anterior_cingulate_cortex_BA24 ENSG00000261701.2 50 1.06800012591263 1.40161563669802e-23 1
10 Brain_Anterior_cingulate_cortex_BA24 ENSG00000226864.1 50 -0.832085397720405 1.47642250519365e-23 1
13 Brain_Anterior_cingulate_cortex_BA24 ENSG00000230156.2 50 -0.88229641108076 2.0368698419939e-23 1
2 Brain_Anterior_cingulate_cortex_BA24 ENSG00000224272.2 50 -1.08220711313363 2.07846539595299e-23 1
11 Brain_Anterior_cingulate_cortex_BA24 ENSG00000197345.8 50 -0.732757634348649 2.15766263071796e-23 1
15 Brain_Anterior_cingulate_cortex_BA24 ENSG00000261377.1 50 -0.951106529739903 2.33325871167059e-23 1
10 Brain_Anterior_cingulate_cortex_BA24 ENSG00000099290.11 50 -1.01710971374681 2.34414426761266e-23 1
8 Brain_Anterior_cingulate_cortex_BA24 ENSG00000179698.9 50 1.24605354181149 2.44270903414163e-23 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000108592.12 50 0.7805206333158 2.94299692076682e-23 1
22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000237438.2 50 -1.05811090942014 3.08415858190255e-23 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000146707.10 50 -1.10054326611126 3.09281157425426e-23 1
3 Brain_Anterior_cingulate_cortex_BA24 ENSG00000171084.11 50 1.03343576525207 3.79476871808921e-23 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000187010.14 50 -1.05761978983883 3.80543836843101e-23 1
6 Brain_Anterior_cingulate_cortex_BA24 ENSG00000204520.8 50 -0.666731749134096 3.83424137445613e-23 1
17 Brain_Anterior_cingulate_cortex_BA24 ENSG00000263503.1 50 1.11287156639448 5.14668297502131e-23 1
10 Brain_Anterior_cingulate_cortex_BA24 ENSG00000188611.10 50 0.840604047315642 6.26833264466541e-23 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000223745.3 50 0.790147521439801 7.33961974587234e-23 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000270605.1 50 -0.911077858333939 9.27247799813172e-23 1
6 Brain_Anterior_cingulate_cortex_BA24 ENSG00000153291.11 50 0.598566554450319 1.1034095205013e-22 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000272865.1 50 0.883535974510608 1.14760035581179e-22 1
16 Brain_Anterior_cingulate_cortex_BA24 ENSG00000260565.2 50 -0.765530861615109 1.26244507821813e-22 1
2 Brain_Anterior_cingulate_cortex_BA24 ENSG00000226747.2 50 1.039940452982 1.31988785542149e-22 1
22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000224086.3 50 -0.759992376852219 1.3815221048724e-22 1
14 Brain_Anterior_cingulate_cortex_BA24 ENSG00000042317.12 50 -0.551984272270621 1.96225491438584e-22 1
3 Brain_Anterior_cingulate_cortex_BA24 ENSG00000227124.4 50 1.28441090319133 1.99289239084059e-22 1
18 Brain_Anterior_cingulate_cortex_BA24 ENSG00000260372.2 50 -0.856630525594632 2.89500734017104e-22 1
1 Brain_Anterior_cingulate_cortex_BA24 ENSG00000218510.3 50 1.0473833579621 3.06553276712285e-22 1
19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000088002.7 50 -0.849618750758768 3.50398009644009e-22 1
10 Brain_Anterior_cingulate_cortex_BA24 ENSG00000183605.12 50 0.844504067263994 3.57031746536459e-22 1
13 Brain_Anterior_cingulate_cortex_BA24 ENSG00000120669.11 50 0.838001407047756 3.84348098895731e-22 1
7 Brain_Anterior_cingulate_cortex_BA24 ENSG00000234585.2 50 -0.868294804584768 4.04362545019932e-22 1
22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000273164.1 50 -0.764216135957859 4.28741324757167e-22 1
20 Brain_Anterior_cingulate_cortex_BA24 ENSG00000196756.7 50 1.37601510329772 4.40369491757849e-22 1
