chr tissue gene peer beta p_value eGene
11 Brain_Caudate_basal_ganglia ENSG00000166435.11 100 1.20266457872751 6.36816402833231e-53 1
2 Brain_Caudate_basal_ganglia ENSG00000204792.2 100 1.05679052450662 2.914373991851e-52 1
12 Brain_Caudate_basal_ganglia ENSG00000197728.5 100 -0.932973528019769 2.3070045394055e-51 1
2 Brain_Caudate_basal_ganglia ENSG00000234171.1 100 -1.07033964931818 1.55967817474535e-50 1
9 Brain_Caudate_basal_ganglia ENSG00000226752.3 100 -1.02283937416865 2.1710366695614e-48 1
12 Brain_Caudate_basal_ganglia ENSG00000180481.6 100 -0.943373954919705 3.40053490978118e-48 1
2 Brain_Caudate_basal_ganglia ENSG00000236682.1 100 -1.16589173841395 3.46868125142263e-47 1
16 Brain_Caudate_basal_ganglia ENSG00000234719.4 100 -1.1398047127171 5.20367330325007e-47 1
5 Brain_Caudate_basal_ganglia ENSG00000164308.12 100 1.09695073810234 5.70416132962664e-47 1
17 Brain_Caudate_basal_ganglia ENSG00000198496.6 100 -1.04281717466577 7.09397715546296e-46 1
7 Brain_Caudate_basal_ganglia ENSG00000229043.2 100 -1.08244945140929 2.51907134084077e-45 1
22 Brain_Caudate_basal_ganglia ENSG00000273295.1 100 1.06161508118963 2.49563968558832e-44 1
19 Brain_Caudate_basal_ganglia ENSG00000186230.6 100 0.966440661259228 2.57687353935765e-44 1
12 Brain_Caudate_basal_ganglia ENSG00000013573.12 100 -1.06182075014897 7.38786146646796e-44 1
11 Brain_Caudate_basal_ganglia ENSG00000149089.8 100 0.853758355408509 6.4457007637286e-43 1
1 Brain_Caudate_basal_ganglia ENSG00000142856.12 100 -1.13453728888029 2.21302073783458e-42 1
7 Brain_Caudate_basal_ganglia ENSG00000226824.2 100 1.02043975998701 2.53248456116036e-42 1
19 Brain_Caudate_basal_ganglia ENSG00000226686.3 100 1.19689678931682 2.75565588785327e-41 1
5 Brain_Caudate_basal_ganglia ENSG00000188002.6 100 -0.96205829523287 1.32677666761397e-40 1
5 Brain_Caudate_basal_ganglia ENSG00000248275.1 100 -0.847163053780915 6.16000595885942e-40 1
13 Brain_Caudate_basal_ganglia ENSG00000235903.3 100 0.990009852132691 7.42251934480965e-40 1
2 Brain_Caudate_basal_ganglia ENSG00000223564.1 100 0.700145969880826 1.51680408719554e-39 1
2 Brain_Caudate_basal_ganglia ENSG00000152117.13 100 -0.877468003901487 2.43541671352195e-39 1
18 Brain_Caudate_basal_ganglia ENSG00000101639.14 100 -0.876068022151925 2.96371682760009e-39 1
7 Brain_Caudate_basal_ganglia ENSG00000106610.10 100 -0.859608429297507 3.02198312854591e-39 1
22 Brain_Caudate_basal_ganglia ENSG00000224086.3 100 -0.82856914994863 4.87506034276183e-39 1
9 Brain_Caudate_basal_ganglia ENSG00000215237.5 100 0.891599622275597 5.23237911571336e-39 1
1 Brain_Caudate_basal_ganglia ENSG00000270605.1 100 -0.934242946947627 6.02892596103498e-39 1
20 Brain_Caudate_basal_ganglia ENSG00000101307.11 100 1.00575411373606 1.24202075107386e-38 1
7 Brain_Caudate_basal_ganglia ENSG00000230658.1 100 1.05260746120241 2.75634288897651e-38 1
2 Brain_Caudate_basal_ganglia ENSG00000261338.1 100 0.712258044743554 3.47169129428004e-38 1
11 Brain_Caudate_basal_ganglia ENSG00000149084.7 100 -0.711941120388103 5.68944352980787e-38 1
1 Brain_Caudate_basal_ganglia ENSG00000272668.1 100 0.770612984304967 5.78298001325947e-38 1
22 Brain_Caudate_basal_ganglia ENSG00000184674.8 100 -1.02245322352948 6.12128167296846e-38 1
