chr tissue gene peer beta p_value eGene
12 Brain_Cerebellar_Hemisphere ENSG00000013573.12 100 -1.12756687586879 3.04168714632796e-47 1
22 Brain_Cerebellar_Hemisphere ENSG00000273295.1 100 1.11093051176312 8.60145173800654e-46 1
9 Brain_Cerebellar_Hemisphere ENSG00000198467.9 100 -0.814447909017829 5.42814067459916e-45 1
12 Brain_Cerebellar_Hemisphere ENSG00000197728.5 100 -0.884317563012646 1.19500183850152e-43 1
8 Brain_Cerebellar_Hemisphere ENSG00000071894.10 100 -0.942789239645081 2.62008793565864e-43 1
11 Brain_Cerebellar_Hemisphere ENSG00000166435.11 100 1.23291214328783 4.41598643235394e-43 1
17 Brain_Cerebellar_Hemisphere ENSG00000187624.7 100 1.06363220953047 1.26443460696822e-42 1
12 Brain_Cerebellar_Hemisphere ENSG00000177084.12 100 0.892256271522021 1.92129283071382e-42 1
7 Brain_Cerebellar_Hemisphere ENSG00000121716.14 100 0.878499850529649 1.71399836651149e-41 1
21 Brain_Cerebellar_Hemisphere ENSG00000142188.12 100 -0.977008250174637 2.05786076750456e-41 1
7 Brain_Cerebellar_Hemisphere ENSG00000214870.4 100 -0.94969558204593 2.36954094742004e-41 1
2 Brain_Cerebellar_Hemisphere ENSG00000204792.2 100 1.06871426617417 3.18283739934054e-41 1
20 Brain_Cerebellar_Hemisphere ENSG00000101307.11 100 1.13977851093123 1.31340310000552e-40 1
9 Brain_Cerebellar_Hemisphere ENSG00000226752.3 100 -1.02028623733836 4.0711646988954e-40 1
19 Brain_Cerebellar_Hemisphere ENSG00000174652.13 100 0.837829798103472 4.45175375661033e-40 1
1 Brain_Cerebellar_Hemisphere ENSG00000270605.1 100 -0.939714088324775 5.45036131490305e-40 1
1 Brain_Cerebellar_Hemisphere ENSG00000236624.4 100 -1.18369909467291 8.58421177233764e-40 1
7 Brain_Cerebellar_Hemisphere ENSG00000085514.11 100 1.02165586338965 1.22653105087282e-39 1
7 Brain_Cerebellar_Hemisphere ENSG00000213640.3 100 -1.05919169968971 5.79493707820524e-39 1
22 Brain_Cerebellar_Hemisphere ENSG00000225282.1 100 1.10971015336353 7.07363342988127e-39 1
7 Brain_Cerebellar_Hemisphere ENSG00000160963.9 100 1.00880057572296 8.85922526175526e-39 1
6 Brain_Cerebellar_Hemisphere ENSG00000204516.5 100 1.12135810706803 2.34275069788034e-38 1
6 Brain_Cerebellar_Hemisphere ENSG00000112031.11 100 -0.922138503981846 3.89756623578263e-38 1
17 Brain_Cerebellar_Hemisphere ENSG00000198496.6 100 -1.05729804484333 7.37520169208431e-38 1
16 Brain_Cerebellar_Hemisphere ENSG00000059122.12 100 0.851987934449237 1.09237567422508e-37 1
