chr tissue gene peer beta p_value eGene
12 Brain_Cerebellum ENSG00000177084.12 50 1.05577784554618 9.6487947322748e-66 1
12 Brain_Cerebellum ENSG00000197728.5 50 -1.11312451925552 9.30376381563944e-61 1
12 Brain_Cerebellum ENSG00000013573.12 50 -1.06773923854945 3.53640912027346e-58 1
16 Brain_Cerebellum ENSG00000155393.8 50 1.0988597261153 3.98642043945293e-58 1
21 Brain_Cerebellum ENSG00000142188.12 50 -0.997810370852312 2.11022497478242e-55 1
16 Brain_Cerebellum ENSG00000102858.8 50 0.994268590506842 2.29485062293754e-54 1
22 Brain_Cerebellum ENSG00000273295.1 50 1.15678273490159 3.2849305155485e-54 1
7 Brain_Cerebellum ENSG00000196295.7 50 -1.17370037861447 6.62935256690471e-54 1
10 Brain_Cerebellum ENSG00000203805.6 50 1.2114018191674 7.48010091770623e-54 1
1 Brain_Cerebellum ENSG00000236624.4 50 -1.19000782879445 1.49843669719787e-53 1
2 Brain_Cerebellum ENSG00000204792.2 50 1.01549332686851 8.73972673854861e-53 1
10 Brain_Cerebellum ENSG00000177234.5 50 1.1816533395986 2.05947439102115e-52 1
8 Brain_Cerebellum ENSG00000071894.10 50 -0.921500590987788 6.52165086975675e-52 1
7 Brain_Cerebellum ENSG00000160963.9 50 0.997558618447869 6.73972303393687e-52 1
19 Brain_Cerebellum ENSG00000174652.13 50 0.954044567282137 8.38591186505162e-52 1
7 Brain_Cerebellum ENSG00000121716.14 50 1.02048893968104 1.15721580559627e-51 1
7 Brain_Cerebellum ENSG00000229043.2 50 -1.03363207838473 7.35341346083498e-51 1
7 Brain_Cerebellum ENSG00000213640.3 50 -1.02532789654316 9.88890669611591e-51 1
12 Brain_Cerebellum ENSG00000111788.9 50 -1.03973294627598 9.54363435162173e-50 1
9 Brain_Cerebellum ENSG00000226752.3 50 -1.05359296535734 1.56074545597068e-49 1
6 Brain_Cerebellum ENSG00000204516.5 50 1.14792085074973 3.65273695981817e-49 1
16 Brain_Cerebellum ENSG00000234719.4 50 -1.12140221531123 6.51217257407695e-49 1
1 Brain_Cerebellum ENSG00000270605.1 50 -0.92923680479444 7.32511304220247e-49 1
16 Brain_Cerebellum ENSG00000059122.12 50 0.94976015892902 9.81780533913713e-49 1
13 Brain_Cerebellum ENSG00000122025.10 50 1.03758284567494 1.02911494171403e-48 1
17 Brain_Cerebellum ENSG00000187624.7 50 1.14266799126252 1.28092465841956e-48 1
11 Brain_Cerebellum ENSG00000166435.11 50 1.22563436551677 1.74943768817309e-48 1
2 Brain_Cerebellum ENSG00000152117.13 50 -1.21737792561778 3.46053705695969e-48 1
15 Brain_Cerebellum ENSG00000270127.1 50 -0.988818078918351 7.53000397391782e-48 1
17 Brain_Cerebellum ENSG00000198496.6 50 -1.00382805958866 1.33201655893491e-47 1
7 Brain_Cerebellum ENSG00000085514.11 50 1.18067578744042 6.716751533465e-47 1
7 Brain_Cerebellum ENSG00000214870.4 50 -1.02823307288025 7.06632945702501e-46 1
17 Brain_Cerebellum ENSG00000238083.3 50 1.16055533044136 1.23858956961002e-45 1
12 Brain_Cerebellum ENSG00000214826.4 50 -0.999187896607215 1.95136194739471e-45 1
7 Brain_Cerebellum ENSG00000242294.2 50 0.907466707793862 3.02237348427272e-45 1
5 Brain_Cerebellum ENSG00000037474.10 50 -0.988396503751704 8.21097404447335e-45 1
11 Brain_Cerebellum ENSG00000177236.3 50 -0.994758143659065 9.75683134575035e-45 1
19 Brain_Cerebellum ENSG00000267594.5 50 -0.94854501416765 6.26863183378782e-44 1
2 Brain_Cerebellum ENSG00000170802.11 50 1.31212838118327 1.06702576782326e-43 1
6 Brain_Cerebellum ENSG00000112031.11 50 -0.942283329578331 3.17652101277531e-43 1
6 Brain_Cerebellum ENSG00000204428.8 50 -0.983726925791986 3.40092685949121e-43 1
11 Brain_Cerebellum ENSG00000197345.8 50 -0.989408569464152 3.97778946606383e-43 1
5 Brain_Cerebellum ENSG00000205464.7 50 -1.02699381987664 5.27288509690365e-43 1
3 Brain_Cerebellum ENSG00000144792.5 50 -1.09139167440247 5.68192796237261e-43 1
17 Brain_Cerebellum ENSG00000261575.2 50 1.13123130681317 8.3385112229268e-43 1
6 Brain_Cerebellum ENSG00000206341.6 50 1.07889634839842 1.11690627613774e-42 1
22 Brain_Cerebellum ENSG00000225282.1 50 1.07586665151753 1.55855296672442e-42 1
