chr tissue gene peer beta p_value eGene
12 Brain_Cortex ENSG00000013573.12 25 -1.05538484185701 2.79500190576007e-53 1
22 Brain_Cortex ENSG00000260065.1 25 1.0770287593831 5.93124770629847e-50 1
11 Brain_Cortex ENSG00000166435.11 25 1.39498871265264 1.5589854027295e-49 1
2 Brain_Cortex ENSG00000204792.2 25 1.02381367234715 5.78651946063427e-49 1
17 Brain_Cortex ENSG00000008283.11 25 -0.732008274454538 1.01730496095227e-48 1
2 Brain_Cortex ENSG00000261338.1 25 0.972863651952064 3.46328813756931e-47 1
12 Brain_Cortex ENSG00000197728.5 25 -0.906310671101137 1.72211091877516e-46 1
22 Brain_Cortex ENSG00000273295.1 25 1.13326660123352 2.52478569369807e-45 1
18 Brain_Cortex ENSG00000266489.1 25 1.16756962401949 4.54924385194644e-45 1
11 Brain_Cortex ENSG00000177236.3 25 1.05268524570982 3.09625586027979e-44 1
1 Brain_Cortex ENSG00000142856.12 25 -1.17783557572242 3.11587937154977e-44 1
7 Brain_Cortex ENSG00000196295.7 25 -1.06617003262755 1.01597336435676e-43 1
7 Brain_Cortex ENSG00000229043.2 25 -1.04717152870977 1.15583157282212e-43 1
19 Brain_Cortex ENSG00000186230.6 25 1.04005419256618 4.30947920549032e-43 1
11 Brain_Cortex ENSG00000149089.8 25 1.00803143631724 1.14405884053655e-41 1
10 Brain_Cortex ENSG00000188690.8 25 -0.704731701717692 2.74500931107063e-41 1
5 Brain_Cortex ENSG00000164308.12 25 0.970962744890519 4.23643655778734e-41 1
19 Brain_Cortex ENSG00000226686.3 25 1.34285837655298 5.01589281429969e-41 1
7 Brain_Cortex ENSG00000226824.2 25 1.03426807374317 6.04734311601956e-41 1
22 Brain_Cortex ENSG00000224086.3 25 -0.866812013176404 7.49801857122425e-40 1
17 Brain_Cortex ENSG00000108379.5 25 -1.06780523958314 1.30500641414736e-39 1
5 Brain_Cortex ENSG00000242110.3 25 0.810385421431841 3.78631236032736e-39 1
20 Brain_Cortex ENSG00000101307.11 25 1.05812885284976 1.03585182962964e-38 1
