chr tissue gene peer beta p_value eGene
12 Brain_Frontal_Cortex_BA9 ENSG00000013573.12 30 -1.07445316086597 6.30734878104264e-46 1
11 Brain_Frontal_Cortex_BA9 ENSG00000166435.11 30 1.16576637822259 1.33950422155963e-41 1
12 Brain_Frontal_Cortex_BA9 ENSG00000197728.5 30 -0.915135877832735 8.07149350469734e-41 1
22 Brain_Frontal_Cortex_BA9 ENSG00000273295.1 30 1.15651533884096 1.29576806585032e-40 1
18 Brain_Frontal_Cortex_BA9 ENSG00000266489.1 30 1.08849160217491 4.87585240167165e-40 1
7 Brain_Frontal_Cortex_BA9 ENSG00000226824.2 30 1.06035882641798 9.50009530483759e-39 1
2 Brain_Frontal_Cortex_BA9 ENSG00000236682.1 30 1.25175562724151 6.54579841433996e-38 1
9 Brain_Frontal_Cortex_BA9 ENSG00000226752.3 30 -1.05073478493913 1.17510793611772e-36 1
3 Brain_Frontal_Cortex_BA9 ENSG00000163576.13 30 0.986015443063714 3.3301525227209e-36 1
2 Brain_Frontal_Cortex_BA9 ENSG00000204792.2 30 1.01100375831493 8.40697867967447e-36 1
22 Brain_Frontal_Cortex_BA9 ENSG00000184674.8 30 -1.1033316594465 3.46348342314091e-35 1
20 Brain_Frontal_Cortex_BA9 ENSG00000101307.11 30 1.04732485995128 5.45630165555507e-35 1
1 Brain_Frontal_Cortex_BA9 ENSG00000142794.14 30 -1.15231785569523 1.14013961641907e-34 1
17 Brain_Frontal_Cortex_BA9 ENSG00000198496.6 30 -0.996673995030809 1.44021686033452e-34 1
14 Brain_Frontal_Cortex_BA9 ENSG00000258289.3 30 0.976620981723528 1.58614432417925e-34 1
11 Brain_Frontal_Cortex_BA9 ENSG00000149089.8 30 0.959423588580655 2.91856687399448e-34 1
11 Brain_Frontal_Cortex_BA9 ENSG00000233930.3 30 -0.763107203040071 7.17221789436227e-34 1
19 Brain_Frontal_Cortex_BA9 ENSG00000226686.3 30 1.25482128639408 8.08598283154825e-34 1
19 Brain_Frontal_Cortex_BA9 ENSG00000221923.4 30 0.901851623580698 1.35776726305028e-33 1
22 Brain_Frontal_Cortex_BA9 ENSG00000260065.1 30 1.08758417062518 5.17875254447042e-33 1
19 Brain_Frontal_Cortex_BA9 ENSG00000186230.6 30 1.01552005222582 9.17454982197302e-33 1
1 Brain_Frontal_Cortex_BA9 ENSG00000198468.3 30 1.16599342408474 1.15763965132468e-32 1
7 Brain_Frontal_Cortex_BA9 ENSG00000230658.1 30 1.0143967128307 1.70630171946244e-32 1
1 Brain_Frontal_Cortex_BA9 ENSG00000270605.1 30 -0.967038893366936 2.30382154446313e-32 1
2 Brain_Frontal_Cortex_BA9 ENSG00000226747.2 30 1.07992793769439 3.59740120685139e-32 1
8 Brain_Frontal_Cortex_BA9 ENSG00000034239.6 30 -0.931309073948707 3.91004750616559e-32 1
17 Brain_Frontal_Cortex_BA9 ENSG00000008283.11 30 -0.634441659152992 4.89184365983684e-32 1
7 Brain_Frontal_Cortex_BA9 ENSG00000229043.2 30 -1.06025018006158 7.68522377754899e-32 1
8 Brain_Frontal_Cortex_BA9 ENSG00000221947.3 30 0.885123824820816 1.12616251126532e-31 1
16 Brain_Frontal_Cortex_BA9 ENSG00000234719.4 30 -1.0624855083481 1.22315453527507e-31 1
17 Brain_Frontal_Cortex_BA9 ENSG00000214425.2 30 -1.05445336727516 1.75038085222753e-31 1
9 Brain_Frontal_Cortex_BA9 ENSG00000106733.16 30 -1.01518820763195 2.00625408638634e-31 1
2 Brain_Frontal_Cortex_BA9 ENSG00000261338.1 30 0.813530838660715 2.13916799816365e-31 1
2 Brain_Frontal_Cortex_BA9 ENSG00000152117.13 30 -0.891348815458736 7.23848994531374e-31 1
19 Brain_Frontal_Cortex_BA9 ENSG00000267594.5 30 -0.994861233442761 8.90363465716611e-31 1
5 Brain_Frontal_Cortex_BA9 ENSG00000188002.6 30 -1.05377685351918 9.88588563953927e-31 1
12 Brain_Frontal_Cortex_BA9 ENSG00000239335.4 30 -0.958537642675145 1.70883996175201e-30 1
5 Brain_Frontal_Cortex_BA9 ENSG00000242110.3 30 0.758076854595297 1.87255427152589e-30 1
17 Brain_Frontal_Cortex_BA9 ENSG00000214401.4 30 1.3483753102961 2.23404284976452e-30 1
17 Brain_Frontal_Cortex_BA9 ENSG00000176681.10 30 -0.978774713027732 3.23078865363738e-30 1
11 Brain_Frontal_Cortex_BA9 ENSG00000254682.1 30 0.871944643938129 4.65828021710223e-30 1
1 Brain_Frontal_Cortex_BA9 ENSG00000142856.12 30 -1.00004380111742 6.02311323643335e-30 1
19 Brain_Frontal_Cortex_BA9 ENSG00000174652.13 30 0.835623672151225 6.75453469943312e-30 1
1 Brain_Frontal_Cortex_BA9 ENSG00000223745.3 30 0.83414891817586 6.76690797400066e-30 1
21 Brain_Frontal_Cortex_BA9 ENSG00000223768.1 30 -1.00410819351756 1.91049552657382e-29 1
15 Brain_Frontal_Cortex_BA9 ENSG00000261377.1 30 -1.07483898273968 1.97821230392929e-29 1
