chr tissue gene peer beta p_value eGene
12 Brain_Hippocampus ENSG00000013573.12 25 -0.992140302000174 2.62771351222543e-39 1
12 Brain_Hippocampus ENSG00000197728.5 25 -0.998734447274025 4.34181550025919e-38 1
7 Brain_Hippocampus ENSG00000226824.2 25 -1.10576125974838 2.06672764725528e-35 1
18 Brain_Hippocampus ENSG00000101639.14 25 -0.778350270508738 1.96341406710462e-34 1
2 Brain_Hippocampus ENSG00000236682.1 25 -1.26152509517011 2.91152773000857e-34 1
15 Brain_Hippocampus ENSG00000270127.1 25 -0.949219741073339 5.24886568672326e-34 1
5 Brain_Hippocampus ENSG00000164308.12 25 1.08807599477081 7.08443304030913e-34 1
2 Brain_Hippocampus ENSG00000204792.2 25 1.03392054488769 1.21630335932256e-33 1
22 Brain_Hippocampus ENSG00000273295.1 25 1.13097165905821 3.71396929836278e-33 1
9 Brain_Hippocampus ENSG00000215237.5 25 1.04772831825204 6.32360142527186e-33 1
7 Brain_Hippocampus ENSG00000229043.2 25 -1.02331208088025 6.41253622881433e-33 1
11 Brain_Hippocampus ENSG00000149089.8 25 0.885370966202826 2.54548946495401e-32 1
16 Brain_Hippocampus ENSG00000234719.4 25 -1.10471898247469 6.02590362865206e-32 1
2 Brain_Hippocampus ENSG00000234171.1 25 -1.01655501773458 1.14436191196693e-31 1
11 Brain_Hippocampus ENSG00000166435.11 25 1.16177629728109 1.38220741650555e-31 1
17 Brain_Hippocampus ENSG00000198496.6 25 -0.961770202762846 1.96138666743368e-31 1
9 Brain_Hippocampus ENSG00000226752.3 25 -1.00586869005034 2.23991196509885e-31 1
11 Brain_Hippocampus ENSG00000177236.3 25 1.01090913137573 4.58868983353807e-31 1
16 Brain_Hippocampus ENSG00000059122.12 25 0.747773117370766 8.38291869698187e-31 1
11 Brain_Hippocampus ENSG00000149084.7 25 0.749344673702371 1.23394857647741e-30 1
12 Brain_Hippocampus ENSG00000180481.6 25 -0.826927835661282 1.40619032681309e-30 1
1 Brain_Hippocampus ENSG00000272195.1 25 0.830116080562943 1.55208653101173e-30 1
19 Brain_Hippocampus ENSG00000174652.13 25 0.842320263666716 2.36851469967954e-30 1
9 Brain_Hippocampus ENSG00000106733.16 25 -0.965474882490134 5.72599398583998e-30 1
12 Brain_Hippocampus ENSG00000239335.4 25 -1.01415553808158 8.2051329048671e-30 1
17 Brain_Hippocampus ENSG00000006282.15 25 -0.686682317518743 8.23481985983813e-30 1
7 Brain_Hippocampus ENSG00000196295.7 25 -1.05260386529034 1.66390079366524e-29 1
13 Brain_Hippocampus ENSG00000120675.4 25 -0.860009080976875 1.76932061190141e-29 1
8 Brain_Hippocampus ENSG00000071894.10 25 -0.811364964318726 2.69865997108114e-29 1
7 Brain_Hippocampus ENSG00000230658.1 25 1.09861659483927 2.70880608821937e-29 1
6 Brain_Hippocampus ENSG00000124713.5 25 -1.03647091811176 3.49047896928504e-29 1
19 Brain_Hippocampus ENSG00000221923.4 25 0.988119474337028 6.71671782694443e-29 1
14 Brain_Hippocampus ENSG00000092094.6 25 0.727998023323459 7.60095438616179e-29 1
17 Brain_Hippocampus ENSG00000214401.4 25 1.13497613842464 1.12246456228206e-28 1
6 Brain_Hippocampus ENSG00000203875.6 25 0.638945028666989 2.13021141789149e-28 1
15 Brain_Hippocampus ENSG00000128944.9 25 1.44523962780642 3.10503861508605e-28 1
1 Brain_Hippocampus ENSG00000198468.3 25 1.07853351564361 3.49556897673738e-28 1
