chr tissue gene peer beta p_value eGene
12 Brain_Hypothalamus ENSG00000197728.5 100 -0.9429909886084 5.30106035798475e-39 1
11 Brain_Hypothalamus ENSG00000166435.11 100 1.22634207144742 7.53342439838774e-39 1
9 Brain_Hypothalamus ENSG00000226752.3 100 -1.09970977230675 7.78819596652224e-39 1
2 Brain_Hypothalamus ENSG00000204792.2 100 1.05235873678389 1.85460274098538e-38 1
12 Brain_Hypothalamus ENSG00000013573.12 100 -0.958066023416279 1.95387465303034e-38 1
12 Brain_Hypothalamus ENSG00000180481.6 100 -0.904447649927624 1.14662822013632e-34 1
12 Brain_Hypothalamus ENSG00000111788.9 100 -0.94175077276464 3.11018764089837e-32 1
21 Brain_Hypothalamus ENSG00000223768.1 100 -0.924630313295665 1.03998861198939e-31 1
2 Brain_Hypothalamus ENSG00000236682.1 100 -1.23178110398302 1.11517014793705e-31 1
5 Brain_Hypothalamus ENSG00000188002.6 100 -1.03241777260608 2.66361054725778e-31 1
19 Brain_Hypothalamus ENSG00000267594.5 100 -0.954251839399808 9.67805444457527e-31 1
7 Brain_Hypothalamus ENSG00000226824.2 100 0.980926319445453 1.46772654926936e-30 1
1 Brain_Hypothalamus ENSG00000198468.3 100 1.04827482484748 2.00542475849996e-30 1
7 Brain_Hypothalamus ENSG00000229043.2 100 -1.00944533647803 2.96833457829757e-30 1
22 Brain_Hypothalamus ENSG00000273295.1 100 1.03918899303984 6.27672780398598e-30 1
2 Brain_Hypothalamus ENSG00000226747.2 100 1.12749311923283 6.98754226293803e-30 1
11 Brain_Hypothalamus ENSG00000177236.3 100 1.06650092755418 7.77895844828451e-30 1
5 Brain_Hypothalamus ENSG00000164308.12 100 1.02744337783405 9.42303703725588e-30 1
17 Brain_Hypothalamus ENSG00000198496.6 100 -1.02358357542635 1.50832823212166e-29 1
7 Brain_Hypothalamus ENSG00000196295.7 100 -1.05603356254828 1.80322174100212e-29 1
16 Brain_Hypothalamus ENSG00000059122.12 100 0.744300761563145 1.91106938310037e-29 1
1 Brain_Hypothalamus ENSG00000142856.12 100 -1.14643388793207 3.63422727702533e-29 1
22 Brain_Hypothalamus ENSG00000237438.2 100 -1.1117123069792 6.50470645565565e-29 1
19 Brain_Hypothalamus ENSG00000221923.4 100 0.947887603866275 8.03517865916146e-29 1
17 Brain_Hypothalamus ENSG00000214425.2 100 -1.05379461236064 1.136177111558e-28 1
18 Brain_Hypothalamus ENSG00000101639.14 100 -0.776721021118226 1.16165158916731e-28 1
22 Brain_Hypothalamus ENSG00000184674.8 100 -1.01020152384977 1.18758784205637e-28 1
7 Brain_Hypothalamus ENSG00000230658.1 100 1.05562151645048 1.87059252169171e-28 1
2 Brain_Hypothalamus ENSG00000234171.1 100 -0.933467237233884 7.00007229508692e-28 1
9 Brain_Hypothalamus ENSG00000215237.5 100 1.07435035967172 8.08012382094773e-28 1
20 Brain_Hypothalamus ENSG00000196756.7 100 -1.10796307533143 1.95167765866844e-27 1
11 Brain_Hypothalamus ENSG00000254682.1 100 0.906327394216666 2.52616447079704e-27 1
1 Brain_Hypothalamus ENSG00000142794.14 100 -1.10157321591318 3.02945585659428e-27 1
19 Brain_Hypothalamus ENSG00000239736.2 100 -0.963650189016925 4.49875247320531e-27 1
1 Brain_Hypothalamus ENSG00000117226.7 100 -0.801972250578019 5.334159849612e-27 1
5 Brain_Hypothalamus ENSG00000248275.1 100 -1.00754129879737 6.26564789233804e-27 1
19 Brain_Hypothalamus ENSG00000226686.3 100 1.27435240400135 6.8875058408776e-27 1
19 Brain_Hypothalamus ENSG00000174652.13 100 0.883819525082206 9.24528567557604e-27 1
1 Brain_Hypothalamus ENSG00000270605.1 100 -0.968718808171715 1.18767046322348e-26 1
1 Brain_Hypothalamus ENSG00000223745.3 100 0.880268402816405 1.51982293181701e-26 1
2 Brain_Hypothalamus ENSG00000236209.1 100 0.9172589027153 1.83065649841507e-26 1
