chr tissue gene peer beta p_value eGene
12 Brain_Nucleus_accumbens_basal_ganglia ENSG00000197728.5 30 -0.973026928682204 1.20713117732851e-50 1
2 Brain_Nucleus_accumbens_basal_ganglia ENSG00000236682.1 30 -1.26125131539635 5.55914168717672e-48 1
2 Brain_Nucleus_accumbens_basal_ganglia ENSG00000234171.1 30 -1.02555580311207 6.47876211382857e-47 1
11 Brain_Nucleus_accumbens_basal_ganglia ENSG00000166435.11 30 1.12013675788738 1.38962846123845e-45 1
12 Brain_Nucleus_accumbens_basal_ganglia ENSG00000013573.12 30 -1.05475916415815 3.43946169067512e-45 1
12 Brain_Nucleus_accumbens_basal_ganglia ENSG00000180481.6 30 -0.885713719136259 1.44824171938194e-44 1
16 Brain_Nucleus_accumbens_basal_ganglia ENSG00000234719.4 30 -1.17874622542976 1.74867574949323e-44 1
2 Brain_Nucleus_accumbens_basal_ganglia ENSG00000204792.2 30 1.0375407747861 1.79836175621993e-44 1
11 Brain_Nucleus_accumbens_basal_ganglia ENSG00000254682.1 30 0.935760752393087 2.09142737080946e-42 1
7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000229043.2 30 -1.09615031702316 3.42120091247354e-41 1
22 Brain_Nucleus_accumbens_basal_ganglia ENSG00000273295.1 30 1.07234768247316 7.15419373382319e-41 1
9 Brain_Nucleus_accumbens_basal_ganglia ENSG00000226752.3 30 -1.05608942606001 8.79275234787747e-41 1
11 Brain_Nucleus_accumbens_basal_ganglia ENSG00000149089.8 30 0.898966397938062 2.01935730033639e-39 1
1 Brain_Nucleus_accumbens_basal_ganglia ENSG00000223745.3 30 1.01568583558517 2.42249506589048e-39 1
19 Brain_Nucleus_accumbens_basal_ganglia ENSG00000186230.6 30 0.924217997379668 2.91685983980204e-38 1
5 Brain_Nucleus_accumbens_basal_ganglia ENSG00000248275.1 30 -0.902031827004351 8.09105623393149e-38 1
1 Brain_Nucleus_accumbens_basal_ganglia ENSG00000187010.14 30 -1.13726363476578 7.98747788252648e-37 1
7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000196295.7 30 -0.853014455696857 2.27465240742121e-36 1
1 Brain_Nucleus_accumbens_basal_ganglia ENSG00000142794.14 30 -1.15224842853998 2.48929510020656e-36 1
11 Brain_Nucleus_accumbens_basal_ganglia ENSG00000233930.3 30 -0.784597800216567 3.17683540079906e-36 1
5 Brain_Nucleus_accumbens_basal_ganglia ENSG00000164308.12 30 1.10580304456004 1.54570598369045e-35 1
12 Brain_Nucleus_accumbens_basal_ganglia ENSG00000111788.9 30 -0.928667874546763 2.64705494459527e-35 1
9 Brain_Nucleus_accumbens_basal_ganglia ENSG00000106733.16 30 -1.11908868805001 3.05264357821259e-35 1
18 Brain_Nucleus_accumbens_basal_ganglia ENSG00000101639.14 30 -0.819548340668697 7.02147289905328e-35 1
17 Brain_Nucleus_accumbens_basal_ganglia ENSG00000198496.6 30 -0.953296179853775 1.70369953868535e-34 1
19 Brain_Nucleus_accumbens_basal_ganglia ENSG00000221923.4 30 0.97476725356389 2.41074260551428e-34 1
17 Brain_Nucleus_accumbens_basal_ganglia ENSG00000006282.15 30 -0.723930745405462 3.01342963846945e-34 1
10 Brain_Nucleus_accumbens_basal_ganglia ENSG00000226864.1 30 -0.979879207521792 4.16650500780766e-34 1
20 Brain_Nucleus_accumbens_basal_ganglia ENSG00000196756.7 30 -1.33138742442541 4.29526660158671e-34 1
1 Brain_Nucleus_accumbens_basal_ganglia ENSG00000198468.3 30 1.03678950845699 6.0579956330971e-34 1
19 Brain_Nucleus_accumbens_basal_ganglia ENSG00000267594.5 30 -0.948468262669843 2.15185410120299e-33 1
7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000226824.2 30 -0.998918745682278 2.44575072935885e-33 1
6 Brain_Nucleus_accumbens_basal_ganglia ENSG00000204428.8 30 -0.8617245122755 6.95715337871076e-33 1
17 Brain_Nucleus_accumbens_basal_ganglia ENSG00000214425.2 30 -0.93481089354198 7.13504311327001e-33 1
3 Brain_Nucleus_accumbens_basal_ganglia ENSG00000242142.1 30 0.83037498808685 1.10691566653846e-32 1
19 Brain_Nucleus_accumbens_basal_ganglia ENSG00000226686.3 30 -1.29837067494828 1.13072452660322e-32 1
7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000226278.1 30 1.04245657560036 1.27391666299401e-32 1
5 Brain_Nucleus_accumbens_basal_ganglia ENSG00000170074.15 30 0.757336863231447 1.50649253009359e-32 1
7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000254184.3 30 1.21236965721339 1.57802023853751e-32 1
12 Brain_Nucleus_accumbens_basal_ganglia ENSG00000239335.4 30 -0.963283466443538 2.13192003495069e-32 1
1 Brain_Nucleus_accumbens_basal_ganglia ENSG00000142856.12 30 -1.09688278392957 2.58881886747183e-32 1
11 Brain_Nucleus_accumbens_basal_ganglia ENSG00000177236.3 30 1.01658296220372 3.02154237162223e-32 1
22 Brain_Nucleus_accumbens_basal_ganglia ENSG00000184674.8 30 -0.98000182828914 1.24626801584193e-31 1
15 Brain_Nucleus_accumbens_basal_ganglia ENSG00000270127.1 30 -0.907415919174037 1.62520568729495e-31 1
2 Brain_Nucleus_accumbens_basal_ganglia ENSG00000152117.13 30 -0.822568633567189 1.72810915296266e-31 1
7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000234585.2 30 -0.877417123201931 3.79087518986865e-31 1
1 Brain_Nucleus_accumbens_basal_ganglia ENSG00000236624.4 30 -1.06056533764616 5.82658544738514e-31 1
1 Brain_Nucleus_accumbens_basal_ganglia ENSG00000203666.8 30 -0.793683067035879 8.09870735871032e-31 1
2 Brain_Nucleus_accumbens_basal_ganglia ENSG00000226747.2 30 1.11663978689669 1.03177770523262e-30 1
10 Brain_Nucleus_accumbens_basal_ganglia ENSG00000099290.11 30 -1.05820270378982 1.1656294685578e-30 1
19 Brain_Nucleus_accumbens_basal_ganglia ENSG00000174652.13 30 0.826749772222326 1.25845655530388e-30 1
7 Brain_Nucleus_accumbens_basal_ganglia ENSG00000085514.11 30 1.03604796899919 1.45349712704914e-30 1
4 Brain_Nucleus_accumbens_basal_ganglia ENSG00000251372.1 30 1.26408442514692 1.7703486322205e-30 1
