chr tissue gene peer beta p_value eGene
2 Brain_Putamen_basal_ganglia ENSG00000204792.2 15 1.1120152750247 5.37045554340716e-41 1
22 Brain_Putamen_basal_ganglia ENSG00000273295.1 15 1.1078808221284 1.77354061499677e-40 1
9 Brain_Putamen_basal_ganglia ENSG00000226752.3 15 -1.09205184306695 8.5002694795015e-39 1
12 Brain_Putamen_basal_ganglia ENSG00000013573.12 15 -0.9964575030195 7.34765826741226e-38 1
12 Brain_Putamen_basal_ganglia ENSG00000197728.5 15 -1.0748039271077 1.7395365312756e-37 1
2 Brain_Putamen_basal_ganglia ENSG00000234171.1 15 -1.06056883955267 3.30099617125559e-36 1
16 Brain_Putamen_basal_ganglia ENSG00000234719.4 15 -1.17251015443502 4.30368595205497e-36 1
7 Brain_Putamen_basal_ganglia ENSG00000196295.7 15 -1.10906335428218 2.73073041584856e-35 1
1 Brain_Putamen_basal_ganglia ENSG00000236624.4 15 -1.08123152866361 3.24302409479149e-35 1
11 Brain_Putamen_basal_ganglia ENSG00000166435.11 15 1.24913393102178 9.86333816173948e-35 1
2 Brain_Putamen_basal_ganglia ENSG00000236682.1 15 1.2750175951403 2.20615379168122e-34 1
12 Brain_Putamen_basal_ganglia ENSG00000180481.6 15 -0.84784672282261 2.63645577056823e-34 1
19 Brain_Putamen_basal_ganglia ENSG00000267594.5 15 -0.97286872550621 3.22210191713487e-34 1
11 Brain_Putamen_basal_ganglia ENSG00000149089.8 15 0.906966777547045 6.14064370038623e-34 1
11 Brain_Putamen_basal_ganglia ENSG00000149084.7 15 -0.703350249447928 9.68846959530391e-33 1
2 Brain_Putamen_basal_ganglia ENSG00000144115.12 15 1.01748472226866 2.2461850920406e-32 1
19 Brain_Putamen_basal_ganglia ENSG00000221923.4 15 1.02348162867694 2.93668366998539e-32 1
12 Brain_Putamen_basal_ganglia ENSG00000111788.9 15 -1.0276513669415 3.18007534241051e-32 1
1 Brain_Putamen_basal_ganglia ENSG00000142794.14 15 -1.09028841294852 1.08171943309017e-31 1
11 Brain_Putamen_basal_ganglia ENSG00000254682.1 15 0.913268703616831 1.08289482224774e-31 1
7 Brain_Putamen_basal_ganglia ENSG00000226824.2 15 1.02175028756801 1.71250869561156e-31 1
18 Brain_Putamen_basal_ganglia ENSG00000101639.14 15 -0.818990851052785 3.38450269054967e-31 1
1 Brain_Putamen_basal_ganglia ENSG00000084628.5 15 0.875730953175236 3.40103829545404e-31 1
17 Brain_Putamen_basal_ganglia ENSG00000214401.4 15 1.07780257565981 4.45777767066626e-31 1
19 Brain_Putamen_basal_ganglia ENSG00000186230.6 15 1.0028721445801 6.74556357360968e-31 1
19 Brain_Putamen_basal_ganglia ENSG00000226686.3 15 1.28942559038718 1.32445796820072e-30 1
5 Brain_Putamen_basal_ganglia ENSG00000164308.12 15 1.05623300597815 1.78857558624526e-30 1
1 Brain_Putamen_basal_ganglia ENSG00000270605.1 15 -0.978435992871483 1.25956771764578e-29 1
1 Brain_Putamen_basal_ganglia ENSG00000272865.1 15 0.908497404360053 1.97294077149399e-29 1
5 Brain_Putamen_basal_ganglia ENSG00000248275.1 15 -0.971528887024365 2.02761899981794e-29 1
16 Brain_Putamen_basal_ganglia ENSG00000205078.5 15 1.0806205110503 2.45327416460843e-29 1
10 Brain_Putamen_basal_ganglia ENSG00000226864.1 15 -0.961042622973207 2.72085298222643e-29 1
17 Brain_Putamen_basal_ganglia ENSG00000198496.6 15 -1.02155954061928 6.96209574147519e-29 1
1 Brain_Putamen_basal_ganglia ENSG00000117748.5 15 1.21150930143877 9.00503122487628e-29 1
17 Brain_Putamen_basal_ganglia ENSG00000262539.1 15 1.10092452231515 1.65670302715542e-28 1
1 Brain_Putamen_basal_ganglia ENSG00000272668.1 15 0.87754030164433 1.86569118703623e-28 1
7 Brain_Putamen_basal_ganglia ENSG00000106610.10 15 -0.83432064460988 2.00440613798353e-28 1
22 Brain_Putamen_basal_ganglia ENSG00000184674.8 15 -1.0839269929321 2.80932638962012e-28 1
2 Brain_Putamen_basal_ganglia ENSG00000236209.1 15 0.961640319505994 4.18346747434973e-28 1
6 Brain_Putamen_basal_ganglia ENSG00000204428.8 15 -1.0523302235729 6.11034320286648e-28 1
7 Brain_Putamen_basal_ganglia ENSG00000121716.14 15 0.980543594753214 7.13585733306543e-28 1
7 Brain_Putamen_basal_ganglia ENSG00000230658.1 15 1.07586735354595 8.08822705677105e-28 1
5 Brain_Putamen_basal_ganglia ENSG00000188002.6 15 -0.973678143180873 1.0441173628838e-27 1
17 Brain_Putamen_basal_ganglia ENSG00000176681.10 15 -0.965591701486714 1.66053069273652e-27 1
1 Brain_Putamen_basal_ganglia ENSG00000187010.14 15 -1.13176721682379 1.995299613526e-27 1
12 Brain_Putamen_basal_ganglia ENSG00000239335.4 15 -0.964164159113462 2.33211628812503e-27 1
1 Brain_Putamen_basal_ganglia ENSG00000272195.1 15 0.920566072293312 2.56777987991533e-27 1
22 Brain_Putamen_basal_ganglia ENSG00000224086.3 15 -0.81443357096771 3.6752755449682e-27 1
16 Brain_Putamen_basal_ganglia ENSG00000059122.12 15 0.813036680359174 6.76733542397817e-27 1
7 Brain_Putamen_basal_ganglia ENSG00000229043.2 15 -1.09082980094651 8.0244408817031e-27 1
22 Brain_Putamen_basal_ganglia ENSG00000100197.16 15 -0.741533898857862 1.37264623148152e-26 1
