chr tissue gene peer beta p_value eGene
11 Brain_Spinal_cord_cervical_c-1 ENSG00000166435.11 15 1.28519961403561 2.47534471092555e-31 1
9 Brain_Spinal_cord_cervical_c-1 ENSG00000226752.3 15 -1.02587126814781 8.3335826750909e-30 1
8 Brain_Spinal_cord_cervical_c-1 ENSG00000015592.12 15 -1.09749805753564 1.38735184606048e-29 1
2 Brain_Spinal_cord_cervical_c-1 ENSG00000204792.2 15 0.993100159327515 1.45363150826714e-29 1
12 Brain_Spinal_cord_cervical_c-1 ENSG00000197728.5 15 -1.05224475974894 5.80424100842773e-29 1
17 Brain_Spinal_cord_cervical_c-1 ENSG00000198496.6 15 -1.02616468363973 8.08362609024137e-28 1
18 Brain_Spinal_cord_cervical_c-1 ENSG00000101639.14 15 -0.821091570962091 1.26668599154651e-26 1
5 Brain_Spinal_cord_cervical_c-1 ENSG00000037474.10 15 -0.971237943334153 5.51721949499649e-26 1
11 Brain_Spinal_cord_cervical_c-1 ENSG00000149089.8 15 0.769176476533803 2.81208813844938e-25 1
16 Brain_Spinal_cord_cervical_c-1 ENSG00000140873.11 15 -1.00140717292538 3.00875612004575e-25 1
7 Brain_Spinal_cord_cervical_c-1 ENSG00000226278.1 15 1.22521299194704 5.83731831582787e-25 1
12 Brain_Spinal_cord_cervical_c-1 ENSG00000180481.6 15 -0.85932299059527 2.2771592697753e-24 1
16 Brain_Spinal_cord_cervical_c-1 ENSG00000234719.4 15 -1.06177948907281 2.82883019757619e-24 1
10 Brain_Spinal_cord_cervical_c-1 ENSG00000099290.11 15 -1.06229509491059 4.02601925027581e-24 1
19 Brain_Spinal_cord_cervical_c-1 ENSG00000170954.7 15 0.881451817701489 4.41871704054112e-24 1
9 Brain_Spinal_cord_cervical_c-1 ENSG00000215237.5 15 1.02364825460859 5.49095007598637e-24 1
19 Brain_Spinal_cord_cervical_c-1 ENSG00000226686.3 15 1.27827239474359 1.49780713882442e-23 1
7 Brain_Spinal_cord_cervical_c-1 ENSG00000188732.6 15 0.789792067449465 2.37373405620169e-23 1
22 Brain_Spinal_cord_cervical_c-1 ENSG00000184674.8 15 -1.06126051703694 2.61067524717156e-23 1
11 Brain_Spinal_cord_cervical_c-1 ENSG00000177236.3 15 -1.12031499881989 2.85681673464952e-23 1
19 Brain_Spinal_cord_cervical_c-1 ENSG00000267594.5 15 -0.991381015156629 4.28638323905512e-23 1
7 Brain_Spinal_cord_cervical_c-1 ENSG00000230658.1 15 1.03537356931512 7.4132477238372e-23 1
17 Brain_Spinal_cord_cervical_c-1 ENSG00000006282.15 15 -1.02870838541718 7.67674848567606e-23 1
22 Brain_Spinal_cord_cervical_c-1 ENSG00000273295.1 15 1.06372740279323 8.20607430786727e-23 1
4 Brain_Spinal_cord_cervical_c-1 ENSG00000249378.1 15 1.16132185864633 1.37880773859533e-22 1
7 Brain_Spinal_cord_cervical_c-1 ENSG00000229043.2 15 -0.962045417376242 1.86649368394211e-22 1
17 Brain_Spinal_cord_cervical_c-1 ENSG00000233327.6 15 0.953118549690309 2.17612507478739e-22 1
5 Brain_Spinal_cord_cervical_c-1 ENSG00000188002.6 15 -1.1471893892293 2.7739839236908e-22 1
2 Brain_Spinal_cord_cervical_c-1 ENSG00000236397.2 15 1.03486145479975 2.88678547706831e-22 1
12 Brain_Spinal_cord_cervical_c-1 ENSG00000013573.12 15 -1.02161888284538 4.92944256740685e-22 1
19 Brain_Spinal_cord_cervical_c-1 ENSG00000221923.4 15 1.04402605289253 5.34198937847748e-22 1
5 Brain_Spinal_cord_cervical_c-1 ENSG00000164308.12 15 1.08212400443892 9.57244934140207e-22 1
16 Brain_Spinal_cord_cervical_c-1 ENSG00000205078.5 15 0.952533470525521 1.0734749548442e-21 1
7 Brain_Spinal_cord_cervical_c-1 ENSG00000234585.2 15 0.845992220790747 1.2529625002287e-21 1
17 Brain_Spinal_cord_cervical_c-1 ENSG00000214401.4 15 1.31080037370042 1.53422090508878e-21 1
2 Brain_Spinal_cord_cervical_c-1 ENSG00000226747.2 15 -1.05725455715261 1.84078204831941e-21 1
19 Brain_Spinal_cord_cervical_c-1 ENSG00000174652.13 15 0.808321045926798 3.20217709334559e-21 1
13 Brain_Spinal_cord_cervical_c-1 ENSG00000235903.3 15 1.16116994646538 3.84424137241354e-21 1
7 Brain_Spinal_cord_cervical_c-1 ENSG00000226824.2 15 1.06181509372047 4.00909885377213e-21 1
8 Brain_Spinal_cord_cervical_c-1 ENSG00000174226.4 15 0.908228032919266 4.04190150650385e-21 1
2 Brain_Spinal_cord_cervical_c-1 ENSG00000236209.1 15 0.83268178043525 4.88886887231553e-21 1
16 Brain_Spinal_cord_cervical_c-1 ENSG00000267077.1 15 1.00932468460527 5.94258939251974e-21 1
9 Brain_Spinal_cord_cervical_c-1 ENSG00000106733.16 15 -1.09002240222975 7.90972149254365e-21 1
15 Brain_Spinal_cord_cervical_c-1 ENSG00000138606.15 15 -0.953115153143119 1.08044847351778e-20 1
2 Brain_Spinal_cord_cervical_c-1 ENSG00000240344.4 15 -1.06274385806074 1.75061982450429e-20 1
17 Brain_Spinal_cord_cervical_c-1 ENSG00000262539.1 15 1.07996193507727 1.97451219176802e-20 1
7 Brain_Spinal_cord_cervical_c-1 ENSG00000185290.3 15 1.28501853430607 2.29233274801339e-20 1
8 Brain_Spinal_cord_cervical_c-1 ENSG00000221947.3 15 0.935646206102527 2.79910847520859e-20 1
6 Brain_Spinal_cord_cervical_c-1 ENSG00000203797.5 15 0.811151103423887 2.81278281039681e-20 1
16 Brain_Spinal_cord_cervical_c-1 ENSG00000059122.12 15 0.812961882699717 2.87534128601823e-20 1
7 Brain_Spinal_cord_cervical_c-1 ENSG00000254184.3 15 1.29607038488609 2.90719402838507e-20 1
8 Brain_Spinal_cord_cervical_c-1 ENSG00000071894.10 15 -0.864045759638094 3.30826730829546e-20 1
17 Brain_Spinal_cord_cervical_c-1 ENSG00000264070.1 15 1.06994776742635 4.66972612330391e-20 1
