chr tissue gene peer beta p_value eGene
4 Brain_Substantia_nigra ENSG00000249378.1 15 1.13103675318313 1.08269988609681e-35 1
5 Brain_Substantia_nigra ENSG00000164308.12 15 1.11827536963191 1.81114985025944e-28 1
19 Brain_Substantia_nigra ENSG00000267594.5 15 -0.928212547615254 7.82409589404248e-28 1
12 Brain_Substantia_nigra ENSG00000013573.12 15 -0.90528049124619 2.95050391617681e-27 1
2 Brain_Substantia_nigra ENSG00000204792.2 15 1.08067701052065 2.94753352860166e-26 1
17 Brain_Substantia_nigra ENSG00000198496.6 15 -0.983905264051678 2.66948118069967e-25 1
19 Brain_Substantia_nigra ENSG00000221923.4 15 0.99483498173926 3.29156385200837e-24 1
8 Brain_Substantia_nigra ENSG00000015592.12 15 -0.87564711307213 3.80799073535853e-24 1
22 Brain_Substantia_nigra ENSG00000273295.1 15 0.945915953775722 3.96151677822577e-24 1
3 Brain_Substantia_nigra ENSG00000163576.13 15 0.98824753209389 4.10474348210819e-24 1
9 Brain_Substantia_nigra ENSG00000226752.3 15 -0.911604581187468 4.26901789575105e-24 1
12 Brain_Substantia_nigra ENSG00000180481.6 15 -0.835067323570451 5.5721681903275e-24 1
6 Brain_Substantia_nigra ENSG00000203875.6 15 0.635936674640127 1.0917089779051e-23 1
7 Brain_Substantia_nigra ENSG00000229043.2 15 -1.05504226786322 1.2716507913786e-23 1
9 Brain_Substantia_nigra ENSG00000215237.5 15 1.05727413943521 6.98312252188187e-23 1
11 Brain_Substantia_nigra ENSG00000149089.8 15 0.837429431296621 8.68342576406126e-23 1
19 Brain_Substantia_nigra ENSG00000186230.6 15 1.01268190515398 9.62844738441524e-23 1
22 Brain_Substantia_nigra ENSG00000184674.8 15 -0.980881899711672 1.45691997228067e-22 1
19 Brain_Substantia_nigra ENSG00000226686.3 15 1.09126767201869 2.06074858827684e-22 1
16 Brain_Substantia_nigra ENSG00000234719.4 15 0.985353294099922 3.57957798240365e-22 1
8 Brain_Substantia_nigra ENSG00000221947.3 15 0.921014474794694 5.16788566739318e-22 1
7 Brain_Substantia_nigra ENSG00000226824.2 15 0.874552515889162 5.31415937370905e-22 1
12 Brain_Substantia_nigra ENSG00000197728.5 15 -0.879540574252229 6.68586342783031e-22 1
