chr tissue gene peer beta p_value eGene
12 Breast_Mammary_Tissue ENSG00000013573.12 70 -1.09561665483331 4.89735817030656e-91 1
12 Breast_Mammary_Tissue ENSG00000197728.5 70 -1.06717616209288 1.23973458432781e-89 1
11 Breast_Mammary_Tissue ENSG00000166435.11 70 1.22909265288262 2.00687911972752e-89 1
5 Breast_Mammary_Tissue ENSG00000164308.12 70 1.00511630812377 2.95840951685189e-89 1
19 Breast_Mammary_Tissue ENSG00000174652.13 70 0.874979793596794 6.55632042619274e-85 1
9 Breast_Mammary_Tissue ENSG00000226752.3 70 -0.89382432320592 5.08927473313188e-84 1
2 Breast_Mammary_Tissue ENSG00000204792.2 70 1.05665359469528 6.48113289680479e-83 1
17 Breast_Mammary_Tissue ENSG00000204650.9 70 0.847613894864271 2.40998762525153e-81 1
8 Breast_Mammary_Tissue ENSG00000071894.10 70 -0.938804536083985 3.62141488929934e-81 1
7 Breast_Mammary_Tissue ENSG00000226278.1 70 1.00419082960793 4.62155134567377e-81 1
1 Breast_Mammary_Tissue ENSG00000236624.4 70 -1.10192125275572 4.0942854610663e-79 1
6 Breast_Mammary_Tissue ENSG00000179344.12 70 -0.88428511479184 7.35657046052274e-78 1
5 Breast_Mammary_Tissue ENSG00000164346.5 70 1.01321320476419 6.99265742433185e-71 1
11 Breast_Mammary_Tissue ENSG00000177236.3 70 -0.814041413463493 5.75258946478839e-70 1
22 Breast_Mammary_Tissue ENSG00000183172.8 70 -0.732352729700601 6.77891419768098e-70 1
17 Breast_Mammary_Tissue ENSG00000214425.2 70 -0.946205497479629 6.61015272642987e-69 1
16 Breast_Mammary_Tissue ENSG00000234719.4 70 -1.05049675788426 7.90723795214367e-69 1
6 Breast_Mammary_Tissue ENSG00000203875.6 70 0.818801494623881 9.05903706477443e-69 1
15 Breast_Mammary_Tissue ENSG00000140400.10 70 -0.790277652996865 1.83674541293367e-68 1
12 Breast_Mammary_Tissue ENSG00000180481.6 70 -0.842034444264552 3.69522384242357e-68 1
7 Breast_Mammary_Tissue ENSG00000165171.6 70 -0.884399135679088 4.96742609583603e-68 1
17 Breast_Mammary_Tissue ENSG00000264070.1 70 1.54337266871406 1.30367352996346e-67 1
7 Breast_Mammary_Tissue ENSG00000226824.2 70 0.965588820250475 3.38506322256383e-67 1
19 Breast_Mammary_Tissue ENSG00000197020.6 70 -0.952568251041221 1.69214673260391e-66 1
1 Breast_Mammary_Tissue ENSG00000142856.12 70 -0.944447925772555 2.32981582243203e-66 1
17 Breast_Mammary_Tissue ENSG00000187624.7 70 0.942447597111063 3.12032218069746e-66 1
8 Breast_Mammary_Tissue ENSG00000254859.1 70 -0.853518632527582 6.40903757884861e-66 1
7 Breast_Mammary_Tissue ENSG00000121716.14 70 0.805080198338015 7.11238750324968e-66 1
3 Breast_Mammary_Tissue ENSG00000163576.13 70 0.963897665748783 9.70725614983549e-66 1
6 Breast_Mammary_Tissue ENSG00000204644.5 70 1.01927258701527 1.35945602859779e-65 1
17 Breast_Mammary_Tissue ENSG00000263503.1 70 1.43892697270028 2.54549971397592e-65 1
15 Breast_Mammary_Tissue ENSG00000270127.1 70 -0.862950676354482 1.11098849699358e-64 1
1 Breast_Mammary_Tissue ENSG00000084072.12 70 0.994152850476369 1.18811842042756e-64 1
2 Breast_Mammary_Tissue ENSG00000236209.1 70 0.893563894631477 6.2960454082367e-64 1
6 Breast_Mammary_Tissue ENSG00000124587.9 70 0.653611761836925 1.45540691318949e-63 1
2 Breast_Mammary_Tissue ENSG00000236682.1 70 -1.27527642043494 6.10826327548026e-63 1
8 Breast_Mammary_Tissue ENSG00000221947.3 70 0.975909054636303 9.09441556672823e-63 1
14 Breast_Mammary_Tissue ENSG00000258289.3 70 0.676981587464362 2.35716799623822e-62 1
7 Breast_Mammary_Tissue ENSG00000085514.11 70 1.09112073398641 7.58350787886081e-62 1
17 Breast_Mammary_Tissue ENSG00000262539.1 70 1.21807034080656 1.04652808693729e-61 1
17 Breast_Mammary_Tissue ENSG00000214401.4 70 1.07180178973829 2.22906488499246e-61 1
16 Breast_Mammary_Tissue ENSG00000059122.12 70 0.8365767079285 1.48377132261642e-60 1
17 Breast_Mammary_Tissue ENSG00000006282.15 70 -0.719638010686973 2.1686813433114e-60 1
2 Breast_Mammary_Tissue ENSG00000144115.12 70 0.901112535051488 4.31313714663275e-60 1
11 Breast_Mammary_Tissue ENSG00000255893.1 70 1.00512317452314 7.81171819923429e-60 1
