chr tissue gene peer beta p_value eGene
19 Cells_EBV-transformed_lymphocytes ENSG00000174652.13 100 1.05357436266699 4.7465434424518e-53 1
17 Cells_EBV-transformed_lymphocytes ENSG00000166750.5 100 1.08419562856293 7.76149993644757e-44 1
17 Cells_EBV-transformed_lymphocytes ENSG00000214425.2 100 -1.16527718501685 1.29340573792807e-43 1
12 Cells_EBV-transformed_lymphocytes ENSG00000197728.5 100 -0.969502741525818 7.04385650502726e-43 1
5 Cells_EBV-transformed_lymphocytes ENSG00000164308.12 100 0.988847154188297 4.07805865775821e-42 1
7 Cells_EBV-transformed_lymphocytes ENSG00000230658.1 100 1.08250621419688 9.57333664034553e-40 1
17 Cells_EBV-transformed_lymphocytes ENSG00000006282.15 100 -1.06055822396056 5.27018412410051e-39 1
7 Cells_EBV-transformed_lymphocytes ENSG00000229043.2 100 -0.945568920725114 2.80857312684397e-38 1
6 Cells_EBV-transformed_lymphocytes ENSG00000203875.6 100 1.07897616710348 4.38190214633237e-38 1
2 Cells_EBV-transformed_lymphocytes ENSG00000204792.2 100 1.03626200361371 6.94343411221704e-38 1
4 Cells_EBV-transformed_lymphocytes ENSG00000145214.9 100 0.874364198355716 2.41167035894961e-37 1
11 Cells_EBV-transformed_lymphocytes ENSG00000166435.11 100 1.29101838128114 2.85368191549324e-37 1
6 Cells_EBV-transformed_lymphocytes ENSG00000112139.10 100 -1.10545384979226 2.70854922546447e-36 1
14 Cells_EBV-transformed_lymphocytes ENSG00000258289.3 100 1.11248443002719 5.25618941350685e-36 1
6 Cells_EBV-transformed_lymphocytes ENSG00000232629.4 100 1.04675522940097 1.30665389719769e-35 1
17 Cells_EBV-transformed_lymphocytes ENSG00000262539.1 100 1.2336506773124 4.07343908124025e-35 1
5 Cells_EBV-transformed_lymphocytes ENSG00000205464.7 100 -0.880654065052176 2.30395810629314e-34 1
20 Cells_EBV-transformed_lymphocytes ENSG00000196756.7 100 -1.10648060489161 3.92416705855819e-34 1
11 Cells_EBV-transformed_lymphocytes ENSG00000196655.5 100 0.790081123997297 3.93611658511626e-34 1
5 Cells_EBV-transformed_lymphocytes ENSG00000250155.1 100 0.869482698906804 4.0722333289357e-34 1
1 Cells_EBV-transformed_lymphocytes ENSG00000198468.3 100 0.947962941101136 7.65518350619657e-34 1
2 Cells_EBV-transformed_lymphocytes ENSG00000240344.4 100 -0.90125077659317 1.02640086620087e-33 1
17 Cells_EBV-transformed_lymphocytes ENSG00000187624.7 100 1.09560718314937 1.19752773294202e-33 1
1 Cells_EBV-transformed_lymphocytes ENSG00000236624.4 100 -1.06852189034744 2.35306004883366e-33 1
5 Cells_EBV-transformed_lymphocytes ENSG00000248734.2 100 0.889358037366487 6.28532697365615e-33 1
17 Cells_EBV-transformed_lymphocytes ENSG00000214087.4 100 -1.3484416429147 7.22619785516015e-33 1
19 Cells_EBV-transformed_lymphocytes ENSG00000065268.6 100 -0.803020157927659 1.64149267316175e-32 1
3 Cells_EBV-transformed_lymphocytes ENSG00000249846.2 100 -1.00017610896315 1.96537964371722e-32 1
5 Cells_EBV-transformed_lymphocytes ENSG00000164346.5 100 1.15587869474027 4.96467599637708e-32 1
3 Cells_EBV-transformed_lymphocytes ENSG00000180611.6 100 -0.839571383699868 8.25400913495831e-32 1
11 Cells_EBV-transformed_lymphocytes ENSG00000255893.1 100 0.942871676064456 1.77206614855403e-31 1
11 Cells_EBV-transformed_lymphocytes ENSG00000110074.6 100 0.576010761843815 5.98562406229937e-31 1
12 Cells_EBV-transformed_lymphocytes ENSG00000205057.3 100 1.16947543400483 6.24545051713965e-31 1
15 Cells_EBV-transformed_lymphocytes ENSG00000244879.3 100 0.823017565809369 7.59644334546297e-31 1
2 Cells_EBV-transformed_lymphocytes ENSG00000197927.8 100 1.03983542700143 1.1697419800262e-30 1
7 Cells_EBV-transformed_lymphocytes ENSG00000242294.2 100 0.832431011398806 1.2004267372825e-30 1
12 Cells_EBV-transformed_lymphocytes ENSG00000239335.4 100 -0.945749410804766 1.47002227089728e-30 1
15 Cells_EBV-transformed_lymphocytes ENSG00000137806.4 100 -0.806717050681223 5.39634232713656e-30 1
8 Cells_EBV-transformed_lymphocytes ENSG00000205038.7 100 0.976839114131779 6.05869591639987e-30 1
11 Cells_EBV-transformed_lymphocytes ENSG00000197345.8 100 -0.725626155797895 7.69569040652542e-30 1
6 Cells_EBV-transformed_lymphocytes ENSG00000124587.9 100 1.04028989206024 9.00703030918916e-30 1
6 Cells_EBV-transformed_lymphocytes ENSG00000179344.12 100 -0.964535599413397 9.12129490989511e-30 1
6 Cells_EBV-transformed_lymphocytes ENSG00000237541.3 100 0.999123497865227 1.65353480148723e-29 1
11 Cells_EBV-transformed_lymphocytes ENSG00000166436.11 100 0.800483574091114 2.11924054250346e-29 1
16 Cells_EBV-transformed_lymphocytes ENSG00000263335.1 100 1.25044768882504 2.46672887677527e-29 1
17 Cells_EBV-transformed_lymphocytes ENSG00000108592.12 100 0.53239501772441 2.48662423966359e-29 1
17 Cells_EBV-transformed_lymphocytes ENSG00000263503.1 100 1.0287493209745 2.87547822232115e-29 1
21 Cells_EBV-transformed_lymphocytes ENSG00000156261.8 100 0.999304864709357 3.76595677884126e-29 1
