chr tissue gene peer beta p_value eGene
5 Cells_Transformed_fibroblasts ENSG00000164308.12 60 1.09465894104361 4.80263223478719e-131 1
11 Cells_Transformed_fibroblasts ENSG00000166435.11 60 1.2493006298405 3.14285072691435e-119 1
6 Cells_Transformed_fibroblasts ENSG00000203875.6 60 0.924234652987431 7.50973919936341e-117 1
17 Cells_Transformed_fibroblasts ENSG00000187624.7 60 0.981113329813102 3.35255565761728e-106 1
1 Cells_Transformed_fibroblasts ENSG00000198468.3 60 1.04971432788915 1.70365464745143e-104 1
2 Cells_Transformed_fibroblasts ENSG00000204792.2 60 1.07521195639469 1.86989526138831e-103 1
1 Cells_Transformed_fibroblasts ENSG00000117226.7 60 -1.16802643055659 1.86544174961804e-102 1
17 Cells_Transformed_fibroblasts ENSG00000204650.9 60 1.15138976240879 1.1313557906883e-101 1
2 Cells_Transformed_fibroblasts ENSG00000240344.4 60 -1.02584605136775 8.31366618232711e-101 1
6 Cells_Transformed_fibroblasts ENSG00000270346.1 60 0.968044649562863 1.00998420001096e-100 1
7 Cells_Transformed_fibroblasts ENSG00000165171.6 60 -0.952587778127083 1.64050003351609e-100 1
22 Cells_Transformed_fibroblasts ENSG00000273295.1 60 1.01973521895106 2.22102148410536e-100 1
11 Cells_Transformed_fibroblasts ENSG00000196655.5 60 0.820363497076462 2.31304809207569e-99 1
19 Cells_Transformed_fibroblasts ENSG00000174652.13 60 0.867000370606606 4.55848619174232e-99 1
1 Cells_Transformed_fibroblasts ENSG00000134202.6 60 0.821745191812616 2.76526876211344e-97 1
12 Cells_Transformed_fibroblasts ENSG00000197728.5 60 -0.899042022128418 1.07523307261873e-96 1
14 Cells_Transformed_fibroblasts ENSG00000258289.3 60 1.0096972623123 9.39626550797827e-96 1
20 Cells_Transformed_fibroblasts ENSG00000101307.11 60 1.0541559746586 1.2816367256858e-94 1
11 Cells_Transformed_fibroblasts ENSG00000149084.7 60 -0.822291863840799 1.80373139624524e-94 1
6 Cells_Transformed_fibroblasts ENSG00000271361.1 60 0.945765549997909 2.22767551700946e-94 1
1 Cells_Transformed_fibroblasts ENSG00000137944.12 60 -0.6912953926597 1.19517084275227e-92 1
15 Cells_Transformed_fibroblasts ENSG00000244879.3 60 0.908465344332523 1.48546216593785e-92 1
9 Cells_Transformed_fibroblasts ENSG00000225434.2 60 1.06188883214916 2.4969384669027e-92 1
20 Cells_Transformed_fibroblasts ENSG00000196756.7 60 -1.0109350531503 1.72642324876598e-91 1
13 Cells_Transformed_fibroblasts ENSG00000261105.1 60 -0.826210294692245 1.93677510397919e-91 1
6 Cells_Transformed_fibroblasts ENSG00000112619.6 60 1.15372266751482 4.91562323872749e-91 1
2 Cells_Transformed_fibroblasts ENSG00000236682.1 60 -1.19599694702417 1.33535366903173e-90 1
11 Cells_Transformed_fibroblasts ENSG00000246174.3 60 -0.95952131317805 3.16273602376626e-90 1
11 Cells_Transformed_fibroblasts ENSG00000109854.9 60 0.899114933808359 3.19560550823029e-90 1
1 Cells_Transformed_fibroblasts ENSG00000142657.16 60 0.73678210128621 5.12341301041294e-90 1
22 Cells_Transformed_fibroblasts ENSG00000218537.1 60 1.0627224820541 9.16607346947953e-90 1
6 Cells_Transformed_fibroblasts ENSG00000272462.2 60 -1.20920786170597 2.03596889003933e-89 1
1 Cells_Transformed_fibroblasts ENSG00000116157.5 60 -0.934074717705183 2.14873870752315e-88 1
1 Cells_Transformed_fibroblasts ENSG00000007341.14 60 0.88574613914461 4.84407283864192e-88 1
16 Cells_Transformed_fibroblasts ENSG00000234719.4 60 -1.02054059184464 2.34141250237784e-86 1
6 Cells_Transformed_fibroblasts ENSG00000124593.10 60 0.826100247384495 2.44010362127115e-85 1
7 Cells_Transformed_fibroblasts ENSG00000230658.1 60 1.04967206839832 3.32649348893314e-85 1
17 Cells_Transformed_fibroblasts ENSG00000141698.12 60 -0.872458775046228 4.37215540103253e-85 1
11 Cells_Transformed_fibroblasts ENSG00000177236.3 60 -0.949582030388665 2.01600173424277e-84 1
