chr tissue gene peer beta p_value eGene
12 Colon_Sigmoid ENSG00000197728.5 60 -1.04469427162406 6.19419013483596e-81 1
12 Colon_Sigmoid ENSG00000013573.12 60 -1.00216916129731 9.39944173133553e-77 1
11 Colon_Sigmoid ENSG00000166435.11 60 1.19780669166435 1.96438559610508e-73 1
19 Colon_Sigmoid ENSG00000174652.13 60 0.959147446859671 3.51534872233857e-71 1
2 Colon_Sigmoid ENSG00000204792.2 60 1.04192692002484 1.99018305367892e-69 1
17 Colon_Sigmoid ENSG00000154803.8 60 0.896360794274951 1.86559697122287e-67 1
1 Colon_Sigmoid ENSG00000218510.3 60 1.1975353673669 1.53835070498407e-64 1
1 Colon_Sigmoid ENSG00000142856.12 60 -1.15019525959084 1.21909165874946e-63 1
1 Colon_Sigmoid ENSG00000236624.4 60 -1.07781346497386 2.52725075893865e-62 1
12 Colon_Sigmoid ENSG00000111788.9 60 -1.00832002383923 3.27046472117667e-62 1
17 Colon_Sigmoid ENSG00000187624.7 60 1.03795495880367 1.19459723329608e-61 1
9 Colon_Sigmoid ENSG00000226752.3 60 -1.01736495949995 1.28748371342762e-60 1
5 Colon_Sigmoid ENSG00000164308.12 60 0.855112163924882 2.15497571561767e-60 1
22 Colon_Sigmoid ENSG00000183172.8 60 0.870208989177123 7.85061667973741e-60 1
7 Colon_Sigmoid ENSG00000226278.1 60 1.0823257511531 4.61671309411847e-59 1
11 Colon_Sigmoid ENSG00000197345.8 60 -0.814424705338559 6.73277713079546e-59 1
17 Colon_Sigmoid ENSG00000204650.9 60 0.95231613533304 4.90667162147498e-58 1
3 Colon_Sigmoid ENSG00000163576.13 60 1.04786439730687 2.07141182165867e-57 1
9 Colon_Sigmoid ENSG00000106733.16 60 -0.750297314173559 3.52758317759428e-56 1
16 Colon_Sigmoid ENSG00000059122.12 60 0.854287921440143 5.31804498072709e-56 1
22 Colon_Sigmoid ENSG00000218537.1 60 0.960097947323874 1.28851317761589e-55 1
5 Colon_Sigmoid ENSG00000205464.7 60 -0.714255836678479 1.45825292263252e-55 1
7 Colon_Sigmoid ENSG00000229043.2 60 -0.870541329200822 1.53464210578202e-55 1
1 Colon_Sigmoid ENSG00000198468.3 60 0.983950420788285 3.92190564387707e-55 1
6 Colon_Sigmoid ENSG00000112139.10 60 -0.769885632472342 7.07648184451208e-55 1
1 Colon_Sigmoid ENSG00000272668.1 60 0.592887980182382 1.7965146235402e-54 1
