chr tissue gene peer beta p_value eGene
12 Colon_Transverse ENSG00000197728.5 90 -1.01529962992694 5.79667894931514e-100 1
11 Colon_Transverse ENSG00000166435.11 90 1.23961883692921 5.9936654863197e-98 1
12 Colon_Transverse ENSG00000013573.12 90 -0.979527421724697 1.90048883512079e-95 1
2 Colon_Transverse ENSG00000204792.2 90 0.99422047156773 3.19398648674292e-89 1
5 Colon_Transverse ENSG00000164308.12 90 0.972369321445801 2.12416574350116e-88 1
19 Colon_Transverse ENSG00000174652.13 90 0.944820108089822 3.87173683297442e-82 1
17 Colon_Transverse ENSG00000187624.7 90 0.958167236477339 6.75011057391351e-80 1
6 Colon_Transverse ENSG00000203875.6 90 0.809810643718753 3.73408722145935e-76 1
22 Colon_Transverse ENSG00000100376.7 90 -1.25698259247148 1.33933895679155e-75 1
1 Colon_Transverse ENSG00000272668.1 90 0.835016604014722 5.62683716584746e-74 1
9 Colon_Transverse ENSG00000226752.3 90 -0.957972148956073 7.06995351435116e-74 1
7 Colon_Transverse ENSG00000226278.1 90 1.04425287937276 1.06344226777514e-72 1
7 Colon_Transverse ENSG00000196295.7 90 -0.988112382261494 1.20387559265371e-72 1
17 Colon_Transverse ENSG00000214087.4 90 -1.26230483163623 2.92289590668596e-72 1
22 Colon_Transverse ENSG00000218537.1 90 0.994408955151871 5.57061149977909e-71 1
22 Colon_Transverse ENSG00000273295.1 90 0.959837442194025 1.19695845649869e-70 1
17 Colon_Transverse ENSG00000214425.2 90 -1.072682135743 3.95982982060903e-70 1
1 Colon_Transverse ENSG00000236624.4 90 -1.10514838993236 1.82716332200211e-68 1
8 Colon_Transverse ENSG00000071894.10 90 -0.733592277684534 6.11928841764476e-67 1
6 Colon_Transverse ENSG00000124587.9 90 0.698227729030923 2.7117859196485e-66 1
16 Colon_Transverse ENSG00000234719.4 90 -0.984952848798101 4.20790732341546e-66 1
10 Colon_Transverse ENSG00000183605.12 90 0.700864070726888 2.41914925411189e-65 1
2 Colon_Transverse ENSG00000240344.4 90 -0.981289097151515 7.24735964135939e-65 1
