chr tissue gene peer beta p_value eGene
12 Esophagus_Gastroesophageal_Junction ENSG00000013573.12 60 -0.985963730247575 1.59089987924915e-91 1
12 Esophagus_Gastroesophageal_Junction ENSG00000197728.5 60 -1.00165651851372 3.71448524053622e-82 1
11 Esophagus_Gastroesophageal_Junction ENSG00000166435.11 60 1.23129508408758 4.07568356453705e-80 1
2 Esophagus_Gastroesophageal_Junction ENSG00000204792.2 60 1.05179690279572 2.83496807386281e-74 1
19 Esophagus_Gastroesophageal_Junction ENSG00000174652.13 60 0.917995303662363 4.87291415510506e-71 1
17 Esophagus_Gastroesophageal_Junction ENSG00000187624.7 60 1.02088105071068 8.37089428310052e-71 1
1 Esophagus_Gastroesophageal_Junction ENSG00000218510.3 60 1.11613078456906 1.05441369849639e-69 1
5 Esophagus_Gastroesophageal_Junction ENSG00000164308.12 60 0.941575720800355 3.71363389194468e-69 1
1 Esophagus_Gastroesophageal_Junction ENSG00000142856.12 60 1.00691710441301 3.62047544995147e-66 1
22 Esophagus_Gastroesophageal_Junction ENSG00000273295.1 60 1.0007648549887 6.94345476582835e-66 1
9 Esophagus_Gastroesophageal_Junction ENSG00000226752.3 60 -0.975654059093356 2.81352664870969e-65 1
1 Esophagus_Gastroesophageal_Junction ENSG00000236624.4 60 -1.15901137227592 9.17999699635202e-65 1
16 Esophagus_Gastroesophageal_Junction ENSG00000059122.12 60 0.852354901562561 5.24183035961502e-63 1
17 Esophagus_Gastroesophageal_Junction ENSG00000204650.9 60 0.959277501007655 4.20445266239485e-62 1
7 Esophagus_Gastroesophageal_Junction ENSG00000226278.1 60 1.01814953982685 5.19964477353457e-62 1
17 Esophagus_Gastroesophageal_Junction ENSG00000214425.2 60 -1.13590041143456 9.56398754010874e-61 1
16 Esophagus_Gastroesophageal_Junction ENSG00000234719.4 60 -1.07051647475957 1.19756009124239e-60 1
17 Esophagus_Gastroesophageal_Junction ENSG00000154803.8 60 0.848547479455537 1.38105469216343e-60 1
12 Esophagus_Gastroesophageal_Junction ENSG00000166896.3 60 -0.943399928704741 3.33324724188205e-60 1
5 Esophagus_Gastroesophageal_Junction ENSG00000205464.7 60 -0.848098925295569 4.31347944339096e-60 1
22 Esophagus_Gastroesophageal_Junction ENSG00000218537.1 60 0.998066617133561 5.21010349019493e-60 1
12 Esophagus_Gastroesophageal_Junction ENSG00000111788.9 60 -0.951050773302609 6.94427359133558e-60 1
3 Esophagus_Gastroesophageal_Junction ENSG00000163576.13 60 1.01787628686201 2.55857504997809e-59 1
12 Esophagus_Gastroesophageal_Junction ENSG00000180481.6 60 -0.957782120113484 8.83389749123298e-59 1
17 Esophagus_Gastroesophageal_Junction ENSG00000214401.4 60 1.04333721542478 3.27410583738318e-58 1
11 Esophagus_Gastroesophageal_Junction ENSG00000197345.8 60 -0.826420072863431 4.07723192950985e-58 1
19 Esophagus_Gastroesophageal_Junction ENSG00000226686.3 60 -0.938822937177738 7.21284137732992e-58 1
17 Esophagus_Gastroesophageal_Junction ENSG00000198496.6 60 -1.07921547689455 7.58253397397134e-58 1
6 Esophagus_Gastroesophageal_Junction ENSG00000179344.12 60 -0.92243233048057 3.4781484430975e-57 1
7 Esophagus_Gastroesophageal_Junction ENSG00000226824.2 60 1.02567467816812 6.54635542820288e-57 1
11 Esophagus_Gastroesophageal_Junction ENSG00000177236.3 60 -0.893798666247367 7.98401359091419e-57 1
5 Esophagus_Gastroesophageal_Junction ENSG00000164346.5 60 1.10432557580733 8.57313749156164e-56 1
6 Esophagus_Gastroesophageal_Junction ENSG00000203875.6 60 0.717642286576967 2.21500084452612e-55 1
15 Esophagus_Gastroesophageal_Junction ENSG00000140400.10 60 0.604002388362118 3.53416228654523e-55 1
2 Esophagus_Gastroesophageal_Junction ENSG00000236682.1 60 -1.12362976630373 5.05221342932888e-55 1
22 Esophagus_Gastroesophageal_Junction ENSG00000100296.9 60 -1.02380536503026 1.27741096422542e-54 1
22 Esophagus_Gastroesophageal_Junction ENSG00000100376.7 60 -1.30301277315131 2.29413237816497e-54 1
22 Esophagus_Gastroesophageal_Junction ENSG00000240972.1 60 0.890636861834825 8.13276888643805e-54 1
6 Esophagus_Gastroesophageal_Junction ENSG00000112031.11 60 -0.795902725788659 1.54930795950995e-53 1
7 Esophagus_Gastroesophageal_Junction ENSG00000229043.2 60 -0.909702352205202 1.96690536374652e-53 1
9 Esophagus_Gastroesophageal_Junction ENSG00000225434.2 60 0.988408625487755 2.76661648114155e-53 1
17 Esophagus_Gastroesophageal_Junction ENSG00000262539.1 60 1.11696487213955 2.81646456912034e-53 1
22 Esophagus_Gastroesophageal_Junction ENSG00000099984.6 60 -0.997622699776298 4.38215141173732e-53 1
15 Esophagus_Gastroesophageal_Junction ENSG00000270127.1 60 -0.971581312874286 5.73414892759669e-53 1
8 Esophagus_Gastroesophageal_Junction ENSG00000071894.10 60 -0.948300740924827 7.2600479457123e-53 1
2 Esophagus_Gastroesophageal_Junction ENSG00000144115.12 60 1.11764223903043 4.07134040281058e-52 1
19 Esophagus_Gastroesophageal_Junction ENSG00000181240.9 60 -0.874379931273778 4.21682085079026e-52 1
2 Esophagus_Gastroesophageal_Junction ENSG00000197927.8 60 0.915482436941248 9.76659314846689e-52 1
14 Esophagus_Gastroesophageal_Junction ENSG00000139899.6 60 0.740962638185722 1.58145230874757e-51 1
22 Esophagus_Gastroesophageal_Junction ENSG00000183172.8 60 0.709098085437797 2.48600161507213e-51 1
14 Esophagus_Gastroesophageal_Junction ENSG00000258289.3 60 0.546707542597967 2.76649431546257e-51 1
5 Esophagus_Gastroesophageal_Junction ENSG00000248275.1 60 -0.664833052558996 2.82292865749331e-51 1
8 Esophagus_Gastroesophageal_Junction ENSG00000221947.3 60 1.00877386467532 4.19291457999152e-51 1
9 Esophagus_Gastroesophageal_Junction ENSG00000106733.16 60 -0.77155241601756 8.37609178916175e-51 1
17 Esophagus_Gastroesophageal_Junction ENSG00000214087.4 60 -1.25729749507014 1.45121760554251e-50 1
6 Esophagus_Gastroesophageal_Junction ENSG00000204644.5 60 1.21899898630792 1.50992665612012e-50 1
3 Esophagus_Gastroesophageal_Junction ENSG00000129055.8 60 0.735378170701172 1.57685957194397e-50 1
17 Esophagus_Gastroesophageal_Junction ENSG00000198920.5 60 -0.788395971250498 1.77084444824182e-50 1
22 Esophagus_Gastroesophageal_Junction ENSG00000230513.1 60 -0.894535865465867 1.92326842261605e-50 1
2 Esophagus_Gastroesophageal_Junction ENSG00000236209.1 60 0.872972864539251 2.1686655700066e-50 1
17 Esophagus_Gastroesophageal_Junction ENSG00000141560.10 60 -0.787480825709888 3.33482315775e-50 1
19 Esophagus_Gastroesophageal_Junction ENSG00000267594.5 60 -0.925420586717399 4.6958781992635e-50 1
19 Esophagus_Gastroesophageal_Junction ENSG00000182013.13 60 0.802694978841784 5.32499431047279e-50 1
1 Esophagus_Gastroesophageal_Junction ENSG00000168653.6 60 -0.621870444814164 5.67669290120379e-50 1
19 Esophagus_Gastroesophageal_Junction ENSG00000197020.6 60 -0.77889344291391 1.05189523859057e-49 1
7 Esophagus_Gastroesophageal_Junction ENSG00000196295.7 60 -0.729878483708943 1.2557680020734e-49 1
15 Esophagus_Gastroesophageal_Junction ENSG00000244879.3 60 0.898015533515387 1.38452014028816e-49 1
12 Esophagus_Gastroesophageal_Junction ENSG00000172322.9 60 1.04334651231182 1.96569580705876e-49 1
15 Esophagus_Gastroesophageal_Junction ENSG00000128944.9 60 1.32551264613746 2.52050542479446e-49 1
22 Esophagus_Gastroesophageal_Junction ENSG00000272955.1 60 -0.897975555666575 3.75115391081109e-49 1
22 Esophagus_Gastroesophageal_Junction ENSG00000184674.8 60 -0.994063405000754 4.83108560431248e-49 1
10 Esophagus_Gastroesophageal_Junction ENSG00000183605.12 60 0.84173735954171 5.41433558263666e-49 1
4 Esophagus_Gastroesophageal_Junction ENSG00000163682.11 60 -0.74015495838213 6.10093024438937e-49 1
22 Esophagus_Gastroesophageal_Junction ENSG00000235231.3 60 -0.937075312342777 6.26509828292771e-49 1
17 Esophagus_Gastroesophageal_Junction ENSG00000108592.12 60 0.562267292418887 1.30403147398819e-48 1
