chr tissue gene peer beta p_value eGene
12 Esophagus_Mucosa ENSG00000197728.5 100 -1.02041994932969 3.07541254682608e-145 1
19 Esophagus_Mucosa ENSG00000174652.13 100 0.984085546215776 3.95102867454671e-140 1
5 Esophagus_Mucosa ENSG00000164308.12 100 1.0516165664051 1.48334411601721e-137 1
11 Esophagus_Mucosa ENSG00000166435.11 100 1.19152516602907 1.64501473419515e-135 1
9 Esophagus_Mucosa ENSG00000226752.3 100 -0.986522588995288 7.31447332067756e-129 1
6 Esophagus_Mucosa ENSG00000203875.6 100 0.960094075808315 4.8440742047885e-128 1
1 Esophagus_Mucosa ENSG00000236624.4 100 -1.09317370066475 2.9483745552532e-125 1
14 Esophagus_Mucosa ENSG00000258289.3 100 0.913338154543896 7.9878191661092e-122 1
8 Esophagus_Mucosa ENSG00000071894.10 100 -0.987990395737345 5.45622800796884e-118 1
12 Esophagus_Mucosa ENSG00000013573.12 100 -0.844592184247664 1.11964051135704e-116 1
22 Esophagus_Mucosa ENSG00000218537.1 100 1.06147162161434 1.56122426853908e-112 1
7 Esophagus_Mucosa ENSG00000121716.14 100 0.855968911586295 4.24889241137144e-112 1
22 Esophagus_Mucosa ENSG00000273295.1 100 0.948995176625532 5.0837754911452e-112 1
2 Esophagus_Mucosa ENSG00000204792.2 100 1.01791572314345 9.96620354647863e-112 1
17 Esophagus_Mucosa ENSG00000006282.15 100 -0.736703360556121 1.49841032374012e-108 1
17 Esophagus_Mucosa ENSG00000187624.7 100 1.13573584306574 2.15612509216313e-108 1
7 Esophagus_Mucosa ENSG00000229043.2 100 -0.939343761648097 4.63502328022056e-106 1
20 Esophagus_Mucosa ENSG00000214078.7 100 -1.23383361844347 1.47541264230152e-105 1
2 Esophagus_Mucosa ENSG00000035115.17 100 -0.957903684103941 8.1567984157146e-105 1
9 Esophagus_Mucosa ENSG00000159247.8 100 -0.95267254820309 2.08734181207583e-104 1
1 Esophagus_Mucosa ENSG00000084072.12 100 0.959072105257915 4.86976803073634e-104 1
1 Esophagus_Mucosa ENSG00000143452.11 100 1.01698330208926 8.10686619024015e-104 1
2 Esophagus_Mucosa ENSG00000197927.8 100 1.02835537694471 3.80997918951314e-103 1
6 Esophagus_Mucosa ENSG00000124587.9 100 0.787793225119033 4.07847352499522e-103 1
17 Esophagus_Mucosa ENSG00000214087.4 100 -1.34456995188275 4.74640700734021e-102 1
19 Esophagus_Mucosa ENSG00000176920.10 100 -0.626214478623763 1.68115551167432e-95 1
4 Esophagus_Mucosa ENSG00000163682.11 100 -0.761313682473823 5.38054392293298e-95 1
5 Esophagus_Mucosa ENSG00000164346.5 100 0.912921429507173 5.55336991066192e-95 1
2 Esophagus_Mucosa ENSG00000066248.10 100 0.729566560955752 1.60153544607574e-94 1
1 Esophagus_Mucosa ENSG00000117226.7 100 -0.923864916835681 1.78435874407134e-94 1
7 Esophagus_Mucosa ENSG00000226278.1 100 1.03021707449648 4.30516193909068e-94 1
11 Esophagus_Mucosa ENSG00000149084.7 100 -0.662942748359228 1.08351086291914e-92 1
11 Esophagus_Mucosa ENSG00000197345.8 100 -0.729325896849247 2.60115934319353e-92 1
19 Esophagus_Mucosa ENSG00000181240.9 100 -0.931370235538528 1.21606244971507e-91 1
22 Esophagus_Mucosa ENSG00000260065.1 100 0.960355449388954 1.7794899315467e-91 1
20 Esophagus_Mucosa ENSG00000196756.7 100 -0.92446799688612 6.27062135254285e-91 1
17 Esophagus_Mucosa ENSG00000198496.6 100 -0.850362775745197 7.88695760198576e-91 1
