chr tissue gene peer beta p_value eGene
12 Esophagus_Muscularis ENSG00000197728.5 100 -1.08709242839018 5.30276490269229e-145 1
12 Esophagus_Muscularis ENSG00000013573.12 100 -1.0257658866699 3.61446531126192e-142 1
5 Esophagus_Muscularis ENSG00000164308.12 100 0.970528064523919 3.26750214555298e-126 1
9 Esophagus_Muscularis ENSG00000226752.3 100 -1.0467879159446 4.13859586165231e-126 1
11 Esophagus_Muscularis ENSG00000166435.11 100 1.27271697279128 2.98545032250094e-125 1
19 Esophagus_Muscularis ENSG00000174652.13 100 0.911754401327942 3.95455247205145e-124 1
2 Esophagus_Muscularis ENSG00000204792.2 100 1.01645429665394 1.01211157455074e-115 1
1 Esophagus_Muscularis ENSG00000142856.12 100 1.14421044116317 5.3844641578549e-115 1
17 Esophagus_Muscularis ENSG00000154803.8 100 0.898048635437787 2.21740238840314e-113 1
17 Esophagus_Muscularis ENSG00000187624.7 100 1.07882033077147 8.75560136380166e-112 1
6 Esophagus_Muscularis ENSG00000203875.6 100 0.769253268659214 2.54332682004072e-110 1
22 Esophagus_Muscularis ENSG00000273295.1 100 1.00751934038829 1.27517364963994e-109 1
1 Esophagus_Muscularis ENSG00000218510.3 100 1.09762996324777 1.90696081578883e-109 1
1 Esophagus_Muscularis ENSG00000236624.4 100 -1.1777020648025 2.97212092326268e-109 1
22 Esophagus_Muscularis ENSG00000218537.1 100 1.05455104307546 1.28203702421069e-107 1
7 Esophagus_Muscularis ENSG00000229043.2 100 -0.974401661303376 3.35608374050282e-103 1
17 Esophagus_Muscularis ENSG00000198496.6 100 -1.09326924297816 8.3985875816662e-103 1
16 Esophagus_Muscularis ENSG00000234719.4 100 -1.06897744815237 6.90286497286435e-101 1
15 Esophagus_Muscularis ENSG00000140400.10 100 0.636143728626784 7.47157809900912e-101 1
11 Esophagus_Muscularis ENSG00000177236.3 100 -0.921463356334253 1.87379055407958e-100 1
17 Esophagus_Muscularis ENSG00000204650.9 100 1.00040058911096 1.45247527945942e-99 1
19 Esophagus_Muscularis ENSG00000226686.3 100 -1.05800378475308 7.83624934263674e-99 1
7 Esophagus_Muscularis ENSG00000226824.2 100 1.04347126540973 1.33976317997072e-98 1
7 Esophagus_Muscularis ENSG00000226278.1 100 1.01658901559667 1.34988873429587e-97 1
12 Esophagus_Muscularis ENSG00000166896.3 100 -0.949973170158886 5.21642069335661e-96 1
12 Esophagus_Muscularis ENSG00000180481.6 100 -0.980144985992984 2.27716637264239e-94 1
6 Esophagus_Muscularis ENSG00000112031.11 100 -0.826390248645768 3.1205257528266e-94 1
15 Esophagus_Muscularis ENSG00000270127.1 100 -0.931836541725311 9.86342302484752e-94 1
3 Esophagus_Muscularis ENSG00000163576.13 100 1.00716585968609 2.61652609315502e-93 1
12 Esophagus_Muscularis ENSG00000111788.9 100 -0.933737880013533 1.44433373520563e-92 1
19 Esophagus_Muscularis ENSG00000181240.9 100 -0.864372375489981 1.57610887104648e-92 1
11 Esophagus_Muscularis ENSG00000197345.8 100 -0.72640010200599 2.25828042992169e-91 1
17 Esophagus_Muscularis ENSG00000141560.10 100 -0.872499565260712 3.80445169538531e-91 1
2 Esophagus_Muscularis ENSG00000234171.1 100 -0.985455948176527 4.71436747917522e-91 1
