chr tissue gene peer beta p_value eGene
12 Heart_Atrial_Appendage ENSG00000013573.12 100 -1.06290953492015 8.79095664503707e-114 1
11 Heart_Atrial_Appendage ENSG00000166435.11 100 1.20163885238254 6.51684036345881e-101 1
12 Heart_Atrial_Appendage ENSG00000197728.5 100 -1.01321655489082 3.00738314317076e-98 1
2 Heart_Atrial_Appendage ENSG00000204792.2 100 1.10782836014248 9.4615931827267e-92 1
9 Heart_Atrial_Appendage ENSG00000226752.3 100 -0.9679959018847 3.90922912331825e-91 1
5 Heart_Atrial_Appendage ENSG00000164308.12 100 1.01317885333656 1.41781200456815e-87 1
19 Heart_Atrial_Appendage ENSG00000174652.13 100 0.848210645900342 1.65810309179428e-85 1
1 Heart_Atrial_Appendage ENSG00000218510.3 100 1.03788486831595 5.4554262443014e-84 1
6 Heart_Atrial_Appendage ENSG00000203875.6 100 0.801416023075784 2.03485147512451e-80 1
16 Heart_Atrial_Appendage ENSG00000059122.12 100 0.883932163886672 4.78206898168499e-79 1
1 Heart_Atrial_Appendage ENSG00000203666.8 100 -0.891051501840845 5.22895278911325e-79 1
6 Heart_Atrial_Appendage ENSG00000204644.5 100 1.14532448917392 4.74356662331153e-77 1
9 Heart_Atrial_Appendage ENSG00000225434.2 100 1.09117082208421 5.15981785949342e-77 1
12 Heart_Atrial_Appendage ENSG00000139192.7 100 0.864394344805886 3.27130220776344e-76 1
19 Heart_Atrial_Appendage ENSG00000226686.3 100 1.11226607551972 1.76982488103543e-75 1
17 Heart_Atrial_Appendage ENSG00000187624.7 100 0.974031032954475 9.56050395855306e-75 1
22 Heart_Atrial_Appendage ENSG00000273295.1 100 1.01125708666299 4.52717435596842e-74 1
17 Heart_Atrial_Appendage ENSG00000198496.6 100 -0.971143222053992 1.76617704812193e-73 1
22 Heart_Atrial_Appendage ENSG00000100376.7 100 1.3872330585 7.72582626706632e-73 1
20 Heart_Atrial_Appendage ENSG00000214078.7 100 -0.930908688302951 1.27396953750942e-72 1
9 Heart_Atrial_Appendage ENSG00000106733.16 100 -0.821787808777385 6.42276540640594e-72 1
7 Heart_Atrial_Appendage ENSG00000229043.2 100 -0.909081614334849 1.0995190499499e-71 1
14 Heart_Atrial_Appendage ENSG00000258602.1 100 -1.08053991096157 1.27445121576668e-71 1
1 Heart_Atrial_Appendage ENSG00000142856.12 100 1.13570903488031 2.08265882443904e-71 1
2 Heart_Atrial_Appendage ENSG00000234171.1 100 -0.968719220047357 5.77633376327945e-70 1
12 Heart_Atrial_Appendage ENSG00000180481.6 100 -0.830310028411688 7.67493770813834e-69 1
1 Heart_Atrial_Appendage ENSG00000117226.7 100 -0.826812986379637 7.8235482551997e-69 1
7 Heart_Atrial_Appendage ENSG00000226278.1 100 1.0579709151876 9.28841856006352e-69 1
22 Heart_Atrial_Appendage ENSG00000218537.1 100 1.04306805979103 5.75374110596759e-68 1
1 Heart_Atrial_Appendage ENSG00000198468.3 100 0.890360952132242 2.25337754416722e-67 1
7 Heart_Atrial_Appendage ENSG00000121716.14 100 0.820126519741178 5.3013546979061e-67 1
16 Heart_Atrial_Appendage ENSG00000234719.4 100 -1.0104968795552 5.37554949522543e-67 1
4 Heart_Atrial_Appendage ENSG00000156096.8 100 -1.01236595953947 8.66130411241369e-67 1
8 Heart_Atrial_Appendage ENSG00000071894.10 100 -0.803756876186956 3.04433796375108e-66 1
17 Heart_Atrial_Appendage ENSG00000214401.4 100 1.09617431797102 3.212328465219e-66 1
11 Heart_Atrial_Appendage ENSG00000254614.1 100 -0.897370605707733 5.65675836953119e-66 1
17 Heart_Atrial_Appendage ENSG00000204650.9 100 0.829318670394205 9.37448413899134e-66 1
5 Heart_Atrial_Appendage ENSG00000248275.1 100 -0.818629820405994 1.7337510604056e-65 1
7 Heart_Atrial_Appendage ENSG00000271529.1 100 0.888593484278091 2.58455267622215e-65 1
17 Heart_Atrial_Appendage ENSG00000263503.1 100 1.34165063087518 3.2050697342161e-65 1
11 Heart_Atrial_Appendage ENSG00000177236.3 100 -0.905111206307726 8.58322659657474e-65 1
12 Heart_Atrial_Appendage ENSG00000166896.3 100 -0.791243566287942 9.13097162388603e-65 1
1 Heart_Atrial_Appendage ENSG00000272668.1 100 0.705134613719983 1.15299408171613e-64 1
14 Heart_Atrial_Appendage ENSG00000243225.2 100 -1.01752763937339 2.23028403787858e-64 1
1 Heart_Atrial_Appendage ENSG00000134202.6 100 0.762481470277671 3.29490283027207e-64 1
17 Heart_Atrial_Appendage ENSG00000214425.2 100 -1.05206075820455 1.28462644195054e-63 1
5 Heart_Atrial_Appendage ENSG00000188002.6 100 -1.12861037119538 2.77379368025061e-63 1
17 Heart_Atrial_Appendage ENSG00000262539.1 100 1.15450980501278 2.81627778901896e-63 1
17 Heart_Atrial_Appendage ENSG00000154803.8 100 0.806988316576571 3.82996774563105e-63 1
2 Heart_Atrial_Appendage ENSG00000236682.1 100 -1.1545820730153 6.48814342751494e-63 1
12 Heart_Atrial_Appendage ENSG00000110871.10 100 0.794738781345085 1.07636799208403e-62 1
7 Heart_Atrial_Appendage ENSG00000230715.2 100 0.635343484410882 1.34802192811809e-62 1
5 Heart_Atrial_Appendage ENSG00000164346.5 100 1.12475793989875 1.70325181387433e-62 1
1 Heart_Atrial_Appendage ENSG00000187010.14 100 -1.05301374194234 1.70776366692094e-62 1
17 Heart_Atrial_Appendage ENSG00000233327.6 100 0.925338041070557 4.92056135593064e-62 1
22 Heart_Atrial_Appendage ENSG00000093072.11 100 0.853150919722013 5.85797987003641e-62 1
19 Heart_Atrial_Appendage ENSG00000267594.5 100 -0.96510660807118 2.50753816403052e-61 1
8 Heart_Atrial_Appendage ENSG00000221947.3 100 0.946323952746407 7.67898063428589e-61 1
5 Heart_Atrial_Appendage ENSG00000253404.1 100 -0.989988472807161 1.70785519525111e-60 1
17 Heart_Atrial_Appendage ENSG00000006282.15 100 -0.72679216591896 2.76124350494407e-60 1
6 Heart_Atrial_Appendage ENSG00000130348.7 100 -0.673158154669767 3.23814013906396e-60 1
19 Heart_Atrial_Appendage ENSG00000261770.1 100 -1.25042093716538 5.42055159444882e-60 1
7 Heart_Atrial_Appendage ENSG00000242294.2 100 0.972605093184644 6.75677736816004e-60 1
2 Heart_Atrial_Appendage ENSG00000231013.1 100 1.09996956746759 1.15715176614949e-59 1
11 Heart_Atrial_Appendage ENSG00000254851.1 100 -1.19473270287086 2.22635461643943e-59 1
2 Heart_Atrial_Appendage ENSG00000240344.4 100 -0.906207074797007 3.36689142905121e-59 1
17 Heart_Atrial_Appendage ENSG00000273018.1 100 0.961103044589987 5.865831320457e-59 1
22 Heart_Atrial_Appendage ENSG00000224086.3 100 -0.750977535215317 9.49812899022974e-59 1
19 Heart_Atrial_Appendage ENSG00000105193.4 100 0.600827719992344 1.28972859783471e-58 1
6 Heart_Atrial_Appendage ENSG00000124587.9 100 0.605077298598243 1.49765457339727e-58 1
1 Heart_Atrial_Appendage ENSG00000189266.7 100 -0.780910249134693 2.11355128033378e-58 1
15 Heart_Atrial_Appendage ENSG00000270127.1 100 -0.895495732559835 2.22856282519968e-58 1
1 Heart_Atrial_Appendage ENSG00000117640.13 100 0.557298162136722 3.51429983673149e-58 1
15 Heart_Atrial_Appendage ENSG00000128944.9 100 1.22712726271175 3.69945967577293e-58 1
9 Heart_Atrial_Appendage ENSG00000136824.14 100 -0.507657964475211 1.21407358481266e-57 1
6 Heart_Atrial_Appendage ENSG00000198502.5 100 -1.27337659652773 2.37675301193119e-57 1
22 Heart_Atrial_Appendage ENSG00000184674.8 100 -0.991182501688489 3.76521549129634e-57 1
7 Heart_Atrial_Appendage ENSG00000244239.1 100 0.754339204209581 1.77338262414709e-56 1
1 Heart_Atrial_Appendage ENSG00000117748.5 100 1.37742803629849 2.69778612906677e-56 1
10 Heart_Atrial_Appendage ENSG00000228701.1 100 -0.958357951191123 2.96546585874811e-56 1
1 Heart_Atrial_Appendage ENSG00000142794.14 100 -0.812973967734748 3.32143762127282e-56 1
15 Heart_Atrial_Appendage ENSG00000244879.3 100 0.794596068227107 3.44816254421049e-56 1
22 Heart_Atrial_Appendage ENSG00000099984.6 100 -1.02330144663126 3.51657620655122e-56 1
4 Heart_Atrial_Appendage ENSG00000248429.1 100 0.822083931802339 6.79597442241355e-56 1
7 Heart_Atrial_Appendage ENSG00000188372.10 100 1.09140421721137 2.28543078735043e-55 1
3 Heart_Atrial_Appendage ENSG00000163684.7 100 -0.603729864107056 2.31285880997166e-55 1
11 Heart_Atrial_Appendage ENSG00000246174.3 100 -0.825439416952839 3.26885541939381e-55 1
6 Heart_Atrial_Appendage ENSG00000231760.2 100 0.953861000354452 5.39151866333358e-55 1
10 Heart_Atrial_Appendage ENSG00000165985.8 100 0.782497933765034 7.35457932262931e-55 1
6 Heart_Atrial_Appendage ENSG00000270346.1 100 0.76690425880614 7.47249209518919e-55 1
6 Heart_Atrial_Appendage ENSG00000112031.11 100 -0.697858743168571 1.07911332737725e-54 1
17 Heart_Atrial_Appendage ENSG00000264070.1 100 1.43988811763467 1.27841247190206e-54 1
13 Heart_Atrial_Appendage ENSG00000120669.11 100 1.01791218762613 1.84699732003212e-54 1
2 Heart_Atrial_Appendage ENSG00000226124.2 100 -0.839290676039206 1.98041603242801e-54 1
7 Heart_Atrial_Appendage ENSG00000165171.6 100 -0.981488962841539 3.01387506962866e-54 1
2 Heart_Atrial_Appendage ENSG00000236397.2 100 0.975813490528422 4.88884467040839e-54 1
16 Heart_Atrial_Appendage ENSG00000223496.1 100 -0.735622240522821 6.36177304044839e-54 1
8 Heart_Atrial_Appendage ENSG00000176209.7 100 -0.634006175167488 6.39967359464225e-54 1
4 Heart_Atrial_Appendage ENSG00000145384.3 100 1.06606606873525 6.83512368773005e-54 1
6 Heart_Atrial_Appendage ENSG00000179344.12 100 -0.883361611816102 9.57183921452841e-54 1
16 Heart_Atrial_Appendage ENSG00000103550.9 100 0.974371834588006 1.22793435906119e-53 1
14 Heart_Atrial_Appendage ENSG00000258289.3 100 0.617290100819302 1.43042275295573e-53 1
14 Heart_Atrial_Appendage ENSG00000125375.10 100 -0.601273385209121 2.7101933337347e-53 1
20 Heart_Atrial_Appendage ENSG00000228812.3 100 0.774060860540424 4.3061373165103e-53 1
17 Heart_Atrial_Appendage ENSG00000170291.10 100 -0.684842802459376 5.54797191745558e-53 1
7 Heart_Atrial_Appendage ENSG00000234585.2 100 0.723076040164627 5.78887405811079e-53 1
1 Heart_Atrial_Appendage ENSG00000189339.7 100 -0.704830604928217 1.00217851597985e-52 1
19 Heart_Atrial_Appendage ENSG00000065268.6 100 1.13483974880864 1.52255004462778e-52 1
15 Heart_Atrial_Appendage ENSG00000259520.1 100 0.820174450346419 1.65580256591644e-52 1
19 Heart_Atrial_Appendage ENSG00000197020.6 100 -0.790495364903583 2.15094039264539e-52 1
3 Heart_Atrial_Appendage ENSG00000163576.13 100 0.937507677634343 3.23652413354056e-52 1
2 Heart_Atrial_Appendage ENSG00000162994.11 100 1.09195932139422 3.40252403480009e-52 1
12 Heart_Atrial_Appendage ENSG00000177406.4 100 0.932922724617432 3.80671793251362e-52 1
2 Heart_Atrial_Appendage ENSG00000152117.13 100 -0.664218138088776 6.09869546372674e-52 1
2 Heart_Atrial_Appendage ENSG00000144488.10 100 0.824682604824738 6.53240552736566e-52 1
11 Heart_Atrial_Appendage ENSG00000149084.7 100 -0.717885546333263 7.31405992345834e-52 1
14 Heart_Atrial_Appendage ENSG00000092094.6 100 0.626909454256323 8.67807382751467e-52 1
15 Heart_Atrial_Appendage ENSG00000090487.6 100 0.64146323040241 1.08663749533487e-51 1
7 Heart_Atrial_Appendage ENSG00000226824.2 100 -0.897357385300484 2.53532277169887e-51 1
11 Heart_Atrial_Appendage ENSG00000020922.8 100 0.801801381403031 2.55241674992727e-51 1
5 Heart_Atrial_Appendage ENSG00000205464.7 100 -0.76524954430771 4.89823676498606e-51 1
20 Heart_Atrial_Appendage ENSG00000196756.7 100 -0.682397436688165 5.05080133656425e-51 1
6 Heart_Atrial_Appendage ENSG00000216901.1 100 0.79660511639235 5.05900891599685e-51 1
6 Heart_Atrial_Appendage ENSG00000186470.9 100 -1.04717538021731 1.1758749972846e-50 1
17 Heart_Atrial_Appendage ENSG00000238083.3 100 0.910508427686692 1.28985580211551e-50 1
1 Heart_Atrial_Appendage ENSG00000223745.3 100 0.682707003977132 1.39101813023957e-50 1
2 Heart_Atrial_Appendage ENSG00000169629.7 100 -1.00536564514438 1.52806442319243e-50 1
6 Heart_Atrial_Appendage ENSG00000204525.10 100 -0.668543585339706 1.88478351050519e-50 1
1 Heart_Atrial_Appendage ENSG00000116157.5 100 -0.694039884388621 2.03524982938525e-50 1
10 Heart_Atrial_Appendage ENSG00000232229.1 100 1.36341339255649 2.49877320933839e-50 1
