chr tissue gene peer beta p_value eGene
12 Heart_Left_Ventricle ENSG00000013573.12 70 -1.04053562954623 4.50940998471866e-110 1
11 Heart_Left_Ventricle ENSG00000166435.11 70 1.30003756421207 6.54250556276078e-99 1
5 Heart_Left_Ventricle ENSG00000164308.12 70 0.930207710603069 9.21183333072573e-91 1
2 Heart_Left_Ventricle ENSG00000204792.2 70 0.970465671826216 2.50943237440053e-86 1
6 Heart_Left_Ventricle ENSG00000203875.6 70 0.938023003608811 1.24805175224585e-84 1
12 Heart_Left_Ventricle ENSG00000197728.5 70 -0.859511484844624 4.90441329563577e-84 1
1 Heart_Left_Ventricle ENSG00000218510.3 70 1.16648694280227 5.14340505641133e-84 1
19 Heart_Left_Ventricle ENSG00000174652.13 70 0.764903995655036 1.77041178496963e-80 1
5 Heart_Left_Ventricle ENSG00000164346.5 70 0.999686860718512 5.8274822769438e-79 1
9 Heart_Left_Ventricle ENSG00000226752.3 70 -0.970817936516097 8.51015485428919e-79 1
22 Heart_Left_Ventricle ENSG00000273295.1 70 0.99679083383014 9.38446072429155e-77 1
19 Heart_Left_Ventricle ENSG00000226686.3 70 1.06353780305249 7.74806168873315e-74 1
17 Heart_Left_Ventricle ENSG00000187624.7 70 1.00054490314536 1.76517462503524e-72 1
17 Heart_Left_Ventricle ENSG00000263503.1 70 1.40067010087496 2.75211548576224e-72 1
8 Heart_Left_Ventricle ENSG00000071894.10 70 -0.872427308935854 4.42428783706741e-72 1
1 Heart_Left_Ventricle ENSG00000236624.4 70 -1.06372281308364 8.57552030820367e-72 1
7 Heart_Left_Ventricle ENSG00000121716.14 70 0.690331070917859 7.75278012418802e-71 1
22 Heart_Left_Ventricle ENSG00000093072.11 70 0.910317484945749 2.2906264644754e-70 1
9 Heart_Left_Ventricle ENSG00000106733.16 70 -0.850704869604995 2.88844624643202e-70 1
16 Heart_Left_Ventricle ENSG00000234719.4 70 -0.969935708703866 4.22756619778492e-69 1
1 Heart_Left_Ventricle ENSG00000189266.7 70 -0.829984467114826 2.31176407038918e-68 1
5 Heart_Left_Ventricle ENSG00000248275.1 70 -0.794957054933526 2.74570167145496e-68 1
19 Heart_Left_Ventricle ENSG00000105193.4 70 0.621059077019138 3.27922229897697e-68 1
7 Heart_Left_Ventricle ENSG00000226278.1 70 0.971140159881037 4.06698073005347e-68 1
6 Heart_Left_Ventricle ENSG00000198502.5 70 -1.30174224957029 5.20811872451883e-68 1
11 Heart_Left_Ventricle ENSG00000254614.1 70 -0.873499005476011 9.25003704372028e-68 1
1 Heart_Left_Ventricle ENSG00000198468.3 70 0.928347065611985 9.42777451127691e-68 1
6 Heart_Left_Ventricle ENSG00000204644.5 70 1.09788734177675 3.31399041730823e-67 1
12 Heart_Left_Ventricle ENSG00000166896.3 70 -0.926818990425698 1.09576894224552e-66 1
22 Heart_Left_Ventricle ENSG00000100376.7 70 -1.3594399074741 7.82034025094358e-66 1
16 Heart_Left_Ventricle ENSG00000059122.12 70 0.734371052798413 8.34935456009843e-66 1
17 Heart_Left_Ventricle ENSG00000262539.1 70 1.42625120617437 1.2546008394385e-65 1
12 Heart_Left_Ventricle ENSG00000172322.9 70 1.12754794086374 1.98934617058447e-65 1
10 Heart_Left_Ventricle ENSG00000228701.1 70 -0.876330467710338 6.58257911701342e-65 1
1 Heart_Left_Ventricle ENSG00000117640.13 70 0.55672978581558 2.82146048665412e-64 1
1 Heart_Left_Ventricle ENSG00000203666.8 70 -0.829126762442915 4.46498366158565e-64 1
12 Heart_Left_Ventricle ENSG00000139192.7 70 0.860061934990111 4.79957565836848e-64 1
9 Heart_Left_Ventricle ENSG00000225434.2 70 1.01253432041125 5.16515487461971e-64 1
15 Heart_Left_Ventricle ENSG00000258676.3 70 -0.920986058697487 8.41715016842242e-64 1
1 Heart_Left_Ventricle ENSG00000142856.12 70 -1.10101847754511 1.26837045829566e-63 1
6 Heart_Left_Ventricle ENSG00000179344.12 70 -0.94492491617344 1.42499542658226e-63 1
22 Heart_Left_Ventricle ENSG00000218537.1 70 0.983462086308357 2.24486616603221e-63 1
17 Heart_Left_Ventricle ENSG00000198496.6 70 -0.867177326593417 3.76220201776636e-63 1
6 Heart_Left_Ventricle ENSG00000124587.9 70 0.692205192425422 5.32802832364075e-63 1
3 Heart_Left_Ventricle ENSG00000241186.3 70 1.19658690258387 2.5739119833258e-62 1
9 Heart_Left_Ventricle ENSG00000204136.6 70 0.861551161588918 2.66576561735445e-62 1
5 Heart_Left_Ventricle ENSG00000225138.3 70 1.00618713799422 2.8442943191572e-62 1
2 Heart_Left_Ventricle ENSG00000236682.1 70 -1.12971078224937 4.67330356175764e-62 1
17 Heart_Left_Ventricle ENSG00000214401.4 70 1.39869727047564 8.48813776609624e-62 1
12 Heart_Left_Ventricle ENSG00000110871.10 70 0.583313312947551 1.03232011286938e-61 1
10 Heart_Left_Ventricle ENSG00000165985.8 70 0.891956837569459 4.89885115929466e-61 1
1 Heart_Left_Ventricle ENSG00000117748.5 70 1.24444910285419 2.35746086380971e-60 1
7 Heart_Left_Ventricle ENSG00000164543.5 70 -0.502276400421962 1.0508236067448e-59 1
5 Heart_Left_Ventricle ENSG00000188002.6 70 -1.03990382285465 3.34481279292416e-59 1
17 Heart_Left_Ventricle ENSG00000214425.2 70 -1.04415649982071 1.06931212758148e-58 1
20 Heart_Left_Ventricle ENSG00000196756.7 70 -0.698405806125429 1.08134028870243e-58 1
7 Heart_Left_Ventricle ENSG00000229043.2 70 -0.895289876630298 1.43561710156103e-58 1
20 Heart_Left_Ventricle ENSG00000214078.7 70 -0.878284914111589 3.39805475090365e-58 1
2 Heart_Left_Ventricle ENSG00000234171.1 70 -0.925615563405747 7.21614259895633e-58 1
17 Heart_Left_Ventricle ENSG00000154803.8 70 0.723586093737504 9.17505888988397e-58 1
7 Heart_Left_Ventricle ENSG00000085514.11 70 1.09610268202355 1.182077049004e-57 1
4 Heart_Left_Ventricle ENSG00000145384.3 70 1.13139265169608 1.47935250856256e-57 1
22 Heart_Left_Ventricle ENSG00000224086.3 70 -0.789229492593825 4.95500234021537e-57 1
2 Heart_Left_Ventricle ENSG00000144115.12 70 1.00196039307632 5.34527494200455e-57 1
3 Heart_Left_Ventricle ENSG00000163684.7 70 -0.554013323391923 6.91555987711248e-57 1
17 Heart_Left_Ventricle ENSG00000006282.15 70 -0.624997347352887 6.92300679427916e-57 1
6 Heart_Left_Ventricle ENSG00000272221.1 70 -1.02513168899727 1.11165744766027e-56 1
10 Heart_Left_Ventricle ENSG00000052749.9 70 0.5101909561095 1.25488510784592e-56 1
6 Heart_Left_Ventricle ENSG00000204525.10 70 -0.63142465488181 2.41079605143045e-56 1
7 Heart_Left_Ventricle ENSG00000227182.1 70 -0.979385237845054 2.72299894376778e-56 1
19 Heart_Left_Ventricle ENSG00000267594.5 70 -0.933274175469944 5.66107615135044e-56 1
6 Heart_Left_Ventricle ENSG00000079841.14 70 0.89649482442354 5.68020864730118e-56 1
22 Heart_Left_Ventricle ENSG00000260065.1 70 0.681690098441111 5.79165721138831e-56 1
17 Heart_Left_Ventricle ENSG00000204650.9 70 0.939991803554825 7.08795063760978e-56 1
19 Heart_Left_Ventricle ENSG00000065268.6 70 1.12803566811316 7.34071938207967e-56 1
11 Heart_Left_Ventricle ENSG00000177236.3 70 -0.87497965739058 7.98000327945567e-56 1
2 Heart_Left_Ventricle ENSG00000236397.2 70 0.978125568440739 1.07268440214674e-55 1
21 Heart_Left_Ventricle ENSG00000184385.2 70 0.971943853019765 1.1161891804195e-55 1
4 Heart_Left_Ventricle ENSG00000163682.11 70 -0.599117624143464 2.01242469475458e-55 1
14 Heart_Left_Ventricle ENSG00000258289.3 70 0.428148852234955 2.26711769167465e-55 1
1 Heart_Left_Ventricle ENSG00000162877.8 70 -0.940478489328588 3.52896690549565e-55 1
17 Heart_Left_Ventricle ENSG00000233327.6 70 -0.898422696865931 5.28829080595179e-55 1
5 Heart_Left_Ventricle ENSG00000205464.7 70 -0.742681182058119 2.53194265762343e-54 1
