chr tissue gene peer beta p_value eGene
1 Liver ENSG00000198890.6 40 -1.05948863844541 5.07533164972432e-56 1
5 Liver ENSG00000164308.12 40 -1.079839912375 6.55390084520497e-56 1
12 Liver ENSG00000013573.12 40 -0.972038837619342 9.36419489882808e-52 1
22 Liver ENSG00000099977.9 40 -0.863429634334213 9.5728200181545e-51 1
8 Liver ENSG00000221947.3 40 1.03383277037767 2.16824825647255e-50 1
11 Liver ENSG00000166435.11 40 1.07323874182496 1.35963481020204e-49 1
6 Liver ENSG00000203875.6 40 1.0109240103668 1.22033964391423e-48 1
2 Liver ENSG00000204792.2 40 0.989913700206108 2.90208317870521e-47 1
12 Liver ENSG00000197728.5 40 -0.94582509117584 5.30483329340288e-46 1
12 Liver ENSG00000111788.9 40 -1.06232552051991 7.56637731373212e-46 1
17 Liver ENSG00000263503.1 40 1.39358396914075 3.8255889988468e-45 1
17 Liver ENSG00000262539.1 40 1.10040932146469 1.06185535212666e-43 1
8 Liver ENSG00000071894.10 40 -0.932622259204758 1.68791244752764e-43 1
7 Liver ENSG00000003147.13 40 1.06245516530297 2.46880514471087e-42 1
22 Liver ENSG00000099974.7 40 -0.802631169884588 6.97170132731217e-42 1
1 Liver ENSG00000134243.7 40 1.03183773802919 1.12355175428745e-41 1
1 Liver ENSG00000142856.12 40 0.983560253509195 1.38703111518231e-41 1
7 Liver ENSG00000204876.4 40 1.04498482119042 8.65139275355552e-41 1
2 Liver ENSG00000236682.1 40 -1.11217366560707 2.65281663510087e-40 1
17 Liver ENSG00000214401.4 40 1.40162341998739 2.73788465385883e-40 1
8 Liver ENSG00000254859.1 40 -0.919306152599487 2.63257248264363e-39 1
12 Liver ENSG00000239335.4 40 -0.996821407286178 4.45791081024144e-39 1
22 Liver ENSG00000272787.1 40 -0.96275934813785 6.03601965469675e-39 1
9 Liver ENSG00000237869.2 40 -1.19710991471913 3.24161861717562e-38 1
9 Liver ENSG00000160447.6 40 1.49537553109299 3.54582504622047e-38 1
19 Liver ENSG00000174652.13 40 0.724916078365496 5.45083581402781e-38 1
1 Liver ENSG00000244414.2 40 -0.935935987609309 2.72863873334821e-37 1
2 Liver ENSG00000236397.2 40 0.913090378199104 4.20434583135346e-37 1
9 Liver ENSG00000226752.3 40 -0.790797971361717 6.42401615326812e-37 1
22 Liver ENSG00000225282.1 40 0.899114498815237 1.21634229914952e-36 1
22 Liver ENSG00000273295.1 40 0.94385231761499 1.5922194448041e-36 1
22 Liver ENSG00000228050.1 40 1.0395598785325 1.7948490904836e-36 1
6 Liver ENSG00000198502.5 40 -1.24882809270471 2.20274691412084e-36 1
1 Liver ENSG00000189266.7 40 -0.887294539868898 2.49835594785065e-36 1
17 Liver ENSG00000264070.1 40 1.50758342563134 4.51414928379377e-36 1
12 Liver ENSG00000258343.1 40 -1.22990134534098 5.05719444672176e-36 1
7 Liver ENSG00000002726.15 40 0.967619371275304 5.85674759317597e-36 1
6 Liver ENSG00000204644.5 40 1.01653533958462 7.68578701684259e-36 1
4 Liver ENSG00000251129.1 40 -0.95423710709077 9.7457579842981e-36 1
6 Liver ENSG00000204525.10 40 -0.775524991355038 1.00568218020737e-35 1
3 Liver ENSG00000227124.4 40 1.25097036064953 1.2278823430756e-35 1
17 Liver ENSG00000212719.6 40 -0.877497366334006 1.26752601763682e-35 1
18 Liver ENSG00000134278.10 40 0.853736911529921 2.63104828131829e-35 1
16 Liver ENSG00000180185.7 40 -1.10220709705933 6.69414310617648e-35 1
21 Liver ENSG00000142197.8 40 0.91384049389912 8.1322586145576e-35 1
19 Liver ENSG00000105677.7 40 0.505926853704338 1.26407807301727e-34 1
18 Liver ENSG00000101639.14 40 -0.963416520141366 1.47436530646818e-34 1
1 Liver ENSG00000198468.3 40 0.86108285755631 1.97412498660095e-34 1
17 Liver ENSG00000187624.7 40 1.02127232023438 3.08121622155868e-34 1
15 Liver ENSG00000270127.1 40 -0.854915115042164 3.9160632980096e-34 1
1 Liver ENSG00000142632.12 40 -0.897252448280897 6.44223366976903e-34 1
16 Liver ENSG00000167397.10 40 -0.908987954320401 8.46581896606258e-34 1
22 Liver ENSG00000218537.1 40 0.957046485211629 1.20246322209084e-33 1
16 Liver ENSG00000059122.12 40 0.801449692388594 1.30046713842942e-33 1
10 Liver ENSG00000231345.3 40 -0.967245559830456 1.62087557440556e-33 1
7 Liver ENSG00000085514.11 40 1.12693855672319 1.67363332702214e-33 1
1 Liver ENSG00000134222.12 40 1.08908488758535 1.81832883441982e-33 1
6 Liver ENSG00000234155.1 40 -0.822812663885371 2.19551901836872e-33 1
1 Liver ENSG00000116157.5 40 0.755798122192633 2.40507512633834e-33 1
8 Liver ENSG00000014164.6 40 -0.907142301917463 2.72169177008078e-33 1
11 Liver ENSG00000255798.1 40 1.12453595889299 4.31265013536173e-33 1
6 Liver ENSG00000146147.10 40 0.860769017536601 4.41714430896121e-33 1
7 Liver ENSG00000226824.2 40 -0.871780873728397 7.00797621512366e-33 1
1 Liver ENSG00000236624.4 40 -0.835979755667513 1.83275101897148e-32 1
7 Liver ENSG00000229043.2 40 -0.638077092048496 2.94988111723986e-32 1
11 Liver ENSG00000124920.9 40 -0.719265971450516 3.25594595120879e-32 1
22 Liver ENSG00000184674.8 40 -1.06053293637647 4.17556475065571e-32 1
19 Liver ENSG00000259108.2 40 -0.914607972563255 4.77672908413104e-32 1
18 Liver ENSG00000263006.2 40 1.12105357553066 6.98919664089402e-32 1
13 Liver ENSG00000120675.4 40 -0.858005610950611 8.30273866693934e-32 1
10 Liver ENSG00000165985.8 40 0.946430840077543 8.3725314918903e-32 1
7 Liver ENSG00000226278.1 40 1.03413146460558 1.06661056840062e-31 1
19 Liver ENSG00000186230.6 40 0.854709766105028 1.62364174091727e-31 1
7 Liver ENSG00000106610.10 40 -0.923954333886004 2.47088213215712e-31 1
1 Liver ENSG00000153904.14 40 -0.684726034366564 2.58862381973788e-31 1
8 Liver ENSG00000253301.1 40 1.2746336523872 2.62871301087974e-31 1
17 Liver ENSG00000214087.4 40 -0.898332050078592 2.76400455297491e-31 1
2 Liver ENSG00000144115.12 40 0.83895979250053 3.72743090306311e-31 1
17 Liver ENSG00000214425.2 40 -1.00265082794195 5.10177633928972e-31 1
6 Liver ENSG00000235142.3 40 0.911645023627597 1.13628670909714e-30 1
6 Liver ENSG00000237541.3 40 0.957175269288723 1.55978983524115e-30 1
7 Liver ENSG00000254184.3 40 1.09228315375092 2.10747413265153e-30 1
7 Liver ENSG00000244239.1 40 0.922425589699744 2.20047751006438e-30 1
22 Liver ENSG00000260065.1 40 0.775983190850788 2.5895944970462e-30 1
11 Liver ENSG00000110074.6 40 0.675268942343958 2.66442199255073e-30 1
22 Liver ENSG00000099984.6 40 -0.911958239989127 2.67845319502706e-30 1
6 Liver ENSG00000112139.10 40 -0.868159317889907 4.34037474424248e-30 1
2 Liver ENSG00000234171.1 40 -0.936753517360234 4.45211684503007e-30 1
12 Liver ENSG00000247157.2 40 -0.712201296784634 5.37121130243544e-30 1
7 Liver ENSG00000227719.1 40 0.931539703812469 1.31125058322816e-29 1
15 Liver ENSG00000198794.7 40 1.24302885429862 1.52695203909059e-29 1
15 Liver ENSG00000260776.1 40 1.00728935611493 1.9169369782237e-29 1
15 Liver ENSG00000157823.12 40 -0.690976924998051 2.57390175569873e-29 1
16 Liver ENSG00000261613.2 40 1.10619982201868 2.68048182376684e-29 1
14 Liver ENSG00000054983.12 40 1.15598642147907 2.6834563109196e-29 1
11 Liver ENSG00000020922.8 40 0.795715608621474 2.79452681065272e-29 1
1 Liver ENSG00000189339.7 40 -0.822640574316601 3.46297601338031e-29 1
