chr tissue gene peer beta p_value eGene
12 Lung ENSG00000197728.5 100 -0.977328331582529 2.63870444448185e-148 1
5 Lung ENSG00000164308.12 100 1.10848621751574 1.237357626557e-145 1
12 Lung ENSG00000013573.12 100 -0.945570201201682 2.45169354322573e-135 1
17 Lung ENSG00000006282.15 100 -0.831077658166276 3.03503138280072e-135 1
11 Lung ENSG00000166435.11 100 1.15404140437899 4.55631603368479e-134 1
9 Lung ENSG00000226752.3 100 -0.937129652565058 4.38469058485125e-131 1
19 Lung ENSG00000174652.13 100 0.850157403081153 1.09255442617637e-127 1
22 Lung ENSG00000218537.1 100 1.08350255795956 1.23931256954812e-120 1
22 Lung ENSG00000273295.1 100 1.00858627510195 1.59635471852533e-120 1
8 Lung ENSG00000071894.10 100 -0.917359000535742 7.41629043727399e-120 1
7 Lung ENSG00000121716.14 100 0.847306020898201 5.72646776442954e-118 1
1 Lung ENSG00000236624.4 100 -1.12023322292306 1.19583740386484e-116 1
22 Lung ENSG00000100376.7 100 -1.42652807946594 3.81092764245337e-115 1
14 Lung ENSG00000258289.3 100 0.80869357116256 5.90781272238193e-115 1
17 Lung ENSG00000214425.2 100 -1.07164254692813 8.49877001684951e-112 1
17 Lung ENSG00000204650.9 100 1.00587310889314 9.98607024880733e-112 1
1 Lung ENSG00000084072.12 100 0.908499396660914 5.54643901907496e-109 1
1 Lung ENSG00000218510.3 100 0.810810312499657 2.42058054145291e-106 1
6 Lung ENSG00000203875.6 100 0.789825863170106 1.51917163972415e-105 1
2 Lung ENSG00000204792.2 100 1.01591212058795 2.06043364996797e-103 1
5 Lung ENSG00000168903.8 100 1.03977854211436 6.50206911572348e-102 1
16 Lung ENSG00000059122.12 100 0.826629534216529 4.75193051791009e-101 1
16 Lung ENSG00000234719.4 100 -1.01599484939998 9.91388074232554e-101 1
12 Lung ENSG00000180481.6 100 -0.873116714847533 1.83976811201908e-100 1
15 Lung ENSG00000140400.10 100 0.665176279672832 6.54616841801932e-100 1
7 Lung ENSG00000226824.2 100 -1.00722374891247 5.05971373314805e-99 1
12 Lung ENSG00000111788.9 100 -0.927420651936896 5.48977636119756e-99 1
