chr tissue gene peer beta p_value eGene
11 Minor_Salivary_Gland ENSG00000166435.11 15 1.26633358558425 1.66988064802913e-32 1
12 Minor_Salivary_Gland ENSG00000013573.12 15 -1.07196984309923 1.38246571084005e-30 1
5 Minor_Salivary_Gland ENSG00000164308.12 15 1.21552741936317 4.36346872003773e-29 1
16 Minor_Salivary_Gland ENSG00000234719.4 15 -1.01737037664625 5.08624746530403e-28 1
9 Minor_Salivary_Gland ENSG00000226752.3 15 -0.8348304242573 1.18689844884846e-27 1
19 Minor_Salivary_Gland ENSG00000197020.6 15 -0.924176664719898 2.44626568019428e-27 1
19 Minor_Salivary_Gland ENSG00000174652.13 15 1.04014893014669 1.33684060007221e-26 1
17 Minor_Salivary_Gland ENSG00000187624.7 15 1.18263769538249 5.46798713050991e-26 1
7 Minor_Salivary_Gland ENSG00000226278.1 15 1.04142578473571 1.49578193977158e-25 1
6 Minor_Salivary_Gland ENSG00000203875.6 15 0.979877093569483 2.41759563537506e-25 1
2 Minor_Salivary_Gland ENSG00000204792.2 15 1.05895757883649 4.48438673265821e-25 1
1 Minor_Salivary_Gland ENSG00000203666.8 15 -0.866584324310768 4.76286972374924e-25 1
22 Minor_Salivary_Gland ENSG00000273295.1 15 1.10524157655078 5.68319803078204e-25 1
1 Minor_Salivary_Gland ENSG00000117226.7 15 -0.983563504290906 2.12307831709138e-24 1
8 Minor_Salivary_Gland ENSG00000071894.10 15 -0.877614164723142 9.22133885555951e-24 1
1 Minor_Salivary_Gland ENSG00000236624.4 15 -0.94842240081031 2.30658701218483e-23 1
2 Minor_Salivary_Gland ENSG00000144115.12 15 1.08785277568765 2.38266100787649e-23 1
16 Minor_Salivary_Gland ENSG00000246898.1 15 0.950205102291949 3.40864662873167e-23 1
7 Minor_Salivary_Gland ENSG00000121716.14 15 0.768961115208306 7.10871246009122e-23 1
12 Minor_Salivary_Gland ENSG00000197728.5 15 -0.9182504440874 1.25060705480165e-22 1
2 Minor_Salivary_Gland ENSG00000227403.1 15 -0.903969526967 1.26123206059061e-22 1
12 Minor_Salivary_Gland ENSG00000257176.1 15 0.917631493754833 2.32757542722736e-22 1
2 Minor_Salivary_Gland ENSG00000230606.6 15 -0.782772065018898 2.34243533450179e-22 1
18 Minor_Salivary_Gland ENSG00000101639.14 15 -0.887783055455195 3.20146204266972e-22 1
3 Minor_Salivary_Gland ENSG00000163576.13 15 1.06933574545193 5.9567231211136e-22 1
11 Minor_Salivary_Gland ENSG00000254860.1 15 1.09770674062461 7.78894171263371e-22 1
7 Minor_Salivary_Gland ENSG00000165171.6 15 -1.10363618922377 1.21479096324193e-21 1
1 Minor_Salivary_Gland ENSG00000198468.3 15 0.956236013975175 1.5199791192826e-21 1
7 Minor_Salivary_Gland ENSG00000230658.1 15 0.950789657655633 1.82464775947669e-21 1
19 Minor_Salivary_Gland ENSG00000267594.5 15 -1.04699521212074 2.31938444311279e-21 1
22 Minor_Salivary_Gland ENSG00000100376.7 15 1.52117384333621 3.03553489960023e-21 1
14 Minor_Salivary_Gland ENSG00000258289.3 15 0.856250440685193 3.35248019203433e-21 1
11 Minor_Salivary_Gland ENSG00000197345.8 15 -0.906975512424296 3.67170145577265e-21 1
2 Minor_Salivary_Gland ENSG00000236397.2 15 1.08962643758101 4.39148003717297e-21 1
10 Minor_Salivary_Gland ENSG00000099290.11 15 -1.01344838363063 4.63049996019501e-21 1
1 Minor_Salivary_Gland ENSG00000142856.12 15 -1.02445289209944 5.24899834715424e-21 1
12 Minor_Salivary_Gland ENSG00000010626.10 15 0.787275350254613 7.89827661324373e-21 1
11 Minor_Salivary_Gland ENSG00000177236.3 15 0.985919013744186 9.79600881417453e-21 1
17 Minor_Salivary_Gland ENSG00000214401.4 15 1.14446242923015 1.0755012668341e-20 1
2 Minor_Salivary_Gland ENSG00000236682.1 15 1.05247039920748 1.28369587484343e-20 1
5 Minor_Salivary_Gland ENSG00000253404.1 15 -1.02302913689359 1.47092361727277e-20 1
17 Minor_Salivary_Gland ENSG00000262539.1 15 1.12931747032368 1.6116859701021e-20 1
6 Minor_Salivary_Gland ENSG00000272279.1 15 1.01659710521735 1.97393091214005e-20 1
11 Minor_Salivary_Gland ENSG00000149084.7 15 0.801621141306614 2.63106055547206e-20 1
22 Minor_Salivary_Gland ENSG00000218537.1 15 1.05624433235298 2.65690220656562e-20 1
11 Minor_Salivary_Gland ENSG00000120451.6 15 0.973558785888906 3.87735111006239e-20 1
12 Minor_Salivary_Gland ENSG00000239335.4 15 -0.895616669520882 4.804835063985e-20 1
11 Minor_Salivary_Gland ENSG00000254614.1 15 -1.07776322620992 4.80829824907789e-20 1
17 Minor_Salivary_Gland ENSG00000214087.4 15 -1.36439638447247 6.85217838326063e-20 1
7 Minor_Salivary_Gland ENSG00000271529.1 15 0.628892156415901 7.4676791955772e-20 1
4 Minor_Salivary_Gland ENSG00000171234.9 15 0.947655894216659 1.1309018343652e-19 1
8 Minor_Salivary_Gland ENSG00000221947.3 15 1.05397048292761 1.13372720044822e-19 1
9 Minor_Salivary_Gland ENSG00000172785.14 15 -0.798979795238151 1.69399932599031e-19 1
2 Minor_Salivary_Gland ENSG00000152254.6 15 0.905189737710099 2.48214601453066e-19 1
19 Minor_Salivary_Gland ENSG00000181240.9 15 -0.949021473250109 2.91695453421293e-19 1
7 Minor_Salivary_Gland ENSG00000229043.2 15 -0.991496290705195 3.13502146809225e-19 1
19 Minor_Salivary_Gland ENSG00000176920.10 15 -0.605856578816202 3.18986616600561e-19 1
6 Minor_Salivary_Gland ENSG00000215190.4 15 -0.93000905134011 3.19967163134582e-19 1
14 Minor_Salivary_Gland ENSG00000258601.1 15 0.904116257590582 3.72123629333428e-19 1
2 Minor_Salivary_Gland ENSG00000169629.7 15 -1.23052636025939 4.09472331551529e-19 1
1 Minor_Salivary_Gland ENSG00000272668.1 15 0.794956690077505 4.5467867451547e-19 1
6 Minor_Salivary_Gland ENSG00000237541.3 15 1.09511474550552 4.64990251256724e-19 1
9 Minor_Salivary_Gland ENSG00000159247.8 15 -0.840099649068982 4.68536361400426e-19 1
15 Minor_Salivary_Gland ENSG00000270127.1 15 -0.945951848619332 5.67841248054425e-19 1
6 Minor_Salivary_Gland ENSG00000112031.11 15 -0.849565714843628 6.00538216759095e-19 1
2 Minor_Salivary_Gland ENSG00000226747.2 15 0.895710711989029 6.61034466141776e-19 1
10 Minor_Salivary_Gland ENSG00000271335.1 15 0.840680042529197 8.25769592901682e-19 1
17 Minor_Salivary_Gland ENSG00000006282.15 15 -0.722702467967014 8.76982782721932e-19 1
7 Minor_Salivary_Gland ENSG00000230715.2 15 0.676068472165522 1.00277414862143e-18 1
10 Minor_Salivary_Gland ENSG00000165985.8 15 0.960406771225643 1.01353206555338e-18 1
2 Minor_Salivary_Gland ENSG00000217702.1 15 1.16188864697036 1.03221386233287e-18 1
22 Minor_Salivary_Gland ENSG00000260708.1 15 -0.803825262973185 1.24276218097092e-18 1
11 Minor_Salivary_Gland ENSG00000255239.1 15 1.00708061965084 1.44255890107102e-18 1
3 Minor_Salivary_Gland ENSG00000227124.4 15 1.31458094420122 1.69173710881366e-18 1
17 Minor_Salivary_Gland ENSG00000263503.1 15 1.36172484621424 2.14295064356735e-18 1
6 Minor_Salivary_Gland ENSG00000261584.1 15 -0.915981898907964 3.98816915837986e-18 1
19 Minor_Salivary_Gland ENSG00000268555.1 15 -1.01023628283422 4.5273749842166e-18 1
10 Minor_Salivary_Gland ENSG00000257582.1 15 -0.803470916579881 4.74179337413623e-18 1
1 Minor_Salivary_Gland ENSG00000142794.14 15 -1.09282440602078 6.00656626084834e-18 1
12 Minor_Salivary_Gland ENSG00000172322.9 15 0.931588848448759 6.09737987822983e-18 1
2 Minor_Salivary_Gland ENSG00000196912.8 15 -0.749520866183828 6.54774463862764e-18 1
7 Minor_Salivary_Gland ENSG00000242588.2 15 0.596091221130773 6.76046428410322e-18 1
22 Minor_Salivary_Gland ENSG00000228050.1 15 1.07830558784155 1.00896235795643e-17 1
12 Minor_Salivary_Gland ENSG00000180481.6 15 -0.770966112010058 2.03551719738072e-17 1
7 Minor_Salivary_Gland ENSG00000213640.3 15 0.853448307149342 2.18615552501314e-17 1
5 Minor_Salivary_Gland ENSG00000205464.7 15 -0.79914287335841 3.7682165924015e-17 1
14 Minor_Salivary_Gland ENSG00000211979.2 15 1.03730862472061 3.84326649326493e-17 1
22 Minor_Salivary_Gland ENSG00000225282.1 15 0.949374922531927 4.02078675516137e-17 1
22 Minor_Salivary_Gland ENSG00000184674.8 15 -0.942067467453402 4.08602130840398e-17 1
16 Minor_Salivary_Gland ENSG00000102858.8 15 0.577478871647089 4.87177494034475e-17 1
7 Minor_Salivary_Gland ENSG00000226824.2 15 -0.828462808775681 5.26175955466653e-17 1
14 Minor_Salivary_Gland ENSG00000259065.1 15 1.13930916167307 5.76159387651808e-17 1
5 Minor_Salivary_Gland ENSG00000225138.3 15 0.762599951664775 6.06149391352241e-17 1
6 Minor_Salivary_Gland ENSG00000124587.9 15 0.742079748516124 6.36557981976321e-17 1
1 Minor_Salivary_Gland ENSG00000084072.12 15 0.997777881258414 6.36909541586476e-17 1
17 Minor_Salivary_Gland ENSG00000233327.6 15 -0.923506683770815 6.77777028806574e-17 1
22 Minor_Salivary_Gland ENSG00000260065.1 15 0.723084506012428 7.54411322471403e-17 1
4 Minor_Salivary_Gland ENSG00000245958.2 15 -0.885448412957894 8.3669430878667e-17 1
2 Minor_Salivary_Gland ENSG00000197927.8 15 0.892352316230957 8.38117005387361e-17 1
16 Minor_Salivary_Gland ENSG00000059122.12 15 0.782885693838367 9.49636310851625e-17 1
10 Minor_Salivary_Gland ENSG00000226051.2 15 0.89147726672879 9.95243661548041e-17 1
7 Minor_Salivary_Gland ENSG00000234585.2 15 -1.00819074971709 1.3091510352693e-16 1
5 Minor_Salivary_Gland ENSG00000164346.5 15 1.15973575816914 1.3397843137587e-16 1
22 Minor_Salivary_Gland ENSG00000183172.8 15 0.536170193262167 1.34974713684938e-16 1
22 Minor_Salivary_Gland ENSG00000240972.1 15 0.986184206065542 1.57395825129385e-16 1
11 Minor_Salivary_Gland ENSG00000255893.1 15 0.966850474840479 1.80515976458618e-16 1
11 Minor_Salivary_Gland ENSG00000110455.9 15 0.985804877413827 1.89948132646223e-16 1
16 Minor_Salivary_Gland ENSG00000158865.8 15 1.22076460720406 1.94322434393493e-16 1
6 Minor_Salivary_Gland ENSG00000228506.1 15 0.878463170654495 1.94444081240463e-16 1
1 Minor_Salivary_Gland ENSG00000134202.6 15 0.714631058415898 1.96595143700182e-16 1
6 Minor_Salivary_Gland ENSG00000204540.6 15 0.833864885905373 2.29943405247933e-16 1
16 Minor_Salivary_Gland ENSG00000095917.9 15 0.87582484029004 2.3207278515422e-16 1
19 Minor_Salivary_Gland ENSG00000171903.12 15 -0.71278530207962 2.37511173009521e-16 1
8 Minor_Salivary_Gland ENSG00000254859.1 15 -0.890793513214625 2.37650346571328e-16 1
6 Minor_Salivary_Gland ENSG00000204644.5 15 0.909759500915325 2.43740512801608e-16 1
6 Minor_Salivary_Gland ENSG00000272277.1 15 -0.860002492219265 2.50233958807901e-16 1
2 Minor_Salivary_Gland ENSG00000035115.17 15 -0.756171870340721 2.58470342178283e-16 1
7 Minor_Salivary_Gland ENSG00000106610.10 15 -0.894164799615673 2.67317084502817e-16 1
17 Minor_Salivary_Gland ENSG00000204650.9 15 0.890786446731369 2.77382001740579e-16 1
14 Minor_Salivary_Gland ENSG00000254326.1 15 1.09573330085227 3.0617596491408e-16 1
6 Minor_Salivary_Gland ENSG00000179344.12 15 -0.889763615528227 3.66471062177069e-16 1
19 Minor_Salivary_Gland ENSG00000243137.3 15 -0.979156253005622 4.28109764597633e-16 1
7 Minor_Salivary_Gland ENSG00000085514.11 15 0.99314231134426 4.6153234097335e-16 1
1 Minor_Salivary_Gland ENSG00000187010.14 15 -0.597182998043356 4.62134694290178e-16 1
10 Minor_Salivary_Gland ENSG00000183605.12 15 0.714289524084018 4.88517822186698e-16 1
22 Minor_Salivary_Gland ENSG00000099984.6 15 -0.986299763870285 5.63001889000609e-16 1
6 Minor_Salivary_Gland ENSG00000198502.5 15 -1.09379734219808 6.07412786932481e-16 1
22 Minor_Salivary_Gland ENSG00000211639.2 15 -0.70356624029936 6.16906865912037e-16 1
5 Minor_Salivary_Gland ENSG00000155542.7 15 1.08899080747109 6.6244354314183e-16 1
7 Minor_Salivary_Gland ENSG00000146833.11 15 0.689940610099979 6.71936637416854e-16 1
17 Minor_Salivary_Gland ENSG00000223510.2 15 0.880673329715053 7.76660809326199e-16 1
19 Minor_Salivary_Gland ENSG00000268362.1 15 0.983993284962433 7.90112386750374e-16 1
7 Minor_Salivary_Gland ENSG00000243302.3 15 0.567630568226427 9.510919905267e-16 1
15 Minor_Salivary_Gland ENSG00000206127.6 15 0.917529261468092 9.57821359357345e-16 1
7 Minor_Salivary_Gland ENSG00000243679.1 15 0.614696472190762 9.67825084919599e-16 1
1 Minor_Salivary_Gland ENSG00000143452.11 15 0.671242079755826 9.99988005724833e-16 1
6 Minor_Salivary_Gland ENSG00000230438.5 15 -0.968849959255586 1.02165078418849e-15 1
15 Minor_Salivary_Gland ENSG00000259520.1 15 0.927661175508255 1.13254717711745e-15 1
4 Minor_Salivary_Gland ENSG00000240005.1 15 -0.812784788005271 1.15958516048977e-15 1
3 Minor_Salivary_Gland ENSG00000164048.9 15 0.923733737386873 1.21041100545789e-15 1
10 Minor_Salivary_Gland ENSG00000120539.10 15 0.715643376806196 1.25223434918368e-15 1
