chr tissue gene peer beta p_value eGene
11 Muscle_Skeletal ENSG00000166435.11 250 1.24911149401758 4.76416140311052e-174 1
5 Muscle_Skeletal ENSG00000164308.12 250 0.994633135225186 7.13964253721544e-168 1
2 Muscle_Skeletal ENSG00000204792.2 250 1.04542075272895 2.22652434637982e-167 1
12 Muscle_Skeletal ENSG00000197728.5 250 -0.820258436530646 1.47972366167076e-165 1
14 Muscle_Skeletal ENSG00000258289.3 250 0.927392602146618 3.80018685376695e-162 1
9 Muscle_Skeletal ENSG00000226752.3 250 -0.995363656170679 6.73994793289686e-161 1
1 Muscle_Skeletal ENSG00000218510.3 250 1.16416324995638 3.85063741804526e-159 1
12 Muscle_Skeletal ENSG00000013573.12 250 -0.869434853574638 5.14364984074849e-154 1
22 Muscle_Skeletal ENSG00000273295.1 250 0.948675027001601 3.90465371640804e-148 1
6 Muscle_Skeletal ENSG00000203875.6 250 0.803677522585332 7.28617309200282e-145 1
7 Muscle_Skeletal ENSG00000226278.1 250 0.980652344851959 1.2466287141231e-140 1
12 Muscle_Skeletal ENSG00000166896.3 250 -0.823331753912307 1.91862788488145e-138 1
7 Muscle_Skeletal ENSG00000229043.2 250 -0.841568521966788 7.98626214678661e-138 1
4 Muscle_Skeletal ENSG00000163682.11 250 -0.68396624364013 8.8900515667922e-137 1
17 Muscle_Skeletal ENSG00000006282.15 250 -0.706176517869294 7.98943797462045e-136 1
19 Muscle_Skeletal ENSG00000064545.10 250 -0.696298738987949 1.42843320791551e-135 1
11 Muscle_Skeletal ENSG00000254614.1 250 -0.953382833306758 2.9108401021322e-135 1
19 Muscle_Skeletal ENSG00000174652.13 250 0.758802979533968 2.25672477729862e-133 1
17 Muscle_Skeletal ENSG00000187624.7 250 0.866568145534128 3.23119372329368e-133 1
6 Muscle_Skeletal ENSG00000124587.9 250 0.932179559462948 6.43800596975269e-133 1
15 Muscle_Skeletal ENSG00000137806.4 250 -0.926706798861104 6.30059316255742e-131 1
5 Muscle_Skeletal ENSG00000242110.3 250 0.639348902478194 3.46121430706943e-129 1
6 Muscle_Skeletal ENSG00000179344.12 250 -0.941475135671639 1.41233842309247e-126 1
19 Muscle_Skeletal ENSG00000051128.14 250 -0.802953701373736 3.27011104670493e-125 1
5 Muscle_Skeletal ENSG00000164346.5 250 1.13609650050887 4.21957992018594e-125 1
8 Muscle_Skeletal ENSG00000071894.10 250 -0.66830540206507 1.18338498272094e-123 1
11 Muscle_Skeletal ENSG00000173456.4 250 1.1982603042335 1.34725511702493e-123 1
1 Muscle_Skeletal ENSG00000142794.14 250 -0.932779836982495 3.28129000403708e-123 1
1 Muscle_Skeletal ENSG00000236624.4 250 -1.09494811317687 3.24801711491251e-122 1
5 Muscle_Skeletal ENSG00000113068.5 250 -0.68936201702294 3.45954691558646e-121 1
2 Muscle_Skeletal ENSG00000236397.2 250 0.980118144006742 4.9668267911647e-119 1
7 Muscle_Skeletal ENSG00000085514.11 250 1.08044105987512 6.3681658962627e-119 1
17 Muscle_Skeletal ENSG00000263503.1 250 1.29165554069682 1.12878256788314e-118 1
16 Muscle_Skeletal ENSG00000234719.4 250 -0.976318045928288 1.77166221561734e-118 1
12 Muscle_Skeletal ENSG00000111788.9 250 -0.990607069239503 1.85208463193419e-118 1
5 Muscle_Skeletal ENSG00000188002.6 250 -0.965885692095888 2.9799217275612e-118 1
17 Muscle_Skeletal ENSG00000214401.4 250 1.33446291822774 1.33698562787726e-117 1
5 Muscle_Skeletal ENSG00000248275.1 250 -0.703296984083068 6.50159792031453e-117 1
19 Muscle_Skeletal ENSG00000269019.1 250 -0.938794800105116 2.24324370449237e-116 1
4 Muscle_Skeletal ENSG00000198948.7 250 0.904656398393136 2.67859482447657e-115 1
6 Muscle_Skeletal ENSG00000216901.1 250 0.918689356137387 3.29641645852759e-115 1
2 Muscle_Skeletal ENSG00000236682.1 250 -1.1119636116381 7.97918320690062e-115 1
12 Muscle_Skeletal ENSG00000110871.10 250 0.494617817654737 1.31740691083231e-113 1
1 Muscle_Skeletal ENSG00000134202.6 250 0.944372565874726 4.43495187098742e-113 1
6 Muscle_Skeletal ENSG00000198502.5 250 -1.23587338616119 7.33552235931827e-112 1
10 Muscle_Skeletal ENSG00000119943.6 250 0.737074298256336 9.40764561298444e-112 1
6 Muscle_Skeletal ENSG00000270346.1 250 0.842474899457457 1.03731983710513e-111 1
1 Muscle_Skeletal ENSG00000117748.5 250 1.15272880468902 1.33663669080431e-111 1
7 Muscle_Skeletal ENSG00000146707.10 250 1.11089528838737 1.7934947827235e-111 1
2 Muscle_Skeletal ENSG00000144115.12 250 0.920342342835943 2.73074373863487e-109 1
11 Muscle_Skeletal ENSG00000158483.11 250 -0.710892834126625 2.83169222821158e-109 1
