chr tissue gene peer beta p_value eGene
12 Nerve_Tibial ENSG00000013573.12 90 -1.07299750987071 3.5502691832656e-161 1
12 Nerve_Tibial ENSG00000197728.5 90 -1.04457390359049 1.9077385949816e-155 1
19 Nerve_Tibial ENSG00000174652.13 90 0.921083654602395 2.27896852858236e-141 1
9 Nerve_Tibial ENSG00000226752.3 90 -1.10274891397836 1.52606646714731e-137 1
5 Nerve_Tibial ENSG00000164308.12 90 0.956921582492307 4.42161884766775e-131 1
11 Nerve_Tibial ENSG00000166435.11 90 1.11462637332512 8.2755990299142e-126 1
22 Nerve_Tibial ENSG00000273295.1 90 0.984568996990357 5.76150014074783e-123 1
17 Nerve_Tibial ENSG00000204650.9 90 0.968943869566464 8.81068126861655e-123 1
18 Nerve_Tibial ENSG00000101639.14 90 -0.99954446739231 3.24808545189923e-122 1
19 Nerve_Tibial ENSG00000197020.6 90 -0.997805335468787 1.49349352437054e-121 1
17 Nerve_Tibial ENSG00000006282.15 90 -0.90646462776664 2.12940735114237e-121 1
8 Nerve_Tibial ENSG00000071894.10 90 -0.901186772348674 2.91620654792934e-121 1
19 Nerve_Tibial ENSG00000267594.5 90 -1.03554333782675 5.74631879566544e-119 1
6 Nerve_Tibial ENSG00000203875.6 90 0.78588228977997 1.49450254681021e-118 1
1 Nerve_Tibial ENSG00000236624.4 90 -1.17018591300473 3.04068038789417e-118 1
16 Nerve_Tibial ENSG00000234719.4 90 -1.10801204808991 4.13599828156317e-117 1
22 Nerve_Tibial ENSG00000218537.1 90 1.05342686866688 4.9175511035386e-114 1
2 Nerve_Tibial ENSG00000204792.2 90 1.03728067053752 7.24969598980231e-114 1
3 Nerve_Tibial ENSG00000163576.13 90 1.05653774763744 1.94254262718517e-113 1
1 Nerve_Tibial ENSG00000142856.12 90 -1.1039211841493 4.40711740278115e-113 1
6 Nerve_Tibial ENSG00000112031.11 90 -0.989563350756972 7.0122167194191e-113 1
16 Nerve_Tibial ENSG00000059122.12 90 0.917318319134465 2.19435843917459e-112 1
11 Nerve_Tibial ENSG00000149231.7 90 1.14464303283356 3.36032095386965e-111 1
15 Nerve_Tibial ENSG00000140400.10 90 0.808011595921555 2.14610474861339e-110 1
17 Nerve_Tibial ENSG00000187624.7 90 1.12964604739535 4.55496721720954e-110 1
14 Nerve_Tibial ENSG00000258289.3 90 0.856773357897016 6.6427475641682e-110 1
10 Nerve_Tibial ENSG00000183605.12 90 0.928820361897677 1.26956281345318e-108 1
22 Nerve_Tibial ENSG00000093072.11 90 0.926684005617 2.4057479683918e-108 1
1 Nerve_Tibial ENSG00000272668.1 90 0.744456609929272 8.04239347543138e-108 1
12 Nerve_Tibial ENSG00000172322.9 90 1.16574847551745 1.61308953891147e-107 1
12 Nerve_Tibial ENSG00000180481.6 90 -0.879583957785048 7.70515102258684e-107 1
9 Nerve_Tibial ENSG00000225434.2 90 1.03174298006234 2.90907140862789e-106 1
1 Nerve_Tibial ENSG00000143452.11 90 1.09283208972849 3.31502442810146e-106 1
16 Nerve_Tibial ENSG00000102858.8 90 0.792881069979805 1.29049998128149e-105 1
1 Nerve_Tibial ENSG00000084072.12 90 1.0687661375515 5.73492516736388e-105 1
7 Nerve_Tibial ENSG00000196295.7 90 -1.01926214953352 2.20533007902184e-104 1
4 Nerve_Tibial ENSG00000163682.11 90 -0.672196015484462 4.17467667065522e-104 1
11 Nerve_Tibial ENSG00000177236.3 90 -0.892586747621998 8.6609123542071e-104 1
2 Nerve_Tibial ENSG00000144115.12 90 1.10874495979205 1.65328481839192e-103 1
1 Nerve_Tibial ENSG00000117226.7 90 -0.836911407462283 2.12208288577677e-103 1
11 Nerve_Tibial ENSG00000171067.6 90 -0.701816215241875 5.23763269819985e-102 1
17 Nerve_Tibial ENSG00000214425.2 90 -1.12512917303957 7.08154245376462e-102 1
7 Nerve_Tibial ENSG00000121716.14 90 0.859081034848053 1.30129272133174e-101 1
11 Nerve_Tibial ENSG00000197345.8 90 -0.718086589086933 9.15742345868093e-100 1
17 Nerve_Tibial ENSG00000007171.12 90 -0.91325522544997 1.26995931660185e-99 1
19 Nerve_Tibial ENSG00000182013.13 90 0.996113400831571 3.35740381363676e-99 1
7 Nerve_Tibial ENSG00000226824.2 90 -1.02132111644381 7.71755775262376e-99 1
17 Nerve_Tibial ENSG00000141560.10 90 -0.939842696586932 3.19943273358551e-98 1
17 Nerve_Tibial ENSG00000108592.12 90 0.711632397103077 5.82123022343997e-98 1
13 Nerve_Tibial ENSG00000120675.4 90 -0.983994257041307 6.27511315358409e-98 1
5 Nerve_Tibial ENSG00000164346.5 90 1.16532522641252 6.34084798577006e-98 1
15 Nerve_Tibial ENSG00000244879.3 90 0.795619043360057 1.88660199889583e-97 1
1 Nerve_Tibial ENSG00000225554.1 90 0.948563698413068 3.00677083737116e-97 1
12 Nerve_Tibial ENSG00000257176.1 90 0.829055719234911 8.6465466792332e-97 1
15 Nerve_Tibial ENSG00000270127.1 90 -0.920092002018329 1.01527745778287e-96 1
2 Nerve_Tibial ENSG00000236397.2 90 1.04202890781768 1.09979832656962e-96 1
12 Nerve_Tibial ENSG00000111788.9 90 -1.02622945665609 1.99679356716996e-96 1
7 Nerve_Tibial ENSG00000230658.1 90 0.955636258859863 2.99821904265747e-96 1
16 Nerve_Tibial ENSG00000204991.6 90 0.981370713207592 3.73019681187835e-96 1
11 Nerve_Tibial ENSG00000020922.8 90 0.895197765545655 3.78392255456668e-96 1
7 Nerve_Tibial ENSG00000230715.2 90 0.723132137823714 9.41096233950056e-96 1
8 Nerve_Tibial ENSG00000221947.3 90 1.03019750676384 8.59261682907917e-95 1
12 Nerve_Tibial ENSG00000166896.3 90 -0.995199781445797 2.22782331636411e-94 1
1 Nerve_Tibial ENSG00000270605.1 90 -0.81473803693125 3.38286477354128e-94 1
21 Nerve_Tibial ENSG00000231324.1 90 1.13279024605014 4.96449170843343e-94 1
1 Nerve_Tibial ENSG00000223745.3 90 -0.851281155217167 1.1398055202709e-93 1
7 Nerve_Tibial ENSG00000242588.2 90 0.650679247286766 1.23753198730569e-93 1
