chr tissue gene peer beta p_value eGene
12 Ovary ENSG00000197728.5 35 -1.06901086841426 6.95258354938648e-50 1
1 Ovary ENSG00000142856.12 35 1.20378879007627 2.17116824461034e-47 1
17 Ovary ENSG00000187624.7 35 0.990852998044864 9.97891654226292e-46 1
11 Ovary ENSG00000166435.11 35 0.941992284704908 4.48764737837927e-45 1
8 Ovary ENSG00000071894.10 35 -0.994221415021353 1.60119364875694e-44 1
22 Ovary ENSG00000183172.8 35 -1.04117707175578 1.39148051297423e-42 1
19 Ovary ENSG00000267594.5 35 -1.10430567210875 3.76824825967861e-42 1
12 Ovary ENSG00000013573.12 35 -0.912053820404188 4.76233634718124e-42 1
5 Ovary ENSG00000164308.12 35 0.94928353365223 2.83828524900124e-39 1
1 Ovary ENSG00000236624.4 35 -1.03324899244672 6.55867873209241e-38 1
16 Ovary ENSG00000234719.4 35 -1.01798481910157 2.78612658388284e-36 1
12 Ovary ENSG00000111788.9 35 -0.97514058360498 3.99548064951963e-36 1
2 Ovary ENSG00000204792.2 35 1.00961750524333 4.86128659379763e-36 1
17 Ovary ENSG00000204650.9 35 0.964740514329271 1.90277496539519e-35 1
7 Ovary ENSG00000226278.1 35 1.00646374959788 5.3665453766405e-35 1
12 Ovary ENSG00000180481.6 35 -0.794052133367897 5.42854373203679e-35 1
9 Ovary ENSG00000225434.2 35 1.05780099754783 5.95026664616122e-35 1
22 Ovary ENSG00000218537.1 35 0.912706198371892 1.48964483317592e-33 1
3 Ovary ENSG00000163576.13 35 0.973834991039617 2.71174237871033e-33 1
9 Ovary ENSG00000226752.3 35 -0.957114528399335 1.372701768476e-32 1
19 Ovary ENSG00000174652.13 35 0.832262845749736 1.98715084144681e-32 1
2 Ovary ENSG00000230836.1 35 0.900282144765324 2.34474804757827e-32 1
11 Ovary ENSG00000177236.3 35 -0.913480128927629 3.2013741828995e-32 1
19 Ovary ENSG00000181240.9 35 -0.910903297943814 1.32707395194726e-31 1
22 Ovary ENSG00000273295.1 35 0.882880983121951 1.95473637242901e-31 1
15 Ovary ENSG00000270127.1 35 -0.957730028860391 2.29212905193851e-31 1
1 Ovary ENSG00000189339.7 35 -0.79733833445123 2.32057185991393e-31 1
5 Ovary ENSG00000037474.10 35 -0.821034495809427 2.63762773090535e-31 1
17 Ovary ENSG00000170425.3 35 -1.078597673311 3.77360803590449e-31 1
3 Ovary ENSG00000241186.3 35 0.948918508009887 5.56553969982359e-31 1
20 Ovary ENSG00000231742.1 35 0.700015130490736 7.94432180859545e-31 1
15 Ovary ENSG00000259205.2 35 -0.964652169614999 8.15063488928622e-31 1
18 Ovary ENSG00000101639.14 35 -0.812840054615976 8.19029098949576e-31 1
11 Ovary ENSG00000255893.1 35 0.894568872402234 1.47562327867507e-30 1
2 Ovary ENSG00000236397.2 35 1.0349019859132 2.14860439910139e-30 1
6 Ovary ENSG00000215190.4 35 -0.876020227698159 2.47837345291711e-30 1
7 Ovary ENSG00000230658.1 35 0.889456322628612 3.03978918757871e-30 1
2 Ovary ENSG00000240344.4 35 -0.842146612803674 5.87382448683524e-30 1
1 Ovary ENSG00000143028.7 35 0.897775841937997 1.29128500063574e-29 1
1 Ovary ENSG00000272668.1 35 0.723390194952513 1.38941186751037e-29 1
15 Ovary ENSG00000260776.1 35 1.01745906726274 1.70212338418325e-29 1
14 Ovary ENSG00000259065.1 35 1.13684618224293 1.86042245832768e-29 1
6 Ovary ENSG00000272221.1 35 -0.874912146539975 3.3718905162498e-29 1
11 Ovary ENSG00000149089.8 35 0.965315203185124 3.91350267659762e-29 1
1 Ovary ENSG00000117226.7 35 -0.850645136839491 4.87194801286696e-29 1
6 Ovary ENSG00000261584.1 35 -0.943726517323237 4.94985047732061e-29 1
13 Ovary ENSG00000027001.7 35 1.28337461107363 4.99070689547246e-29 1
6 Ovary ENSG00000112031.11 35 -0.933278447444497 5.31792466372599e-29 1
5 Ovary ENSG00000253404.1 35 -0.980214457628677 5.67614220840322e-29 1
1 Ovary ENSG00000187010.14 35 -0.9430241408796 8.67676799253048e-29 1
22 Ovary ENSG00000100376.7 35 -1.39281821422193 9.12633966727484e-29 1
5 Ovary ENSG00000205464.7 35 -0.717493199437198 1.00103462839125e-28 1
22 Ovary ENSG00000184674.8 35 0.945206883533048 1.05816927097714e-28 1
1 Ovary ENSG00000084072.12 35 0.950433365950285 1.58074057850877e-28 1
6 Ovary ENSG00000198502.5 35 -1.11956657492725 1.61493035418655e-28 1
3 Ovary ENSG00000144792.5 35 -1.14015768745441 2.0679097356182e-28 1
17 Ovary ENSG00000214425.2 35 -1.2295862421144 2.63097282313465e-28 1
8 Ovary ENSG00000221947.3 35 0.988825428264598 2.75097576684126e-28 1
10 Ovary ENSG00000232229.1 35 0.96889625359661 3.54409588663071e-28 1
2 Ovary ENSG00000236209.1 35 0.88455313697491 4.90195065688183e-28 1
12 Ovary ENSG00000239335.4 35 -0.915836727023247 4.98201181570201e-28 1
7 Ovary ENSG00000185290.3 35 1.04364140329039 5.52377874033214e-28 1
22 Ovary ENSG00000260065.1 35 0.782234189587328 6.44398578460976e-28 1
7 Ovary ENSG00000254184.3 35 1.13291329193024 9.62018959014974e-28 1
14 Ovary ENSG00000165502.6 35 0.678909326533859 2.02773593258767e-27 1
12 Ovary ENSG00000256274.1 35 0.9650696128341 2.49674000568522e-27 1
6 Ovary ENSG00000204525.10 35 -1.00045973113726 2.88819546389558e-27 1
15 Ovary ENSG00000259715.1 35 0.858981536761707 3.18533016602778e-27 1
12 Ovary ENSG00000257176.1 35 0.989237435873818 3.72177161228549e-27 1
7 Ovary ENSG00000226824.2 35 0.85650648758154 4.00390275062969e-27 1
2 Ovary ENSG00000236682.1 35 -1.01740694444599 4.14920770912868e-27 1
17 Ovary ENSG00000262539.1 35 1.21641642301337 5.79590800301e-27 1
15 Ovary ENSG00000244879.3 35 0.838645490832183 9.47549159956693e-27 1
1 Ovary ENSG00000227001.2 35 1.0561576004745 1.28266447244652e-26 1
6 Ovary ENSG00000272541.1 35 -0.814256458751499 1.38603245424285e-26 1
1 Ovary ENSG00000189266.7 35 -0.863566246093941 1.40874263947184e-26 1
5 Ovary ENSG00000188002.6 35 -0.807600032423569 1.62006346904085e-26 1
1 Ovary ENSG00000223745.3 35 0.799121162286647 2.38266771090236e-26 1
7 Ovary ENSG00000229043.2 35 -0.778159791110715 2.88705825961192e-26 1
16 Ovary ENSG00000059122.12 35 0.796348037006272 3.58880186998979e-26 1
17 Ovary ENSG00000182612.6 35 0.667929665644647 4.73943995501621e-26 1
11 Ovary ENSG00000255284.1 35 -0.798203291410886 4.92999542056098e-26 1
11 Ovary ENSG00000197345.8 35 -0.771956256808834 6.70163075185797e-26 1
11 Ovary ENSG00000020922.8 35 0.808194988176775 7.28594547127845e-26 1
19 Ovary ENSG00000261770.1 35 -1.35946528830856 7.37943744710007e-26 1
17 Ovary ENSG00000108592.12 35 0.763543026884955 1.3539761453074e-25 1
14 Ovary ENSG00000139899.6 35 0.75066152327492 1.46043207006767e-25 1
4 Ovary ENSG00000138744.10 35 0.782907520954393 1.53813530363458e-25 1
17 Ovary ENSG00000263503.1 35 1.22526136815001 1.86148523795788e-25 1
1 Ovary ENSG00000218510.3 35 0.926092275048398 2.28090737953606e-25 1
15 Ovary ENSG00000180953.7 35 -0.896811799185455 2.39368033556221e-25 1
8 Ovary ENSG00000254859.1 35 -0.74547390754702 2.43672379185387e-25 1
1 Ovary ENSG00000168653.6 35 -0.661638504813333 2.68107139806213e-25 1
11 Ovary ENSG00000254851.1 35 0.965833636215832 2.78237267013106e-25 1
13 Ovary ENSG00000227354.2 35 1.36751279172366 3.27313557449007e-25 1
1 Ovary ENSG00000135773.8 35 0.971530951661764 4.10185308171944e-25 1
16 Ovary ENSG00000103550.9 35 0.984459765600908 6.20131641010241e-25 1
1 Ovary ENSG00000261349.1 35 -0.882914262297355 6.37764146868089e-25 1
10 Ovary ENSG00000183605.12 35 0.755112762436309 1.26158045077078e-24 1
22 Ovary ENSG00000260708.1 35 -0.836235317645085 1.62412207605273e-24 1
17 Ovary ENSG00000264070.1 35 1.34700759843089 1.87790782777465e-24 1
15 Ovary ENSG00000259520.1 35 0.930690661763629 2.39073320835958e-24 1
2 Ovary ENSG00000173209.18 35 0.622653573594855 2.39616111800106e-24 1
22 Ovary ENSG00000230513.1 35 -0.928381790631695 2.57264396316981e-24 1
3 Ovary ENSG00000041802.6 35 0.902507687690464 2.79141724001761e-24 1
7 Ovary ENSG00000196295.7 35 -0.943878002960339 3.02882063870882e-24 1
22 Ovary ENSG00000228050.1 35 0.940200196878475 3.29470096401164e-24 1
10 Ovary ENSG00000151640.8 35 1.34649215867611 4.11380513834122e-24 1
7 Ovary ENSG00000213640.3 35 -1.0288516923029 4.49205685117112e-24 1
12 Ovary ENSG00000111215.7 35 -0.635314313703279 4.77449355763888e-24 1
11 Ovary ENSG00000149084.7 35 -0.840752099938107 5.14608591224271e-24 1
3 Ovary ENSG00000163703.13 35 0.934690883303279 8.32028417525175e-24 1
8 Ovary ENSG00000136982.5 35 -0.889824018332342 9.96573178317798e-24 1
19 Ovary ENSG00000176472.6 35 0.736376236406774 1.29182611499905e-23 1
6 Ovary ENSG00000231760.2 35 0.990276209386072 1.3865449773569e-23 1
5 Ovary ENSG00000152348.11 35 0.913923235274357 1.40507596071339e-23 1
22 Ovary ENSG00000232710.1 35 0.784081984029682 1.46595752932315e-23 1
17 Ovary ENSG00000262500.1 35 1.19976669151163 1.58812357771174e-23 1
16 Ovary ENSG00000127578.6 35 0.80253515757996 1.77909146726083e-23 1
17 Ovary ENSG00000198496.6 35 -0.997715502059717 1.78847298943451e-23 1
5 Ovary ENSG00000249572.1 35 -0.979787914229163 1.86676983678042e-23 1
7 Ovary ENSG00000165171.6 35 -0.718903140764732 1.97595208150878e-23 1
8 Ovary ENSG00000169085.7 35 -0.622222737531536 2.04810406566734e-23 1
2 Ovary ENSG00000234171.1 35 -0.891409610197253 2.05173657504638e-23 1
5 Ovary ENSG00000164346.5 35 0.790163794016182 2.19798840239654e-23 1
16 Ovary ENSG00000103245.9 35 0.678803948313182 2.42564336911581e-23 1
2 Ovary ENSG00000226747.2 35 0.905108991654609 2.82403111644653e-23 1
16 Ovary ENSG00000102858.8 35 0.810854266432907 3.11533391363955e-23 1
16 Ovary ENSG00000103479.10 35 -0.534447950016523 3.26531105382138e-23 1
1 Ovary ENSG00000142675.13 35 0.752194423492358 3.41451656908833e-23 1
7 Ovary ENSG00000234585.2 35 -0.824724419367763 3.52348800778923e-23 1
6 Ovary ENSG00000230521.1 35 -1.33107326355882 3.83192545884176e-23 1
22 Ovary ENSG00000224086.3 35 -0.667310890190864 4.72791984254952e-23 1
22 Ovary ENSG00000225282.1 35 0.841728928292743 5.60780059744174e-23 1
6 Ovary ENSG00000261015.1 35 -0.914392174539264 5.85291364645705e-23 1
4 Ovary ENSG00000245958.2 35 -0.835516280670679 6.44654919321558e-23 1
1 Ovary ENSG00000270605.1 35 -0.81799213929708 6.45723432114308e-23 1
9 Ovary ENSG00000125485.13 35 0.807896524166488 7.6022548583125e-23 1
5 Ovary ENSG00000225138.3 35 0.92074265413397 7.93388935376497e-23 1
11 Ovary ENSG00000254860.1 35 1.14133157485502 8.03629296740139e-23 1
16 Ovary ENSG00000226232.4 35 -0.740161330532131 8.47835283474543e-23 1
18 Ovary ENSG00000263006.2 35 1.08643062083573 8.8337932652411e-23 1
21 Ovary ENSG00000182362.9 35 -0.866052444742801 9.96142872210409e-23 1
4 Ovary ENSG00000260265.1 35 1.10915830534456 1.02180957121821e-22 1
7 Ovary ENSG00000085514.11 35 0.941810520104658 1.05663621185741e-22 1
19 Ovary ENSG00000037757.9 35 -0.733121106458613 1.11677439356688e-22 1
2 Ovary ENSG00000144115.12 35 0.969761623561125 1.12198635745669e-22 1
10 Ovary ENSG00000226381.3 35 -0.948183740709615 1.18186944871172e-22 1
17 Ovary ENSG00000233327.6 35 0.874313064912595 1.32357860321059e-22 1
16 Ovary ENSG00000175643.7 35 -0.732655054895507 1.78830478722312e-22 1
10 Ovary ENSG00000165623.5 35 1.07821641989464 1.78969660173207e-22 1
4 Ovary ENSG00000145217.9 35 -0.89075454071439 1.94947744105328e-22 1
3 Ovary ENSG00000113971.14 35 -0.621979536899713 2.46764859724179e-22 1
4 Ovary ENSG00000138750.10 35 0.864177252347937 2.50876570305996e-22 1
