chr tissue gene peer beta p_value eGene
12 Pancreas ENSG00000197728.5 90 -1.01092200734726 3.07366939435693e-91 1
11 Pancreas ENSG00000166435.11 90 1.22062638306022 4.29923705817905e-85 1
12 Pancreas ENSG00000013573.12 90 -1.00886216163168 5.2063715819178e-81 1
2 Pancreas ENSG00000204792.2 90 1.05192345345808 1.12126880192145e-79 1
5 Pancreas ENSG00000164308.12 90 1.01683778920765 2.28835695969787e-77 1
22 Pancreas ENSG00000273295.1 90 1.04996856239655 2.7390756362963e-77 1
6 Pancreas ENSG00000137168.7 90 -0.874010153341282 1.0278059221365e-75 1
7 Pancreas ENSG00000165171.6 90 -1.09177001546627 8.96464315974853e-74 1
9 Pancreas ENSG00000226752.3 90 -1.01610527647408 1.86352592202601e-72 1
12 Pancreas ENSG00000111788.9 90 -1.14279950146989 1.48738475252709e-70 1
16 Pancreas ENSG00000234719.4 90 -1.01362467493041 2.63302656209914e-68 1
16 Pancreas ENSG00000157315.4 90 -0.937554840536486 2.0667329424876e-67 1
19 Pancreas ENSG00000171903.12 90 -1.04682210482087 3.62526135552071e-67 1
10 Pancreas ENSG00000165862.10 90 0.89613338103078 2.57786141570626e-66 1
22 Pancreas ENSG00000093072.11 90 1.0827054923429 5.11241537284631e-66 1
22 Pancreas ENSG00000218537.1 90 1.03040627108308 1.12952259549907e-65 1
15 Pancreas ENSG00000034053.10 90 -0.915431817604997 2.20933522773625e-65 1
19 Pancreas ENSG00000174652.13 90 0.939402411971159 3.74305151743881e-65 1
16 Pancreas ENSG00000168411.9 90 -0.974885693747863 7.88907409214419e-64 1
1 Pancreas ENSG00000084072.12 90 0.980618957131985 4.92032008039297e-63 1
7 Pancreas ENSG00000226278.1 90 0.977568998110475 4.54680792510503e-62 1
1 Pancreas ENSG00000203666.8 90 -1.032604314586 7.34578597538172e-62 1
18 Pancreas ENSG00000101639.14 90 -0.969457987396396 1.09604187011199e-61 1
1 Pancreas ENSG00000142856.12 90 1.03079452493425 1.72794437325215e-61 1
7 Pancreas ENSG00000229043.2 90 -0.908868335777106 1.88786465951587e-61 1
11 Pancreas ENSG00000255239.1 90 0.962946770927346 1.90350390943461e-61 1
2 Pancreas ENSG00000227403.1 90 -1.0650403238736 5.68125502403852e-61 1
9 Pancreas ENSG00000159247.8 90 -1.0315882285146 1.95376260700204e-60 1
1 Pancreas ENSG00000226251.1 90 1.29586110416771 2.66440269402869e-60 1
4 Pancreas ENSG00000156219.12 90 -0.952996639307101 4.78926204152917e-60 1
16 Pancreas ENSG00000059122.12 90 0.867719206918952 5.21754928078204e-60 1
7 Pancreas ENSG00000230715.2 90 0.871201959945329 5.4129351777417e-60 1
11 Pancreas ENSG00000020922.8 90 0.845184581750446 1.28336665245611e-59 1
15 Pancreas ENSG00000270127.1 90 -1.02137775166174 1.4093955802525e-59 1
1 Pancreas ENSG00000117226.7 90 -0.92796413894544 1.54831007661079e-59 1
3 Pancreas ENSG00000041802.6 90 1.2294851385984 3.15917440798884e-59 1
22 Pancreas ENSG00000183172.8 90 -0.885711098801036 4.9269972381804e-59 1
2 Pancreas ENSG00000144115.12 90 1.20847465844584 2.62102439191953e-58 1
17 Pancreas ENSG00000187624.7 90 1.04788122455392 1.22194767371586e-57 1
22 Pancreas ENSG00000099977.9 90 -0.776156190661467 1.53162204164518e-57 1
1 Pancreas ENSG00000236624.4 90 -0.908590474898705 1.97746635134835e-57 1
22 Pancreas ENSG00000099984.6 90 -1.00241695106695 3.18426848687737e-57 1
8 Pancreas ENSG00000071894.10 90 -0.855282304803028 7.13507543124234e-57 1
15 Pancreas ENSG00000244879.3 90 0.906113864402575 1.29664343698166e-56 1
17 Pancreas ENSG00000214425.2 90 -1.04748800510323 3.29815799995163e-56 1
6 Pancreas ENSG00000198502.5 90 -1.26125530007217 3.97598168403885e-56 1
1 Pancreas ENSG00000116157.5 90 -0.977566886764998 5.35601238323838e-56 1
1 Pancreas ENSG00000272668.1 90 0.787944908306469 1.59560040612428e-55 1
2 Pancreas ENSG00000236397.2 90 1.03806698886385 2.40925532181029e-55 1
19 Pancreas ENSG00000267594.5 90 -1.00158859532265 2.85386075492415e-55 1
7 Pancreas ENSG00000178381.7 90 -0.815901258245802 3.5647697421298e-55 1
7 Pancreas ENSG00000242588.2 90 0.780847466162755 6.31201858477785e-55 1
3 Pancreas ENSG00000129055.8 90 0.824361929432161 6.77315168891707e-55 1
12 Pancreas ENSG00000139197.6 90 0.801225295764686 1.0694789733194e-54 1
8 Pancreas ENSG00000104518.6 90 -0.962324079656787 1.0836875601836e-54 1
5 Pancreas ENSG00000253404.1 90 -1.07119622576973 1.61543550165432e-54 1
2 Pancreas ENSG00000236682.1 90 -1.10949061329718 2.88912346444757e-54 1
17 Pancreas ENSG00000204650.9 90 0.955084147803916 4.2816799224246e-54 1
9 Pancreas ENSG00000086102.14 90 -1.05804466932912 5.23947360304924e-54 1
7 Pancreas ENSG00000243679.1 90 0.744711162435792 5.65262908992122e-54 1
10 Pancreas ENSG00000151208.12 90 0.882138409358483 6.37118652659279e-54 1
22 Pancreas ENSG00000099974.7 90 -0.924540108578978 6.58130180994052e-54 1
5 Pancreas ENSG00000225138.3 90 0.930971165108853 7.33332333784277e-54 1
6 Pancreas ENSG00000203875.6 90 0.668765254411437 1.21041433093537e-53 1
8 Pancreas ENSG00000034239.6 90 -0.850699889662922 1.24080204450633e-53 1
8 Pancreas ENSG00000180155.14 90 1.03077528767322 1.42489976960775e-53 1
11 Pancreas ENSG00000149231.7 90 1.24580872291987 2.11694353976638e-53 1
7 Pancreas ENSG00000196295.7 90 -0.96442260753687 5.51772772695965e-53 1
20 Pancreas ENSG00000125510.11 90 0.884388203526136 7.3104856057739e-53 1
12 Pancreas ENSG00000239335.4 90 -0.957132221930573 8.08093938230834e-53 1
1 Pancreas ENSG00000198468.3 90 0.964342552691397 8.30917673708911e-53 1
2 Pancreas ENSG00000118997.9 90 0.997897076112403 8.75850917220088e-53 1
2 Pancreas ENSG00000240344.4 90 -1.0381400147164 8.78193585091163e-53 1
22 Pancreas ENSG00000260065.1 90 0.636203157110293 1.1719492349698e-52 1
19 Pancreas ENSG00000187867.4 90 -0.943813510846157 1.43813043711235e-52 1
19 Pancreas ENSG00000182013.13 90 0.987081907166216 1.52417381995361e-52 1
17 Pancreas ENSG00000214087.4 90 -1.26172131611382 2.14971789225276e-52 1
1 Pancreas ENSG00000153898.8 90 -0.929533665080988 5.4331913633169e-52 1
16 Pancreas ENSG00000180185.7 90 -1.22550993518471 1.01277277051759e-51 1
12 Pancreas ENSG00000257176.1 90 1.00246014964821 1.02826080399143e-51 1
22 Pancreas ENSG00000166897.10 90 -0.944760382487297 2.43469347841652e-51 1
11 Pancreas ENSG00000255893.1 90 0.956222896155313 2.89734832550291e-51 1
19 Pancreas ENSG00000267056.2 90 -0.962149888461456 2.97725052882592e-51 1
22 Pancreas ENSG00000100376.7 90 -1.31218266973086 7.76289415704085e-51 1
2 Pancreas ENSG00000152117.13 90 -0.913230816924101 8.03426662280777e-51 1
3 Pancreas ENSG00000228868.3 90 -0.786434437665592 8.18893263221663e-51 1
13 Pancreas ENSG00000223392.1 90 0.839307025233372 1.01926603980261e-50 1
1 Pancreas ENSG00000189339.7 90 -1.04382076755626 1.49354364505647e-50 1
11 Pancreas ENSG00000254614.1 90 -0.924055852796639 1.49392370790227e-50 1
15 Pancreas ENSG00000140400.10 90 0.688715013333585 1.79406653573814e-50 1
10 Pancreas ENSG00000165985.8 90 1.06414186177441 2.14020455937364e-50 1
7 Pancreas ENSG00000230658.1 90 0.921191959763662 3.04298819772151e-50 1
11 Pancreas ENSG00000110436.7 90 0.892772594151139 8.64609192978512e-50 1
4 Pancreas ENSG00000163682.11 90 -0.702988765928897 1.13132713977182e-49 1
16 Pancreas ENSG00000140986.7 90 -1.06489479614632 1.23266077975957e-49 1
13 Pancreas ENSG00000120675.4 90 -0.978608796317301 2.05312980623258e-49 1
10 Pancreas ENSG00000166224.12 90 1.24171158505586 2.60052668322545e-49 1
2 Pancreas ENSG00000144485.6 90 0.92482455995981 3.10308918748967e-49 1
5 Pancreas ENSG00000155542.7 90 -1.00061969224242 4.24886712670359e-49 1
7 Pancreas ENSG00000271529.1 90 0.857735176220591 4.39550728639806e-49 1
7 Pancreas ENSG00000085514.11 90 1.37694950060259 5.16187488318881e-49 1
20 Pancreas ENSG00000196756.7 90 -0.987940640247857 6.27878130240944e-49 1
