chr tissue gene peer beta p_value eGene
12 Pituitary ENSG00000197728.5 35 -1.09819828036406 2.77932615634898e-67 1
11 Pituitary ENSG00000166435.11 35 1.23821929112471 1.51202238407353e-59 1
11 Pituitary ENSG00000197345.8 35 -0.96705013419471 3.26638407362573e-54 1
7 Pituitary ENSG00000223855.1 35 1.24435218397177 4.07353439166392e-54 1
12 Pituitary ENSG00000013573.12 35 -0.98736247375864 8.27297385700511e-54 1
17 Pituitary ENSG00000214425.2 35 -1.22982323145329 3.23242031442563e-53 1
2 Pituitary ENSG00000204792.2 35 0.989619951850049 1.44422518829367e-51 1
5 Pituitary ENSG00000253404.1 35 -1.14636881134009 2.04710037314428e-51 1
1 Pituitary ENSG00000236624.4 35 -1.23175369684376 1.6412554938528e-50 1
6 Pituitary ENSG00000176998.3 35 -0.883224689811819 2.58716292539835e-49 1
19 Pituitary ENSG00000174652.13 35 0.880696238028334 5.03981475103253e-49 1
9 Pituitary ENSG00000226752.3 35 -0.992239759744386 1.14831371158835e-48 1
1 Pituitary ENSG00000142856.12 35 -1.12177281008359 6.52891143394629e-48 1
8 Pituitary ENSG00000221947.3 35 0.920191231591781 8.48026225598255e-48 1
7 Pituitary ENSG00000234585.2 35 -0.981543272236103 4.55335548142695e-47 1
1 Pituitary ENSG00000272668.1 35 0.964129069047929 4.89955605846503e-47 1
9 Pituitary ENSG00000159247.8 35 -0.922590626570695 5.32114746462286e-47 1
1 Pituitary ENSG00000270605.1 35 -0.902760424547891 8.44520930238104e-47 1
11 Pituitary ENSG00000177236.3 35 -1.05914887555521 1.12033200504728e-46 1
12 Pituitary ENSG00000180481.6 35 -0.883155435673629 1.14830632485306e-46 1
15 Pituitary ENSG00000244879.3 35 0.860041841889297 1.21802848134519e-46 1
7 Pituitary ENSG00000121716.14 35 0.73545339592378 2.2405808156542e-46 1
15 Pituitary ENSG00000270127.1 35 -0.925842085845841 5.50909226427347e-46 1
5 Pituitary ENSG00000164308.12 35 0.929730642143816 2.86424487108608e-45 1
2 Pituitary ENSG00000226747.2 35 1.10136119291105 6.54817959659603e-45 1
4 Pituitary ENSG00000249378.1 35 1.16603413139947 6.67985903832468e-45 1
10 Pituitary ENSG00000183605.12 35 0.899655778754627 7.16944693746222e-45 1
7 Pituitary ENSG00000229043.2 35 -0.963784591335909 7.24404457110016e-45 1
19 Pituitary ENSG00000186230.6 35 0.990124862542085 1.30232256760353e-44 1
17 Pituitary ENSG00000238083.3 35 1.16058575920933 1.68369631300241e-44 1
22 Pituitary ENSG00000225282.1 35 1.0167552906345 1.7881989479264e-44 1
19 Pituitary ENSG00000226686.3 35 1.17760783480433 2.38011785518098e-44 1
22 Pituitary ENSG00000273295.1 35 1.09706408994098 5.44526826599954e-44 1
2 Pituitary ENSG00000152117.13 35 -1.05560234850395 9.64688493931269e-44 1
