chr tissue gene peer beta p_value eGene
12 Prostate ENSG00000013573.12 35 -0.990004839612826 1.27043431462382e-54 1
11 Prostate ENSG00000166435.11 35 1.36238645631897 4.92713959995507e-49 1
1 Prostate ENSG00000236624.4 35 -1.20728821053431 8.53787352142589e-46 1
2 Prostate ENSG00000204792.2 35 1.05851859935637 2.14043540301001e-44 1
1 Prostate ENSG00000142856.12 35 -1.03350072241785 5.2559435428349e-43 1
5 Prostate ENSG00000164308.12 35 0.980129427558104 7.5919263735071e-43 1
19 Prostate ENSG00000174652.13 35 0.864033102116115 1.06152445307999e-40 1
12 Prostate ENSG00000197728.5 35 -0.999576865328927 2.72778637872732e-40 1
17 Prostate ENSG00000187624.7 35 1.10931975206622 7.43763773024684e-40 1
9 Prostate ENSG00000226752.3 35 -0.974630336936313 3.74327601177103e-39 1
8 Prostate ENSG00000071894.10 35 -0.744611982727976 1.25815116153904e-38 1
18 Prostate ENSG00000101639.14 35 -0.97788194897195 1.73335049390256e-38 1
10 Prostate ENSG00000183605.12 35 1.01446828499224 4.47480165269958e-38 1
16 Prostate ENSG00000059122.12 35 0.946300530706749 2.33684941795993e-37 1
2 Prostate ENSG00000236682.1 35 -1.2866198187365 1.0484705055642e-36 1
19 Prostate ENSG00000181240.9 35 -0.873945134802087 3.16844427128743e-36 1
19 Prostate ENSG00000267594.5 35 -0.990153030970389 1.84802973560684e-35 1
7 Prostate ENSG00000226278.1 35 1.02896664606603 3.06943530958173e-35 1
2 Prostate ENSG00000236209.1 35 0.980006849905573 4.68287090448639e-35 1
17 Prostate ENSG00000264070.1 35 1.38818324472586 5.59265085722019e-35 1
22 Prostate ENSG00000273295.1 35 0.954684595599724 5.71580287964758e-35 1
17 Prostate ENSG00000204650.9 35 0.999723595731396 6.5951537883793e-35 1
15 Prostate ENSG00000270127.1 35 -0.833771197588196 9.12014534956461e-35 1
6 Prostate ENSG00000203875.6 35 0.857081540448738 1.29081908351924e-34 1
7 Prostate ENSG00000196295.7 35 -1.02767424859004 1.34655397794377e-34 1
11 Prostate ENSG00000197345.8 35 -0.871228638724229 2.41517712270014e-34 1
1 Prostate ENSG00000084072.12 35 1.05980521963322 2.83400600758459e-34 1
11 Prostate ENSG00000246174.3 35 -0.939986102635934 1.77663095830795e-33 1
1 Prostate ENSG00000218510.3 35 0.910504508736292 1.95012430181818e-33 1
12 Prostate ENSG00000239335.4 35 -0.920281926643965 7.84875991597109e-33 1
22 Prostate ENSG00000218537.1 35 0.95866172236106 1.32894088519671e-32 1
5 Prostate ENSG00000253404.1 35 -0.897034936660738 2.97511263454493e-32 1
6 Prostate ENSG00000215190.4 35 -0.805879177224008 5.71122159217117e-32 1
16 Prostate ENSG00000234719.4 35 -1.01420824829445 6.53615115996615e-32 1
6 Prostate ENSG00000112031.11 35 -0.833970146217415 7.38397982168993e-32 1
12 Prostate ENSG00000257176.1 35 0.870550074902855 7.72978463462052e-32 1
6 Prostate ENSG00000237541.3 35 0.995181808438971 9.43327305437398e-32 1
15 Prostate ENSG00000259205.2 35 -0.865960813637055 1.10576212770665e-31 1
10 Prostate ENSG00000099290.11 35 -1.02304803855363 1.30354060418407e-31 1
17 Prostate ENSG00000214401.4 35 1.311228116947 1.52678317895414e-31 1
9 Prostate ENSG00000225434.2 35 0.931628978003096 2.0845341406856e-31 1
7 Prostate ENSG00000226824.2 35 1.03518220191916 2.19078757555267e-31 1
11 Prostate ENSG00000181333.11 35 0.921754125064727 2.24328006876354e-31 1
15 Prostate ENSG00000244879.3 35 0.878322214224254 2.59886832980966e-31 1
3 Prostate ENSG00000144559.6 35 -0.851817929129549 2.78698671447037e-31 1
7 Prostate ENSG00000229043.2 35 -0.821546389308691 3.20511488147425e-31 1
20 Prostate ENSG00000124116.14 35 0.759617932776965 4.11247144357644e-31 1
3 Prostate ENSG00000163576.13 35 0.949847398130618 6.15434609153081e-31 1
17 Prostate ENSG00000263503.1 35 1.44902979779274 7.65655752379238e-31 1
