chr tissue gene peer beta p_value eGene
12 Skin_Not_Sun_Exposed_Suprapubic ENSG00000197728.5 80 -1.1309315543114 1.76728611065998e-137 1
12 Skin_Not_Sun_Exposed_Suprapubic ENSG00000013573.12 80 -0.972991433586533 1.74339356159825e-127 1
11 Skin_Not_Sun_Exposed_Suprapubic ENSG00000166435.11 80 1.19383657767128 5.78863791584555e-124 1
6 Skin_Not_Sun_Exposed_Suprapubic ENSG00000203875.6 80 0.839108641059716 7.06102459440314e-119 1
17 Skin_Not_Sun_Exposed_Suprapubic ENSG00000214425.2 80 -1.15316788099241 2.28158890642667e-109 1
9 Skin_Not_Sun_Exposed_Suprapubic ENSG00000226752.3 80 -1.00199628529713 4.77008347848079e-109 1
19 Skin_Not_Sun_Exposed_Suprapubic ENSG00000174652.13 80 0.774335509047039 7.58369609667618e-108 1
1 Skin_Not_Sun_Exposed_Suprapubic ENSG00000236624.4 80 -1.21346485674516 3.02025691274189e-107 1
2 Skin_Not_Sun_Exposed_Suprapubic ENSG00000204792.2 80 1.09440612810255 8.71528470888936e-105 1
17 Skin_Not_Sun_Exposed_Suprapubic ENSG00000187624.7 80 0.981799567687336 2.71681345963011e-103 1
17 Skin_Not_Sun_Exposed_Suprapubic ENSG00000204650.9 80 0.985672976074455 6.67283556231785e-102 1
15 Skin_Not_Sun_Exposed_Suprapubic ENSG00000244879.3 80 0.861354328947427 1.69848528203246e-101 1
22 Skin_Not_Sun_Exposed_Suprapubic ENSG00000218537.1 80 1.00947556037841 1.45696599337991e-99 1
22 Skin_Not_Sun_Exposed_Suprapubic ENSG00000273295.1 80 0.943580243289521 4.55490432226307e-99 1
1 Skin_Not_Sun_Exposed_Suprapubic ENSG00000084072.12 80 1.06750531103308 1.91785262057218e-97 1
5 Skin_Not_Sun_Exposed_Suprapubic ENSG00000164308.12 80 0.876300040347912 2.95049586069579e-96 1
