chr tissue gene peer beta p_value eGene
12 Skin_Sun_Exposed_Lower_leg ENSG00000197728.5 70 -1.04866771487565 2.62074387442137e-183 1
12 Skin_Sun_Exposed_Lower_leg ENSG00000013573.12 70 -1.07661854595256 1.63819021581539e-160 1
6 Skin_Sun_Exposed_Lower_leg ENSG00000203875.6 70 0.894730574774756 4.02558800630549e-154 1
9 Skin_Sun_Exposed_Lower_leg ENSG00000226752.3 70 -1.0549740822343 2.42318530974271e-152 1
11 Skin_Sun_Exposed_Lower_leg ENSG00000166435.11 70 1.19357557178294 5.96717358136002e-145 1
19 Skin_Sun_Exposed_Lower_leg ENSG00000174652.13 70 0.856044164179123 9.75323395905449e-144 1
2 Skin_Sun_Exposed_Lower_leg ENSG00000204792.2 70 1.08258405580806 3.10186173117806e-143 1
8 Skin_Sun_Exposed_Lower_leg ENSG00000071894.10 70 -0.969788636163795 1.31310018713238e-141 1
5 Skin_Sun_Exposed_Lower_leg ENSG00000164308.12 70 0.972482316453253 1.989263593218e-141 1
17 Skin_Sun_Exposed_Lower_leg ENSG00000204650.9 70 1.01319389566236 4.74321595086504e-137 1
22 Skin_Sun_Exposed_Lower_leg ENSG00000218537.1 70 1.12373794559081 6.07234612738395e-133 1
1 Skin_Sun_Exposed_Lower_leg ENSG00000236624.4 70 -1.25713867346956 6.44913890934157e-127 1
7 Skin_Sun_Exposed_Lower_leg ENSG00000226278.1 70 1.10245270170168 1.94017207555377e-126 1
16 Skin_Sun_Exposed_Lower_leg ENSG00000234719.4 70 -1.09415592149397 8.46881385864692e-126 1
22 Skin_Sun_Exposed_Lower_leg ENSG00000273295.1 70 1.03499069080744 9.49567867581082e-125 1
15 Skin_Sun_Exposed_Lower_leg ENSG00000270127.1 70 -0.914340656899505 2.39513629609802e-124 1
1 Skin_Sun_Exposed_Lower_leg ENSG00000084072.12 70 1.12180642117632 8.66363289082499e-122 1
6 Skin_Sun_Exposed_Lower_leg ENSG00000179344.12 70 -1.05040412306106 3.80132191787877e-121 1
14 Skin_Sun_Exposed_Lower_leg ENSG00000258289.3 70 0.984401792556955 2.49889341216248e-119 1
22 Skin_Sun_Exposed_Lower_leg ENSG00000183172.8 70 -0.733799028461043 1.80658358934591e-115 1
17 Skin_Sun_Exposed_Lower_leg ENSG00000214425.2 70 -1.07167520037661 2.63083535995248e-114 1
12 Skin_Sun_Exposed_Lower_leg ENSG00000018236.10 70 0.885250906286778 9.0122237513067e-113 1
3 Skin_Sun_Exposed_Lower_leg ENSG00000163576.13 70 1.02400207158882 1.70574233349857e-111 1
17 Skin_Sun_Exposed_Lower_leg ENSG00000198496.6 70 -0.893135985299693 3.32232593296075e-111 1
22 Skin_Sun_Exposed_Lower_leg ENSG00000240972.1 70 1.04399145499633 3.7662463075888e-111 1
11 Skin_Sun_Exposed_Lower_leg ENSG00000149231.7 70 0.962590165692244 8.08375709671414e-111 1
8 Skin_Sun_Exposed_Lower_leg ENSG00000221947.3 70 0.937975912304561 1.02452138152325e-110 1
17 Skin_Sun_Exposed_Lower_leg ENSG00000187624.7 70 0.952370990475483 1.03149769711896e-110 1
19 Skin_Sun_Exposed_Lower_leg ENSG00000161243.4 70 -0.630135687243087 8.4713469857826e-110 1
15 Skin_Sun_Exposed_Lower_leg ENSG00000244879.3 70 0.862834248603334 3.55388022910962e-108 1
12 Skin_Sun_Exposed_Lower_leg ENSG00000257176.1 70 0.952761915802018 4.90201881982527e-108 1
11 Skin_Sun_Exposed_Lower_leg ENSG00000177236.3 70 -0.908108391470204 2.90260155712782e-107 1
20 Skin_Sun_Exposed_Lower_leg ENSG00000101307.11 70 1.07642251960992 4.03553649092327e-107 1
19 Skin_Sun_Exposed_Lower_leg ENSG00000181240.9 70 -1.02080907642707 4.22615186690885e-106 1
17 Skin_Sun_Exposed_Lower_leg ENSG00000006282.15 70 -0.682357533462963 5.20711428430595e-106 1
7 Skin_Sun_Exposed_Lower_leg ENSG00000121716.14 70 0.765593672002265 2.53876773538323e-105 1
16 Skin_Sun_Exposed_Lower_leg ENSG00000059122.12 70 0.774145549031423 4.62393363939379e-105 1
5 Skin_Sun_Exposed_Lower_leg ENSG00000205464.7 70 -0.800815138500817 1.00791352550544e-104 1
19 Skin_Sun_Exposed_Lower_leg ENSG00000205076.4 70 -0.980279644414167 1.19706226757959e-104 1
11 Skin_Sun_Exposed_Lower_leg ENSG00000020922.8 70 0.70758384076942 7.15944311393079e-103 1
17 Skin_Sun_Exposed_Lower_leg ENSG00000262539.1 70 1.19907190635228 1.47253858470387e-101 1
