chr tissue gene peer beta p_value eGene
12 Small_Intestine_Terminal_Ileum ENSG00000197728.5 100 -1.04965536054878 7.34866789022103e-49 1
12 Small_Intestine_Terminal_Ileum ENSG00000013573.12 100 -0.99862242241995 4.08843993459326e-44 1
2 Small_Intestine_Terminal_Ileum ENSG00000204792.2 100 1.09184443734298 3.33534753658971e-43 1
22 Small_Intestine_Terminal_Ileum ENSG00000273295.1 100 1.08008393583042 2.79815516408613e-42 1
11 Small_Intestine_Terminal_Ileum ENSG00000166435.11 100 1.21029922244344 1.82184553142105e-39 1
22 Small_Intestine_Terminal_Ileum ENSG00000218537.1 100 1.04923496946588 2.78321984318263e-39 1
17 Small_Intestine_Terminal_Ileum ENSG00000214425.2 100 -0.918747996067516 1.26522928806741e-38 1
17 Small_Intestine_Terminal_Ileum ENSG00000262539.1 100 1.15505636838987 1.62016118599205e-37 1
5 Small_Intestine_Terminal_Ileum ENSG00000164308.12 100 0.928299572969875 2.85799348266317e-37 1
19 Small_Intestine_Terminal_Ileum ENSG00000174652.13 100 0.847838151835627 3.54244106938782e-37 1
17 Small_Intestine_Terminal_Ileum ENSG00000204650.9 100 0.667912684983036 3.78200280342715e-37 1
17 Small_Intestine_Terminal_Ileum ENSG00000263503.1 100 1.19285861654208 8.79881125191287e-36 1
9 Small_Intestine_Terminal_Ileum ENSG00000226752.3 100 -0.842925541011148 1.4719946413489e-35 1
2 Small_Intestine_Terminal_Ileum ENSG00000236209.1 100 0.949927872117959 1.58637477196638e-35 1
17 Small_Intestine_Terminal_Ileum ENSG00000264070.1 100 1.1601552299764 3.98253553806493e-35 1
17 Small_Intestine_Terminal_Ileum ENSG00000187624.7 100 0.923818907552097 4.47092491191651e-35 1
1 Small_Intestine_Terminal_Ileum ENSG00000198468.3 100 0.795000784893366 7.01485729384219e-35 1
11 Small_Intestine_Terminal_Ileum ENSG00000020922.8 100 0.861428677941182 7.65850316961369e-35 1
22 Small_Intestine_Terminal_Ileum ENSG00000240972.1 100 1.05071585711434 1.24042079348544e-34 1
10 Small_Intestine_Terminal_Ileum ENSG00000183605.12 100 0.862104046616383 1.96946683638141e-34 1
17 Small_Intestine_Terminal_Ileum ENSG00000006282.15 100 -0.867080682349819 8.24648603621229e-34 1
15 Small_Intestine_Terminal_Ileum ENSG00000270127.1 100 -0.94930434863809 2.72051979698945e-33 1
1 Small_Intestine_Terminal_Ileum ENSG00000236624.4 100 -1.05959772573123 6.54820061887176e-33 1
1 Small_Intestine_Terminal_Ileum ENSG00000084072.12 100 1.15322529912273 1.23290965506767e-32 1
12 Small_Intestine_Terminal_Ileum ENSG00000256274.1 100 1.07035123934745 1.33625804575403e-32 1
17 Small_Intestine_Terminal_Ileum ENSG00000214401.4 100 1.13663811647648 3.32695420650634e-32 1
15 Small_Intestine_Terminal_Ileum ENSG00000140400.10 100 0.868161862398054 3.7770590234746e-32 1
7 Small_Intestine_Terminal_Ileum ENSG00000229043.2 100 -0.988814031122565 4.01456416521052e-32 1
20 Small_Intestine_Terminal_Ileum ENSG00000214078.7 100 -0.893660535327477 4.62852603162211e-32 1
6 Small_Intestine_Terminal_Ileum ENSG00000203875.6 100 0.960345002689123 7.90283272832303e-32 1
1 Small_Intestine_Terminal_Ileum ENSG00000272668.1 100 0.808344906638463 8.32798977019531e-32 1
15 Small_Intestine_Terminal_Ileum ENSG00000244879.3 100 0.635941585402924 1.29934232271179e-31 1
16 Small_Intestine_Terminal_Ileum ENSG00000234719.4 100 -0.927248422117408 1.49745043784409e-31 1
12 Small_Intestine_Terminal_Ileum ENSG00000239335.4 100 -0.90967831425732 1.9595501561163e-31 1
2 Small_Intestine_Terminal_Ileum ENSG00000236682.1 100 -1.23629993847753 2.03364070929625e-31 1
11 Small_Intestine_Terminal_Ileum ENSG00000177236.3 100 -0.908242399080723 3.46631893301431e-31 1
7 Small_Intestine_Terminal_Ileum ENSG00000165171.6 100 -1.00739181503939 7.3244454258829e-31 1
6 Small_Intestine_Terminal_Ileum ENSG00000112139.10 100 -0.776681486419285 1.20284026315059e-30 1
7 Small_Intestine_Terminal_Ileum ENSG00000234585.2 100 1.14702657573474 1.26833325737251e-30 1
17 Small_Intestine_Terminal_Ileum ENSG00000262500.1 100 1.08860959614459 1.45016935583771e-30 1
7 Small_Intestine_Terminal_Ileum ENSG00000226824.2 100 -1.06759212106189 4.63563110819713e-30 1
1 Small_Intestine_Terminal_Ileum ENSG00000203666.8 100 -0.791746672629619 5.76417983059978e-30 1
