chr tissue gene peer beta p_value eGene
5 Spleen ENSG00000164308.12 90 1.09420380418075 5.0715046765061e-59 1
19 Spleen ENSG00000174652.13 90 0.948475259129868 1.40992676460796e-58 1
2 Spleen ENSG00000204792.2 90 1.09912823172229 5.76753272493049e-58 1
12 Spleen ENSG00000197728.5 90 -1.01558570888723 2.08156350367084e-57 1
12 Spleen ENSG00000013573.12 90 -0.968367073336173 7.95196907844823e-57 1
17 Spleen ENSG00000006282.15 90 -0.955852585586674 2.38929034754096e-54 1
11 Spleen ENSG00000166435.11 90 1.12977647459442 5.0415353338e-53 1
8 Spleen ENSG00000185803.4 90 0.931002595570784 1.18391555370526e-52 1
6 Spleen ENSG00000203875.6 90 0.967575438563703 5.89429296674703e-52 1
8 Spleen ENSG00000071894.10 90 -0.967266537498551 9.44956002717623e-52 1
14 Spleen ENSG00000258289.3 90 0.973583570278807 1.51587762903025e-46 1
1 Spleen ENSG00000198468.3 90 1.00544957919089 2.2442346966148e-45 1
1 Spleen ENSG00000236624.4 90 -1.16993139394668 2.64203401670038e-45 1
17 Spleen ENSG00000187624.7 90 1.19527523769481 3.03667056107622e-45 1
11 Spleen ENSG00000020922.8 90 1.10423175547935 3.69483000691997e-45 1
6 Spleen ENSG00000198945.3 90 -0.972138852879447 1.98233577430089e-44 1
5 Spleen ENSG00000205464.7 90 -1.0294172458015 1.37617951523245e-43 1
20 Spleen ENSG00000214078.7 90 -1.23659350362019 2.51062252304371e-43 1
15 Spleen ENSG00000140400.10 90 0.954341775512355 3.87712946482475e-43 1
6 Spleen ENSG00000232629.4 90 0.939762985969813 6.1549457121232e-43 1
10 Spleen ENSG00000183605.12 90 0.883540713541983 7.46639408950415e-43 1
11 Spleen ENSG00000149231.7 90 1.24488104929463 1.01173476391644e-42 1
1 Spleen ENSG00000084072.12 90 1.03531701649305 1.20021052615915e-42 1
12 Spleen ENSG00000111788.9 90 -0.941375366630228 2.02158550633302e-42 1
13 Spleen ENSG00000120675.4 90 -1.07653877779004 3.43536465844812e-42 1
5 Spleen ENSG00000037474.10 90 -0.825634562809702 1.53080651285014e-41 1
12 Spleen ENSG00000239335.4 90 -1.04782474398794 1.93834219436231e-41 1
22 Spleen ENSG00000183172.8 90 0.993960800696981 3.32923978355121e-41 1
16 Spleen ENSG00000234719.4 90 -1.02308907630474 3.36515508388235e-41 1
7 Spleen ENSG00000229043.2 90 -0.890593256158012 5.94326988202451e-41 1
17 Spleen ENSG00000214087.4 90 -1.18911470279116 7.00216413162345e-41 1
15 Spleen ENSG00000270127.1 90 -1.0338424823664 9.12797370820882e-41 1
2 Spleen ENSG00000236209.1 90 1.01136587206182 1.18886181764268e-40 1
3 Spleen ENSG00000163576.13 90 1.00384327397536 2.67946728494632e-40 1
12 Spleen ENSG00000172322.9 90 0.967814767742353 2.95739569718042e-40 1
11 Spleen ENSG00000132740.4 90 0.954028255794195 4.05237238586732e-40 1
12 Spleen ENSG00000111450.9 90 0.83640691146648 4.49583157768027e-40 1
5 Spleen ENSG00000225138.3 90 1.08076565374013 4.54187178777311e-40 1
7 Spleen ENSG00000164535.10 90 0.957575153749475 7.64430730525429e-40 1
17 Spleen ENSG00000204650.9 90 1.09299866875529 7.8709256333967e-40 1
6 Spleen ENSG00000272221.1 90 -1.07561189674299 8.44118245951731e-40 1
6 Spleen ENSG00000179344.12 90 -0.969396602376919 1.23343485191238e-39 1
12 Spleen ENSG00000180481.6 90 -0.848000410700015 1.27287526947546e-39 1
12 Spleen ENSG00000257176.1 90 0.95128403873718 1.40188016145703e-39 1
7 Spleen ENSG00000121716.14 90 0.906287725649604 1.5445721556059e-39 1
7 Spleen ENSG00000146833.11 90 0.904040403601341 3.78719726956002e-39 1
1 Spleen ENSG00000117226.7 90 -1.0906492850987 5.27099800875054e-39 1
22 Spleen ENSG00000273295.1 90 0.977264034702865 7.80850148764747e-39 1
16 Spleen ENSG00000103479.10 90 -0.819089365103676 9.10771616244883e-39 1
11 Spleen ENSG00000255893.1 90 1.03737752573379 3.14152557153636e-38 1
1 Spleen ENSG00000272668.1 90 0.812139526010263 5.72164696953042e-38 1
20 Spleen ENSG00000224497.1 90 1.2767832309088 7.23759007482217e-38 1
22 Spleen ENSG00000260065.1 90 0.952268163935619 7.35258490634455e-38 1
11 Spleen ENSG00000177236.3 90 -0.936063250233382 7.8069761331015e-38 1
1 Spleen ENSG00000189266.7 90 -0.965378730952633 8.88561857857573e-38 1
6 Spleen ENSG00000204644.5 90 1.09223749159534 9.17058732967609e-38 1
6 Spleen ENSG00000112139.10 90 -1.0356579261935 1.05087182889012e-37 1
12 Spleen ENSG00000256660.1 90 0.914482790351936 1.61785737279652e-37 1
18 Spleen ENSG00000101639.14 90 -0.908265093190748 3.59075906429092e-37 1
6 Spleen ENSG00000112031.11 90 -0.93241974310512 3.87059038186966e-37 1
6 Spleen ENSG00000215190.4 90 -0.980052518997794 4.55575700294372e-37 1
11 Spleen ENSG00000255284.1 90 -0.73377458344615 6.17623030396467e-37 1
3 Spleen ENSG00000241186.3 90 1.05556134765794 8.10995269599273e-37 1
7 Spleen ENSG00000165171.6 90 -1.00003243532103 8.58728478462478e-37 1
22 Spleen ENSG00000253818.1 90 0.94969213080283 1.0198769388927e-36 1
22 Spleen ENSG00000218537.1 90 1.02020505713939 1.1870890353422e-36 1
6 Spleen ENSG00000124587.9 90 0.65189363197758 2.12689523147586e-36 1
19 Spleen ENSG00000254521.2 90 -0.844356557653631 2.38420973349149e-36 1
10 Spleen ENSG00000165985.8 90 0.960387661926323 3.19687671120329e-36 1
3 Spleen ENSG00000041802.6 90 1.11168683425538 3.31263223885319e-36 1
10 Spleen ENSG00000231345.3 90 -0.947428903039541 3.33279262229395e-36 1
6 Spleen ENSG00000261584.1 90 -1.35731622564015 3.99141980498928e-36 1
11 Spleen ENSG00000120451.6 90 1.18358592249033 5.08947584865375e-36 1
16 Spleen ENSG00000059122.12 90 0.839810808483876 9.61990759664417e-36 1
7 Spleen ENSG00000234585.2 90 -1.0274146076293 1.43483828315196e-35 1
1 Spleen ENSG00000218510.3 90 0.941429753468305 1.61011961747605e-35 1
6 Spleen ENSG00000270346.1 90 0.768519062359198 2.11701402653776e-35 1
2 Spleen ENSG00000115423.14 90 -0.954166441720383 2.87002250365382e-35 1
11 Spleen ENSG00000246174.3 90 -0.965621905856644 4.97103083867144e-35 1
2 Spleen ENSG00000125637.11 90 0.69220121396752 5.56869304000606e-35 1
9 Spleen ENSG00000226752.3 90 -0.985886449379585 8.04004974877628e-35 1
17 Spleen ENSG00000181885.14 90 -1.03650881634409 9.72942700768776e-35 1
22 Spleen ENSG00000228050.1 90 1.17287695573761 1.14101250304629e-34 1
19 Spleen ENSG00000266903.1 90 1.47102736489831 1.4120973433545e-34 1
11 Spleen ENSG00000166436.11 90 0.818772905343824 2.6566952397104e-34 1
16 Spleen ENSG00000226942.2 90 -1.0213314302347 3.05608584977253e-34 1
3 Spleen ENSG00000129055.8 90 0.83863065297151 3.13902069931822e-34 1
6 Spleen ENSG00000204520.8 90 -0.845135726580163 3.23586678798269e-34 1
16 Spleen ENSG00000102858.8 90 0.682163186026757 3.40242792632144e-34 1
17 Spleen ENSG00000214425.2 90 -1.03350292920011 3.64577441293917e-34 1
12 Spleen ENSG00000139044.6 90 0.987697631024602 3.71872349629315e-34 1
19 Spleen ENSG00000188321.9 90 -1.17953519372052 3.86526165033142e-34 1
15 Spleen ENSG00000244879.3 90 0.780827579686874 4.26750938622523e-34 1
7 Spleen ENSG00000228668.1 90 1.38449261854065 4.95278723306257e-34 1
2 Spleen ENSG00000236682.1 90 -1.10823601938265 5.11908045403086e-34 1
19 Spleen ENSG00000268362.1 90 1.28557014285197 1.22133552265801e-33 1
1 Spleen ENSG00000142794.14 90 -0.945468303561259 1.60078067911311e-33 1
15 Spleen ENSG00000259205.2 90 -0.798836195935892 2.45243658047957e-33 1
19 Spleen ENSG00000161265.10 90 0.95451342212758 2.80735153491662e-33 1
3 Spleen ENSG00000144559.6 90 -0.885599623149541 3.19726604473476e-33 1
12 Spleen ENSG00000255733.1 90 0.757061433220574 5.59049873676817e-33 1
12 Spleen ENSG00000205057.3 90 0.989622843393723 6.78536426651635e-33 1
11 Spleen ENSG00000149084.7 90 -0.76885894089708 6.83739760696179e-33 1
8 Spleen ENSG00000014164.6 90 -0.721452190884722 7.12316750196151e-33 1
7 Spleen ENSG00000132436.7 90 0.852277553710585 7.68293320738429e-33 1
2 Spleen ENSG00000162994.11 90 1.22886498108926 8.99960875463469e-33 1
