chr tissue gene peer beta p_value eGene
12 Stomach ENSG00000013573.12 60 -0.951285588960745 4.65270329242492e-97 1
12 Stomach ENSG00000197728.5 60 -1.01492961186298 8.00192663097192e-96 1
11 Stomach ENSG00000166435.11 60 1.15712920534788 1.6347094971524e-91 1
5 Stomach ENSG00000164308.12 60 0.978957610621387 3.48207286040511e-89 1
19 Stomach ENSG00000174652.13 60 0.957610043414935 1.33182725409827e-81 1
15 Stomach ENSG00000270127.1 60 -1.01583592270873 2.08430873263649e-74 1
2 Stomach ENSG00000204792.2 60 1.04860200501361 8.700667764256e-73 1
1 Stomach ENSG00000236624.4 60 -1.03075770659773 3.18671882573525e-72 1
7 Stomach ENSG00000226278.1 60 1.07755272112779 1.07768353219785e-69 1
9 Stomach ENSG00000225434.2 60 1.04199050819831 1.54940454257189e-69 1
8 Stomach ENSG00000071894.10 60 -0.92131471202018 2.41964064310388e-69 1
17 Stomach ENSG00000187624.7 60 1.02282541478756 4.02431249311287e-67 1
22 Stomach ENSG00000273295.1 60 0.915010684162818 1.9786492593674e-66 1
9 Stomach ENSG00000226752.3 60 -0.939681624006597 2.43958219523941e-66 1
6 Stomach ENSG00000203875.6 60 0.846290228403416 2.59225907219828e-66 1
7 Stomach ENSG00000229043.2 60 -0.953159560294156 1.33485012188309e-64 1
22 Stomach ENSG00000218537.1 60 0.976282523516194 5.18175609159033e-64 1
12 Stomach ENSG00000111788.9 60 -0.959987717590876 6.98734991878055e-62 1
17 Stomach ENSG00000204650.9 60 0.983038727173855 1.15841376560479e-61 1
16 Stomach ENSG00000234719.4 60 -1.00934765291472 4.11604703579258e-61 1
19 Stomach ENSG00000267594.5 60 -1.0742702092334 5.35697620025478e-61 1
16 Stomach ENSG00000059122.12 60 0.756340975227317 7.34506092953877e-61 1
1 Stomach ENSG00000117226.7 60 -0.747353242372391 1.17695666960048e-59 1
2 Stomach ENSG00000240344.4 60 -0.816243097277833 4.839340763004e-59 1
12 Stomach ENSG00000239335.4 60 -0.871214651430717 8.63645672771125e-59 1
6 Stomach ENSG00000232629.4 60 0.857078309923919 8.86881667443959e-59 1
2 Stomach ENSG00000152117.13 60 -0.821070346242802 1.21299678256745e-57 1
2 Stomach ENSG00000236682.1 60 -1.1519267662535 1.39370574287519e-57 1
15 Stomach ENSG00000244879.3 60 0.876396632550669 3.97710185066833e-57 1
19 Stomach ENSG00000188321.9 60 -1.01516203476317 4.69495883780442e-57 1
17 Stomach ENSG00000198496.6 60 -0.831059192511667 2.13186545482018e-56 1
22 Stomach ENSG00000183172.8 60 0.716635254448545 2.35951037498636e-56 1
11 Stomach ENSG00000149084.7 60 -0.607447256304284 2.52328794076742e-56 1
12 Stomach ENSG00000180481.6 60 -0.820162114665032 2.92982454354627e-56 1
16 Stomach ENSG00000180185.7 60 0.988082693230581 7.69705582091848e-56 1
20 Stomach ENSG00000214078.7 60 -1.13332705946582 1.12828314500605e-55 1
2 Stomach ENSG00000236397.2 60 1.06611993528742 2.03251652368656e-55 1
1 Stomach ENSG00000203666.8 60 -0.941237419548242 5.67784460769765e-55 1
22 Stomach ENSG00000099984.6 60 -0.946086207711837 7.99887649171983e-55 1
1 Stomach ENSG00000198468.3 60 0.927906045433923 1.10300584153048e-54 1
19 Stomach ENSG00000181240.9 60 -0.860424079206879 1.57266134754581e-54 1
7 Stomach ENSG00000226824.2 60 1.01828646138675 1.57822313516959e-54 1
18 Stomach ENSG00000101639.14 60 -0.766540237615584 1.76917398180447e-54 1
11 Stomach ENSG00000254851.1 60 1.02817415545185 1.99173167627677e-54 1
15 Stomach ENSG00000140400.10 60 0.805088610128828 2.10365600517387e-54 1
1 Stomach ENSG00000142856.12 60 -0.982866344998701 6.89530998015528e-54 1
22 Stomach ENSG00000100376.7 60 -1.41636395549653 6.99070992572962e-54 1
17 Stomach ENSG00000263503.1 60 1.33322340435746 8.0537593274288e-54 1
2 Stomach ENSG00000144115.12 60 0.938162670376428 1.16776271908376e-53 1
17 Stomach ENSG00000214087.4 60 -1.37402114367401 1.4684984762005e-53 1
19 Stomach ENSG00000171903.12 60 -0.826526151234105 1.47392929545984e-53 1
13 Stomach ENSG00000120675.4 60 -0.950499416265204 5.07471880146193e-53 1
11 Stomach ENSG00000177236.3 60 -0.768492381662223 5.14183613458225e-53 1
7 Stomach ENSG00000271529.1 60 0.749890537411428 8.75552978229311e-53 1
11 Stomach ENSG00000020922.8 60 0.896679083682746 2.3022273937279e-52 1
1 Stomach ENSG00000084072.12 60 0.960060877785897 3.00738111002467e-52 1
7 Stomach ENSG00000230715.2 60 0.79931626488544 3.41942776305324e-52 1
17 Stomach ENSG00000214425.2 60 -0.915269460837097 4.9010114034183e-52 1
5 Stomach ENSG00000164346.5 60 0.954952673590348 5.66333104235643e-52 1
1 Stomach ENSG00000272668.1 60 0.755086960541053 1.50246564543949e-51 1
22 Stomach ENSG00000240972.1 60 0.896638437252388 1.67943703226754e-51 1
17 Stomach ENSG00000262539.1 60 1.47167815813047 2.19822281562504e-51 1
6 Stomach ENSG00000272221.1 60 -1.03132701160931 2.8758376506943e-51 1
15 Stomach ENSG00000259205.2 60 -0.915270053416424 5.42696975749613e-51 1
1 Stomach ENSG00000189266.7 60 -0.789336587732141 9.9646103428153e-51 1
