chr tissue gene peer beta p_value eGene
2 Testis ENSG00000226747.2 40 1.21713816983785 1.84879241225595e-95 1
2 Testis ENSG00000232732.5 40 -0.799226699345603 8.64347105370647e-88 1
20 Testis ENSG00000124116.14 40 0.871161492383829 1.25243758054388e-86 1
8 Testis ENSG00000196115.8 40 -0.866109503216092 5.46180448508276e-86 1
8 Testis ENSG00000197475.7 40 -1.02412368094626 6.3800188259082e-84 1
7 Testis ENSG00000226824.2 40 1.16027489043824 4.53422741615114e-83 1
12 Testis ENSG00000197728.5 40 -1.02432153837884 5.51792843105469e-83 1
2 Testis ENSG00000230140.1 40 1.08435455389965 1.74965092768925e-82 1
17 Testis ENSG00000233327.6 40 -1.06263718631575 3.89024061882049e-81 1
12 Testis ENSG00000013573.12 40 -0.794087477587486 7.24338155602419e-81 1
2 Testis ENSG00000152086.7 40 -1.01893449779518 1.34011758451731e-77 1
20 Testis ENSG00000182931.5 40 -0.993192847916815 3.4819878728849e-77 1
17 Testis ENSG00000273018.1 40 -1.03022308408029 1.3167621241724e-76 1
8 Testis ENSG00000254082.1 40 1.02884580216896 1.37219352232741e-75 1
6 Testis ENSG00000203875.6 40 0.838159571381642 6.09893398414262e-75 1
1 Testis ENSG00000142794.14 40 -1.10092763613683 1.75336336258519e-74 1
7 Testis ENSG00000164669.8 40 -1.18421892139102 4.28207034438008e-74 1
7 Testis ENSG00000229043.2 40 -1.07916073989839 7.61740081855316e-74 1
1 Testis ENSG00000067533.5 40 0.805536561272378 1.20423509403833e-73 1
12 Testis ENSG00000173401.5 40 -0.815788647012756 9.64606897643143e-73 1
14 Testis ENSG00000258413.1 40 -0.899819976300306 2.15109957918117e-72 1
13 Testis ENSG00000180138.6 40 -0.949028980864887 2.17127127393575e-72 1
1 Testis ENSG00000143028.7 40 0.906639913431392 3.56772412197733e-72 1
21 Testis ENSG00000237232.3 40 0.840924860483685 4.82758964245924e-72 1
17 Testis ENSG00000213077.5 40 -0.999976831760213 1.09993782794721e-71 1
8 Testis ENSG00000253848.1 40 0.96801908865127 2.88408574074621e-71 1
1 Testis ENSG00000236624.4 40 -1.12935580194232 8.25820482821888e-71 1
3 Testis ENSG00000230102.3 40 0.983045430848473 9.12362177491857e-71 1
11 Testis ENSG00000197345.8 40 -0.939046093058009 1.3924680902722e-70 1
2 Testis ENSG00000231532.1 40 0.992813496209616 1.577377612955e-70 1
6 Testis ENSG00000226454.1 40 0.949783660804993 8.22621174469633e-69 1
1 Testis ENSG00000084072.12 40 0.851424364314613 2.43953757306487e-68 1
4 Testis ENSG00000240005.1 40 -0.81132627688539 2.76352083014732e-68 1
1 Testis ENSG00000160838.9 40 0.758832753118892 6.34442795862341e-68 1
2 Testis ENSG00000236107.3 40 -0.89937238745786 1.23021188921586e-67 1
19 Testis ENSG00000226686.3 40 -1.22735038700875 2.59647674235381e-67 1
11 Testis ENSG00000167311.9 40 -0.807449364983013 2.61851238296171e-67 1
7 Testis ENSG00000231183.3 40 -0.99980960646831 3.90552341272891e-67 1
19 Testis ENSG00000131848.5 40 0.808415085921088 4.3922984152887e-67 1
11 Testis ENSG00000149548.10 40 0.846313483072754 1.9544419580457e-66 1
5 Testis ENSG00000040275.12 40 -0.624998628319549 3.15486867297885e-66 1
5 Testis ENSG00000164346.5 40 1.33146022397248 6.91118104484444e-66 1
16 Testis ENSG00000246898.1 40 0.858526194769618 7.37819659228094e-66 1
17 Testis ENSG00000214941.3 40 0.855968315976097 7.52521508132417e-66 1
17 Testis ENSG00000186868.11 40 1.00523132913287 7.59101184252026e-66 1
6 Testis ENSG00000224846.1 40 0.886487407575261 1.57189254653532e-65 1
22 Testis ENSG00000100427.11 40 -1.21412942768862 2.28182776544414e-65 1
1 Testis ENSG00000171960.6 40 -1.0465520586585 7.09424314154147e-65 1
6 Testis ENSG00000216901.1 40 1.09050185419381 2.46521428255347e-64 1
15 Testis ENSG00000197696.5 40 1.16635915605088 4.98833378556344e-64 1
15 Testis ENSG00000259387.2 40 -1.14612682879278 5.11680656218485e-64 1
5 Testis ENSG00000249830.1 40 -0.95548945132558 5.45765773187917e-64 1
1 Testis ENSG00000213026.4 40 1.4361991444986 8.75017664580236e-64 1
13 Testis ENSG00000261105.1 40 -0.95727162376797 8.90400818879022e-64 1
12 Testis ENSG00000127337.2 40 -0.699537886052429 1.31787219158566e-63 1
8 Testis ENSG00000254067.1 40 1.04616323974504 1.39417364812816e-63 1
9 Testis ENSG00000225434.2 40 1.17312781490275 1.49695480903062e-63 1
6 Testis ENSG00000204614.4 40 1.1008067679599 1.63736634254197e-63 1
2 Testis ENSG00000236682.1 40 -1.27722630843619 1.71544153082842e-63 1
5 Testis ENSG00000145777.10 40 0.861840455829275 2.39711244297058e-63 1
7 Testis ENSG00000224458.3 40 1.03847076252121 2.81235011492677e-63 1
2 Testis ENSG00000224177.2 40 0.932607892764066 5.20149532220925e-62 1
2 Testis ENSG00000163235.11 40 -0.890021352887511 1.63626103623267e-61 1
1 Testis ENSG00000223745.3 40 0.876783246394652 2.1655431666643e-61 1
