chr tissue gene peer beta p_value eGene
12 Uterus ENSG00000013573.12 20 -0.896511825935249 7.32463550929662e-39 1
11 Uterus ENSG00000166435.11 20 1.06338721193435 1.03673250369896e-35 1
5 Uterus ENSG00000164308.12 20 1.01027923540808 1.46531282761102e-35 1
16 Uterus ENSG00000234719.4 20 -1.00960409283566 2.62232979189367e-34 1
17 Uterus ENSG00000204650.9 20 0.878329344924885 1.68767175412949e-33 1
2 Uterus ENSG00000204792.2 20 0.994480837316899 1.68587023307213e-32 1
12 Uterus ENSG00000197728.5 20 -1.1106829990263 6.63665947870644e-32 1
8 Uterus ENSG00000071894.10 20 -0.94304920154138 9.2937552429706e-32 1
1 Uterus ENSG00000142856.12 20 -0.917874889725187 1.20945850144793e-31 1
22 Uterus ENSG00000093072.11 20 0.892473762187549 1.67136316473701e-31 1
22 Uterus ENSG00000218537.1 20 1.01687978342245 3.42198750999783e-31 1
1 Uterus ENSG00000236624.4 20 -1.07727078119922 1.57324500803839e-30 1
3 Uterus ENSG00000163576.13 20 1.08629836470414 2.45122183754847e-30 1
2 Uterus ENSG00000236209.1 20 0.917312245761321 3.97960292435348e-30 1
9 Uterus ENSG00000226752.3 20 -1.05714661941575 1.11619404751282e-29 1
22 Uterus ENSG00000273295.1 20 0.980141201751396 4.92505344130815e-29 1
7 Uterus ENSG00000226278.1 20 1.05890764780851 6.26284303836628e-29 1
19 Uterus ENSG00000174652.13 20 0.797529642199674 9.21659356778355e-29 1
17 Uterus ENSG00000198496.6 20 -1.07510201424221 9.38066402470822e-29 1
22 Uterus ENSG00000100376.7 20 -1.36550394133639 2.40821700921184e-28 1
22 Uterus ENSG00000184674.8 20 1.02625999034217 5.58680381169148e-28 1
2 Uterus ENSG00000236397.2 20 1.05368599880557 6.49675673772184e-28 1
15 Uterus ENSG00000270127.1 20 -0.971881068100819 1.04448475871923e-27 1
7 Uterus ENSG00000230658.1 20 1.01124580933942 1.08582707139867e-27 1
1 Uterus ENSG00000218510.3 20 1.06972195345078 6.79614447951109e-27 1
12 Uterus ENSG00000257176.1 20 0.913937266208315 2.08823936467557e-26 1
2 Uterus ENSG00000197927.8 20 0.964432150182286 2.17859435206009e-26 1
17 Uterus ENSG00000263503.1 20 1.35543890164789 2.49682260120223e-26 1
6 Uterus ENSG00000272541.1 20 -0.82698226435813 8.13052088134833e-26 1
22 Uterus ENSG00000272955.1 20 0.915510669542509 9.53882545956897e-26 1
5 Uterus ENSG00000205464.7 20 -0.818406133772139 1.45291886294383e-25 1
11 Uterus ENSG00000197345.8 20 -0.775112588511755 1.78879725477155e-25 1
19 Uterus ENSG00000181240.9 20 -0.974684336602577 3.64136859457165e-25 1
17 Uterus ENSG00000262539.1 20 1.45452285474222 5.5151154136928e-25 1
2 Uterus ENSG00000169629.7 20 -1.22965171928022 6.34093872062819e-25 1
18 Uterus ENSG00000101639.14 20 -0.958987680928951 9.61247087441715e-25 1
15 Uterus ENSG00000140400.10 20 0.756553878072853 1.0400571330264e-24 1
6 Uterus ENSG00000179344.12 20 -0.962018211972538 1.21702197088175e-24 1
3 Uterus ENSG00000144792.5 20 -1.16259878885492 1.87037484057584e-24 1
11 Uterus ENSG00000177236.3 20 -0.761198767498115 2.41125849079787e-24 1
10 Uterus ENSG00000232229.1 20 1.22122387388654 3.08227503644066e-24 1
2 Uterus ENSG00000230836.1 20 0.817854692878365 5.93572018756188e-24 1
7 Uterus ENSG00000185290.3 20 1.10268743007467 8.26007231401536e-24 1
17 Uterus ENSG00000262500.1 20 1.24404923081236 8.44402461065327e-24 1
8 Uterus ENSG00000254859.1 20 -0.766997969150097 1.13873178948777e-23 1
3 Uterus ENSG00000171084.11 20 0.952021714054903 1.3978859544449e-23 1
1 Uterus ENSG00000084072.12 20 1.00278044553757 1.52708493070215e-23 1
19 Uterus ENSG00000197020.6 20 0.916744906877131 1.96465737092748e-23 1
9 Uterus ENSG00000225434.2 20 1.02997943635511 2.03012762508456e-23 1
17 Uterus ENSG00000214425.2 20 -1.109904940576 2.48618854890258e-23 1
22 Uterus ENSG00000100296.9 20 -1.03355325360832 2.71687965778362e-23 1
11 Uterus ENSG00000254851.1 20 0.934297517629545 3.96677122623585e-23 1
12 Uterus ENSG00000180481.6 20 -0.842023406661417 4.21173736406627e-23 1
6 Uterus ENSG00000112031.11 20 -0.828724343893379 4.62526226920389e-23 1
20 Uterus ENSG00000230563.2 20 1.02324847148251 5.22354834848577e-23 1
22 Uterus ENSG00000235231.3 20 0.906873986587525 6.78379810089855e-23 1
22 Uterus ENSG00000183172.8 20 0.77435282027849 8.47873778134524e-23 1
8 Uterus ENSG00000221947.3 20 0.95829451734793 8.55725915107234e-23 1
1 Uterus ENSG00000270605.1 20 -0.830275322881071 8.72338424604606e-23 1
19 Uterus ENSG00000267594.5 20 -0.842753991995162 9.24772543450392e-23 1
22 Uterus ENSG00000225282.1 20 0.884585790863597 1.12653671798716e-22 1
1 Uterus ENSG00000272668.1 20 0.586086375716673 1.29791423287682e-22 1
11 Uterus ENSG00000255893.1 20 0.850239657457157 3.42116108462844e-22 1
19 Uterus ENSG00000261770.1 20 -1.08094400045463 3.53304405202274e-22 1
