chr tissue gene peer beta p_value eGene
12 Vagina ENSG00000013573.12 20 -1.01639022699715 8.80877794846311e-42 1
11 Vagina ENSG00000166435.11 20 1.08774823095396 1.37516516187591e-39 1
5 Vagina ENSG00000164308.12 20 -0.944329436330064 8.93003198101224e-39 1
22 Vagina ENSG00000218537.1 20 1.13733892346663 1.26891734207146e-36 1
12 Vagina ENSG00000197728.5 20 -1.0643956858964 2.02623049715873e-35 1
1 Vagina ENSG00000236624.4 20 -1.15271018434115 2.3299878238789e-34 1
7 Vagina ENSG00000226278.1 20 1.06240918031039 3.36648164569393e-33 1
5 Vagina ENSG00000205464.7 20 0.803532886221955 1.19779411704864e-32 1
16 Vagina ENSG00000234719.4 20 -0.989225197948583 1.26699891111293e-32 1
17 Vagina ENSG00000187624.7 20 0.96261947626417 5.54041769502379e-32 1
22 Vagina ENSG00000273295.1 20 1.06462264491714 4.18461524480838e-31 1
8 Vagina ENSG00000071894.10 20 -0.944917485278214 4.55861560443087e-31 1
19 Vagina ENSG00000174652.13 20 0.966643378660976 2.35103623537363e-30 1
17 Vagina ENSG00000214087.4 20 -1.32119679875068 3.17670734681491e-30 1
9 Vagina ENSG00000226752.3 20 -0.980626431931694 7.14467916671733e-30 1
16 Vagina ENSG00000059122.12 20 0.812658951044964 1.30750825000185e-29 1
1 Vagina ENSG00000142856.12 20 1.07734327430956 1.74693027682001e-29 1
2 Vagina ENSG00000204792.2 20 1.07850253327174 2.59144127519484e-29 1
22 Vagina ENSG00000100376.7 20 -1.47395111522895 9.47229050437787e-29 1
22 Vagina ENSG00000228050.1 20 1.09867549689064 4.18775805450485e-28 1
7 Vagina ENSG00000234585.2 20 0.934409168310186 4.83568683494395e-27 1
19 Vagina ENSG00000267594.5 20 -0.972489101694291 1.12584353490777e-26 1
6 Vagina ENSG00000179344.12 20 -0.951862410812821 1.42607324412201e-26 1
11 Vagina ENSG00000177236.3 20 -0.843812369374094 1.57565200300218e-26 1
12 Vagina ENSG00000257176.1 20 0.884765134211024 2.7234042313917e-26 1
1 Vagina ENSG00000084072.12 20 1.04927638695349 3.55232022793425e-26 1
1 Vagina ENSG00000117226.7 20 -0.937043559021638 4.95268778151357e-26 1
15 Vagina ENSG00000270127.1 20 -0.960186479370845 5.29394974658256e-26 1
19 Vagina ENSG00000226686.3 20 -0.907595076748926 5.65084138550891e-26 1
9 Vagina ENSG00000225434.2 20 0.919247423471756 8.6502973805602e-26 1
7 Vagina ENSG00000226824.2 20 -1.06949054720922 9.45879319409979e-26 1
3 Vagina ENSG00000163576.13 20 1.05640612463422 1.18485706430063e-25 1
16 Vagina ENSG00000158865.8 20 -1.31794338646178 1.47629424178991e-25 1
22 Vagina ENSG00000184674.8 20 -0.980639174805508 2.1115710311985e-25 1
17 Vagina ENSG00000262500.1 20 1.17612896605917 3.4378430207354e-25 1
7 Vagina ENSG00000229043.2 20 -0.936525479982402 5.78127766063684e-25 1
2 Vagina ENSG00000236397.2 20 1.06367831999534 6.76352764652977e-25 1
17 Vagina ENSG00000214401.4 20 1.17875168733732 7.89559420873775e-25 1
12 Vagina ENSG00000166896.3 20 -0.985868400780964 1.35052686445933e-24 1
19 Vagina ENSG00000181240.9 20 -0.904270620966905 2.53014503694571e-24 1
6 Vagina ENSG00000272462.2 20 -0.836490177069585 4.87041680694268e-24 1
11 Vagina ENSG00000254851.1 20 0.909182160330297 5.50417990963869e-24 1
1 Vagina ENSG00000272668.1 20 0.605707958065683 5.62865090359788e-24 1
17 Vagina ENSG00000262539.1 20 1.06330787682633 7.88527797566361e-24 1
17 Vagina ENSG00000198496.6 20 -0.94839080958759 1.10209718959388e-23 1
5 Vagina ENSG00000155542.7 20 1.30171494410984 1.37645537972981e-23 1
14 Vagina ENSG00000259065.1 20 1.34405969800951 2.15284743546463e-23 1
3 Vagina ENSG00000227124.4 20 1.14124865483936 3.36697553057567e-23 1
6 Vagina ENSG00000112031.11 20 -0.922582404908996 3.90222423331695e-23 1
1 Vagina ENSG00000189266.7 20 -0.847190577305237 5.19747966962025e-23 1
7 Vagina ENSG00000242294.2 20 0.937779128962106 7.70903832949421e-23 1
6 Vagina ENSG00000261584.1 20 -0.919378749105955 8.00718309967826e-23 1
6 Vagina ENSG00000204644.5 20 1.11459998377828 1.0060816337781e-22 1
17 Vagina ENSG00000263503.1 20 1.25432871090636 1.08448980416159e-22 1
13 Vagina ENSG00000120675.4 20 -0.854762249110957 1.09840743790707e-22 1
1 Vagina ENSG00000187010.14 20 -0.930739824492038 1.20975741208305e-22 1
6 Vagina ENSG00000198502.5 20 -1.03144191221957 1.32335718753656e-22 1
17 Vagina ENSG00000204650.9 20 0.567594628526798 1.58318631495715e-22 1
2 Vagina ENSG00000144115.12 20 1.00772600079283 1.89548081314491e-22 1
12 Vagina ENSG00000180481.6 20 -0.782567243917124 1.99893327432323e-22 1
12 Vagina ENSG00000256274.1 20 -0.748886520326126 2.0801164697251e-22 1
6 Vagina ENSG00000186470.9 20 -1.12759333488513 3.10393276116623e-22 1
11 Vagina ENSG00000255893.1 20 0.896096827626867 4.91517963280037e-22 1
13 Vagina ENSG00000261105.1 20 -0.948864726563028 5.09893824802857e-22 1
22 Vagina ENSG00000240972.1 20 0.948789369890435 6.07175250051912e-22 1
11 Vagina ENSG00000246174.3 20 -0.999566064185182 9.21098664985022e-22 1
6 Vagina ENSG00000241549.4 20 -0.825294400576188 9.39084779367307e-22 1
15 Vagina ENSG00000244879.3 20 -0.928160967550559 1.037982037996e-21 1
18 Vagina ENSG00000101639.14 20 -0.792663402454631 1.04866161736723e-21 1
11 Vagina ENSG00000197345.8 20 -0.83434715991537 1.24512035451442e-21 1
18 Vagina ENSG00000263006.2 20 1.09382146009308 1.67884389695524e-21 1
6 Vagina ENSG00000272221.1 20 -0.920996049539056 1.8459593728752e-21 1
6 Vagina ENSG00000203875.6 20 0.724921286870956 1.93282316895073e-21 1
2 Vagina ENSG00000144230.12 20 1.07100738893864 2.07556771261022e-21 1
15 Vagina ENSG00000259205.2 20 -0.831837272397909 2.09742240361144e-21 1
7 Vagina ENSG00000213640.3 20 1.0418977572504 2.70514436112237e-21 1
7 Vagina ENSG00000121716.14 20 0.869633594670968 3.1533394354598e-21 1
2 Vagina ENSG00000236209.1 20 0.881860549651329 3.52842714730655e-21 1
20 Vagina ENSG00000224497.1 20 1.20315866884154 3.81533411635524e-21 1
8 Vagina ENSG00000221947.3 20 0.967975969380452 4.76001229961099e-21 1
4 Vagina ENSG00000245958.2 20 -0.71601094132146 4.96872198307933e-21 1
7 Vagina ENSG00000271529.1 20 -0.718341925744501 5.50461353039293e-21 1
11 Vagina ENSG00000020922.8 20 0.887695812389854 6.50925423571219e-21 1
1 Vagina ENSG00000142794.14 20 -0.834965172767465 8.34570517567422e-21 1
17 Vagina ENSG00000264070.1 20 1.16148300487592 1.14233454231205e-20 1
2 Vagina ENSG00000236682.1 20 1.13800614769484 1.21530166935036e-20 1
10 Vagina ENSG00000183605.12 20 0.713348112331903 1.32058989894562e-20 1
20 Vagina ENSG00000224635.1 20 -1.08902310617182 1.33184306915529e-20 1
1 Vagina ENSG00000261349.1 20 -0.85636537713333 1.60703423251708e-20 1
17 Vagina ENSG00000006282.15 20 -0.517087628822798 2.04280576706698e-20 1
1 Vagina ENSG00000236933.1 20 -0.890310376125768 2.20540559467082e-20 1
4 Vagina ENSG00000038002.4 20 0.524835922744357 2.4406708603731e-20 1
11 Vagina ENSG00000214872.4 20 0.756741766479732 2.72895010885783e-20 1
1 Vagina ENSG00000218510.3 20 0.949390764181954 2.7540905804066e-20 1
7 Vagina ENSG00000223855.1 20 1.00586184659167 3.14821173618062e-20 1
3 Vagina ENSG00000041802.6 20 0.826427617657484 3.58415800499987e-20 1
16 Vagina ENSG00000261613.2 20 0.959280165863524 3.80032425352896e-20 1
2 Vagina ENSG00000169629.7 20 -1.07182929690122 3.89688696273062e-20 1
17 Vagina ENSG00000141560.10 20 -0.755249642939479 5.30733992079608e-20 1
7 Vagina ENSG00000185290.3 20 0.967885035032016 6.71256004543729e-20 1
17 Vagina ENSG00000233327.6 20 0.878973037296025 9.52648996159296e-20 1
8 Vagina ENSG00000254859.1 20 -0.864879276589327 1.00005210170264e-19 1
22 Vagina ENSG00000100296.9 20 -0.787027931306492 1.14300612871872e-19 1
6 Vagina ENSG00000230521.1 20 -0.743899379695486 1.42259833804039e-19 1
7 Vagina ENSG00000242588.2 20 -0.622857285445588 2.28973605714986e-19 1
1 Vagina ENSG00000223745.3 20 -0.672640574153731 2.80657810354032e-19 1
7 Vagina ENSG00000230715.2 20 -0.571650150299853 2.92384777301436e-19 1
6 Vagina ENSG00000231760.2 20 0.993878011821142 3.08790862258319e-19 1
22 Vagina ENSG00000260065.1 20 0.770014231543957 3.47108856088576e-19 1
2 Vagina ENSG00000144488.10 20 0.812422953633955 4.30008352969432e-19 1
10 Vagina ENSG00000165985.8 20 0.984881209714589 4.60338494292041e-19 1
22 Vagina ENSG00000183172.8 20 0.789802756212706 4.75332390212818e-19 1
2 Vagina ENSG00000197927.8 20 0.857778631376524 5.12577216802006e-19 1
3 Vagina ENSG00000163703.13 20 0.844119994094493 5.87286457641611e-19 1
2 Vagina ENSG00000240344.4 20 -0.853771569940575 7.07343161306504e-19 1
14 Vagina ENSG00000258289.3 20 0.763739012758664 7.35467806924704e-19 1
22 Vagina ENSG00000225282.1 20 0.884945773967088 8.59331196455839e-19 1
15 Vagina ENSG00000180953.7 20 -0.844197262712195 8.61275744154429e-19 1
22 Vagina ENSG00000099984.6 20 -0.903309606535942 1.0258523432382e-18 1
19 Vagina ENSG00000261770.1 20 -1.23484529494938 1.17515819355641e-18 1
5 Vagina ENSG00000188002.6 20 -0.797005998948472 1.20114399566856e-18 1
2 Vagina ENSG00000152117.13 20 -0.535171861159634 1.29237836496577e-18 1
7 Vagina ENSG00000085514.11 20 0.878830278577794 1.36197335514052e-18 1
2 Vagina ENSG00000261186.1 20 0.830045522283115 1.37110318591932e-18 1
19 Vagina ENSG00000197020.6 20 0.923207365917259 1.37904038232213e-18 1
2 Vagina ENSG00000162994.11 20 0.976647055554658 1.40709540064795e-18 1
10 Vagina ENSG00000151640.8 20 1.26522710520434 1.53212745688147e-18 1
11 Vagina ENSG00000172543.3 20 0.80243854788084 1.58072171403384e-18 1
