chr tissue gene peer beta p_value eGene
9 Whole_Blood ENSG00000226752.3 100 -0.860134169380301 2.47421164336374e-131 1
5 Whole_Blood ENSG00000164308.12 100 0.910220811418407 1.5145874669703e-126 1
14 Whole_Blood ENSG00000258289.3 100 0.758222756106524 1.33713762320656e-123 1
11 Whole_Blood ENSG00000166435.11 100 1.09756770722381 4.30628528785939e-120 1
12 Whole_Blood ENSG00000013573.12 100 -0.734471435580294 1.26682527734922e-119 1
17 Whole_Blood ENSG00000006282.15 100 -0.809572083930438 8.80309836708067e-118 1
1 Whole_Blood ENSG00000236624.4 100 -1.02357641461027 4.48228886470274e-114 1
2 Whole_Blood ENSG00000204792.2 100 1.0506309038761 2.94402328604581e-112 1
1 Whole_Blood ENSG00000117115.8 100 0.533735721073579 2.58323364745048e-111 1
17 Whole_Blood ENSG00000214425.2 100 -1.12699165179281 1.50774335223671e-108 1
5 Whole_Blood ENSG00000113504.15 100 -0.74201839250813 3.52405112800614e-107 1
6 Whole_Blood ENSG00000203875.6 100 0.609088929844339 7.03608234879776e-106 1
12 Whole_Blood ENSG00000197728.5 100 -0.988759561857617 2.57797777092815e-105 1
6 Whole_Blood ENSG00000124587.9 100 0.625866499578347 3.24060711015514e-105 1
22 Whole_Blood ENSG00000100376.7 100 1.3645931426069 3.0390810022195e-104 1
12 Whole_Blood ENSG00000172322.9 100 0.803460144617727 6.50499992137032e-104 1
8 Whole_Blood ENSG00000071894.10 100 -0.518323690869546 1.17991628530009e-103 1
20 Whole_Blood ENSG00000214078.7 100 -0.863725320744215 2.00704730916164e-101 1
11 Whole_Blood ENSG00000132740.4 100 0.958724069329554 1.50196404803641e-98 1
7 Whole_Blood ENSG00000226278.1 100 1.03105087662294 2.32587198357354e-98 1
6 Whole_Blood ENSG00000204644.5 100 1.14360938424691 3.03069437820263e-98 1
9 Whole_Blood ENSG00000106772.13 100 -0.953998390220283 7.68143150276893e-98 1
15 Whole_Blood ENSG00000259235.1 100 1.15143879542726 1.85875722301574e-96 1
17 Whole_Blood ENSG00000173801.12 100 -1.26300828748083 9.60465096666033e-96 1
17 Whole_Blood ENSG00000263503.1 100 1.3983521949795 1.22850813117085e-95 1
11 Whole_Blood ENSG00000177697.13 100 0.703465999272584 7.26231941171701e-95 1
17 Whole_Blood ENSG00000262539.1 100 1.43569166743658 2.53408814977972e-94 1
15 Whole_Blood ENSG00000140400.10 100 0.537640442411959 9.25133082320364e-93 1
16 Whole_Blood ENSG00000166847.5 100 0.95354148478749 1.38557098526851e-92 1
6 Whole_Blood ENSG00000234426.1 100 -0.853734904341153 1.87716506406308e-92 1
16 Whole_Blood ENSG00000059122.12 100 0.684287641931448 1.90574541413597e-92 1
17 Whole_Blood ENSG00000214087.4 100 -1.03263215587583 2.64465687075979e-92 1
2 Whole_Blood ENSG00000135953.6 100 -0.959144559153968 7.54505987961632e-92 1
9 Whole_Blood ENSG00000137106.13 100 0.843676043773799 1.40837441840779e-91 1
1 Whole_Blood ENSG00000160781.11 100 -0.647743857365308 2.6171728054722e-91 1
6 Whole_Blood ENSG00000232629.4 100 0.887413456692398 8.19135971887267e-91 1
19 Whole_Blood ENSG00000174652.13 100 0.630374118390395 9.75004197939115e-91 1
17 Whole_Blood ENSG00000141698.12 100 -0.824404009850241 1.12182763981758e-90 1
5 Whole_Blood ENSG00000196743.4 100 0.969251781863153 2.14141270144972e-90 1
12 Whole_Blood ENSG00000256660.1 100 0.869425570763826 6.44934698606964e-90 1
17 Whole_Blood ENSG00000214401.4 100 1.4108435581116 1.09759577215113e-89 1
19 Whole_Blood ENSG00000267174.1 100 -0.687658676924679 2.49947753115511e-89 1
6 Whole_Blood ENSG00000179344.12 100 -0.693008197310863 7.08109531237976e-89 1
1 Whole_Blood ENSG00000198715.7 100 -0.800224526118557 8.71657070555119e-88 1
6 Whole_Blood ENSG00000220267.1 100 -0.960385619336261 1.040091021007e-87 1
1 Whole_Blood ENSG00000198952.7 100 -0.71265461257447 1.32003412434182e-87 1
11 Whole_Blood ENSG00000120451.6 100 0.720291443664269 2.84301454617812e-87 1
11 Whole_Blood ENSG00000110455.9 100 1.25149500928524 2.13680671131974e-86 1
22 Whole_Blood ENSG00000260065.1 100 0.788945286521298 2.28026034390606e-86 1
6 Whole_Blood ENSG00000112139.10 100 -0.889249148470711 5.42177516314559e-85 1
8 Whole_Blood ENSG00000254859.1 100 -0.784448812076179 1.57185060175471e-84 1
12 Whole_Blood ENSG00000139044.6 100 1.03918676986421 7.64233960043449e-84 1
2 Whole_Blood ENSG00000236397.2 100 1.01013454480353 9.99389746226645e-84 1
4 Whole_Blood ENSG00000145214.9 100 0.684003549837993 1.33621531659849e-83 1
19 Whole_Blood ENSG00000131401.7 100 -0.777341147948028 3.04795925967462e-83 1
6 Whole_Blood ENSG00000188056.7 100 -1.02557231571433 5.69160823725667e-83 1
1 Whole_Blood ENSG00000187010.14 100 -0.858181411557342 5.98073723833651e-83 1
16 Whole_Blood ENSG00000178952.4 100 0.50696918422693 1.39848298582013e-82 1
5 Whole_Blood ENSG00000168903.8 100 1.03119616109928 2.67794083892419e-82 1
22 Whole_Blood ENSG00000273295.1 100 0.870298780196726 4.19226190570035e-82 1
14 Whole_Blood ENSG00000183092.11 100 -0.871779515349682 7.2092088598468e-82 1
12 Whole_Blood ENSG00000090382.2 100 -0.632462938994517 1.86246699879539e-81 1
4 Whole_Blood ENSG00000196526.6 100 0.99501646257713 2.8117328092477e-81 1
12 Whole_Blood ENSG00000171860.4 100 0.653955060792482 8.89357474690677e-80 1
22 Whole_Blood ENSG00000183172.8 100 0.661962589228486 1.36788314735144e-79 1
19 Whole_Blood ENSG00000007129.13 100 0.683878728524816 3.71519848305922e-79 1
17 Whole_Blood ENSG00000187624.7 100 0.956784984405156 6.35422725137042e-79 1
20 Whole_Blood ENSG00000196756.7 100 -0.64648702807883 6.77303043022415e-79 1
17 Whole_Blood ENSG00000264070.1 100 1.47706103091456 9.52077045186704e-79 1
17 Whole_Blood ENSG00000262500.1 100 1.23802078180583 2.32234560255353e-78 1
15 Whole_Blood ENSG00000074803.13 100 1.22000591821263 1.03439052777807e-77 1
12 Whole_Blood ENSG00000239335.4 100 -0.762671797496853 2.41680611946923e-77 1
12 Whole_Blood ENSG00000111788.9 100 -0.638418389481602 2.95544180457322e-77 1
5 Whole_Blood ENSG00000113303.7 100 -0.543110693414579 3.04222880297403e-77 1
7 Whole_Blood ENSG00000002933.3 100 -0.878501423165792 3.20854439633136e-77 1
14 Whole_Blood ENSG00000071246.6 100 -0.749236194921003 5.24721625074377e-77 1
7 Whole_Blood ENSG00000106565.13 100 -0.913960589212304 7.69559621055799e-77 1
11 Whole_Blood ENSG00000134824.9 100 1.26132637287121 1.20686610964022e-76 1
17 Whole_Blood ENSG00000108405.3 100 0.600171533505043 2.17030348074238e-76 1
6 Whole_Blood ENSG00000237541.3 100 0.921380077740852 3.90233705119429e-76 1
11 Whole_Blood ENSG00000110203.4 100 0.979668712514801 4.59826358002078e-76 1
6 Whole_Blood ENSG00000272221.1 100 -0.78759339617596 1.20330119333845e-75 1
19 Whole_Blood ENSG00000239736.2 100 -0.928823764099765 3.54260135216926e-75 1
1 Whole_Blood ENSG00000198468.3 100 0.92190137465758 4.19284346792364e-75 1
22 Whole_Blood ENSG00000228050.1 100 1.05597298123132 4.38516002708596e-75 1
21 Whole_Blood ENSG00000184385.2 100 0.980254386453265 5.0167665986067e-75 1
14 Whole_Blood ENSG00000211940.2 100 -0.696639667402999 6.4000374052536e-75 1
10 Whole_Blood ENSG00000185736.11 100 0.987115878091194 1.52754353711564e-74 1
15 Whole_Blood ENSG00000270127.1 100 -0.666264710840265 1.8220048134177e-74 1
1 Whole_Blood ENSG00000176393.6 100 0.548775096073758 1.43581272624592e-73 1
2 Whole_Blood ENSG00000236682.1 100 -1.17930350901017 2.0868155173128e-73 1
16 Whole_Blood ENSG00000197165.6 100 0.890356417481283 4.71051347065838e-73 1
20 Whole_Blood ENSG00000101307.11 100 -0.475596382528188 5.62300941183465e-73 1
1 Whole_Blood ENSG00000116688.12 100 -0.572574531933418 1.21528176727612e-72 1
6 Whole_Blood ENSG00000137267.5 100 -0.806357226304433 1.52811504157838e-72 1
6 Whole_Blood ENSG00000225690.1 100 -1.07311297065499 2.718143925541e-72 1
1 Whole_Blood ENSG00000142794.14 100 -0.900311457996528 1.67920792493375e-71 1
14 Whole_Blood ENSG00000211939.2 100 -0.739054670112408 1.77302866713251e-71 1
1 Whole_Blood ENSG00000132681.12 100 -0.96616074666321 2.3263232512674e-71 1
4 Whole_Blood ENSG00000163993.6 100 0.500578521408915 5.50498476426286e-71 1
19 Whole_Blood ENSG00000268555.1 100 -0.781555954522454 6.30847558609481e-71 1
1 Whole_Blood ENSG00000084072.12 100 0.572689520411882 1.53557631262464e-70 1
6 Whole_Blood ENSG00000186470.9 100 -0.965035810641495 2.88797170742928e-70 1
11 Whole_Blood ENSG00000149084.7 100 -0.617365135815538 3.89947073972719e-70 1
7 Whole_Blood ENSG00000229153.1 100 0.944493429707612 1.86492793023776e-69 1
17 Whole_Blood ENSG00000168961.12 100 -0.55011477820632 9.87776012686856e-69 1
12 Whole_Blood ENSG00000139192.7 100 0.554762206344441 1.33678636319314e-68 1
